County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,15618,11063
Cumberland,56715,46523
Pitt,46157,40277
Beaufort,14964,12580
Durham,106676,86679
Jones,2694,2027
Pender,15725,11583
Carteret,22731,17973
Swain,3366,2777
Halifax,15292,11389
Lenoir,14333,11418
Perquimans,3976,3284
Henderson,32830,26391
Scotland,9426,6937
Alamance,50503,36564
Haywood,16936,13457
Tyrrell,1167,922
Pasquotank,11833,9660
McDowell,13248,9698
Washington,2993,2406
Polk,6118,4624
Caldwell,20052,16934
Graham,2141,1813
Warren,6285,4378
Cleveland,23886,19095
Wake,346176,252806
Rockingham,24001,16858
Lee,16098,12599
Rowan,26208,19530
Wilkes,15686,12144
Harnett,24392,19286
Wilson,19879,14423
Pamlico,4942,3865
Rutherford,15261,10331
Surry,19873,15028
Alleghany,3526,2925
Orange,58547,47821
Bladen,8317,6510
Granville,16706,12599
Out of State,63267,51748
Davidson,35528,28709
Stokes,9575,7483
Onslow,26964,20708
Stanly,14168,10106
Craven,29316,22780
Franklin,16199,12267
Anson,5943,4290
Gaston,47590,39832
Yadkin,9660,7693
Hyde,2232,1601
Randolph,29602,22370
Hertford,6182,4047
Union,49868,41602
Moore,33366,27328
Martin,6236,5219
Johnston,48611,35575
Columbus,12350,9725
Robeson,23815,17958
Macon,11714,11034
Davie,10962,9763
Yancey,5377,4032
Missing,8010,5196
New Hanover,70070,59853
Brunswick,51047,42176
Currituck,7432,4924
Camden,2743,2107
Person,11358,7925
Greene,5572,4258
Guilford,162220,121026
Madison,6613,5668
Chatham,24222,18240
Wayne,25972,18513
Ashe,7584,6477
Hoke,7542,5698
Dare,15626,13453
Montgomery,6851,5107
Forsyth,101564,87003
Chowan,4907,3739
Transylvania,9358,9766
Iredell,37985,29697
Clay,2815,2115
Vance,12096,9063
Mecklenburg,247645,193174
Edgecombe,12007,8111
Cherokee,7425,5432
Bertie,6203,4488
Lincoln,19138,15218
Alexander,10014,7378
Nash,26040,18110
Richmond,11393,9089
Mitchell,3876,2756
Cabarrus,43129,33153
Duplin,11538,8460
Buncombe,79412,59672
Avery,5639,4278
Catawba,39707,31180
Jackson,11890,10404
Gates,2967,1970
Burke,23063,18449
Caswell,6658,4886
Northampton,6041,4615
Watauga,16397,15890
