People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6892,5884,27053,130625,29441,Robeson
581,524,4065,13463,4515,Perquimans
20888,18611,58847,209339,62959,Johnston
11958,10754,34069,143667,35484,Randolph
123,108,2582,4937,2736,Hyde
968,914,4148,11137,4377,Alleghany
4361,3909,13031,58741,14001,Duplin
323,290,3196,11562,3528,Gates
5692,5188,22149,62317,22950,Haywood
3939,3473,16211,62806,17086,Stanly
52977,48066,18467,,18599,Missing County
6999,6319,23851,81801,25190,Wilson
93,86,1327,4016,1422,Tyrrell
9790,8480,29479,123131,31075,Wayne
1669,1496,7490,27173,7910,Montgomery
5641,5083,16757,55949,17611,Lenoir
2659,2248,10329,34823,10829,Scotland
15482,13565,60769,169509,63232,Alamance
425,380,2747,10867,3120,Camden
1401,1253,6833,21069,7221,Greene
12123,10498,32197,142088,33666,Rowan
793,665,6487,19483,6942,Northampton
5638,4933,17117,68412,18412,Wilkes
9797,8767,23314,86111,24052,Lincoln
5719,5030,24029,82178,24918,Caldwell
1291,1173,6756,20724,7079,Polk
7116,6411,21518,71783,22325,Surry
1823,1636,14678,35858,15254,Macon
807,779,3116,11231,3218,Clay
2615,2286,11145,37667,11559,Yadkin
13416,11754,30172,197938,32732,Onslow
2674,2309,12885,44829,13526,Richmond
32973,31261,101127,261191,105623,Buncombe
29271,26190,68536,239859,70993,Union
27895,25341,58818,216453,61967,Cabarrus
1172,961,3184,11580,3504,Washington
10132,8777,29137,135976,30863,Harnett
6116,5295,26572,90485,27651,Burke
0,0,74607,,81556,Out of State
6235,5596,19936,60443,20933,Granville
23289,20376,58540,224529,61203,Gaston
3798,3282,14252,51472,15126,Edgecombe
3215,2925,23821,56177,25317,Watauga
3132,2717,8699,55234,9558,Hoke
970,864,6617,18947,7401,Bertie
3221,2825,13463,39490,14035,Person
2944,2590,16919,46994,17856,Beaufort
17544,15440,47333,159551,49179,Catawba
2040,1792,14643,43938,15116,Jackson
180404,169392,450811,1111761,472751,Wake
8037,6980,27280,97947,28398,Cleveland
4519,4013,18129,63531,19562,Sampson
3163,2713,14565,55508,15205,Columbus
979,702,7611,22604,8073,Caswell
610,523,6385,18069,6693,Yancey
6174,5489,18661,61779,19774,Lee
1523,1352,6574,23677,7248,Hertford
7617,6710,27254,91010,28624,Rockingham
159723,142431,364533,1110356,387117,Mecklenburg
7406,6905,24035,69473,25180,Carteret
784,657,3638,14271,3751,Swain
921,843,6551,17557,6997,Avery
4504,4039,13952,44535,15139,Vance
2667,2320,16935,50010,17990,Halifax
3222,2943,17107,67029,18369,Rutherford
10600,9588,29996,94298,31808,Nash
2100,1951,9267,27203,9923,Ashe
4425,3936,11779,45591,12319,Stokes
398,316,2292,8441,2422,Graham
5469,4955,18349,63060,19408,Pender
8736,7994,32259,102139,33481,Craven
62426,55813,192188,537174,200317,Guilford
828,757,8991,21755,9230,Madison
9419,8556,26327,74470,27531,Chatham
16090,14461,56923,180742,59473,Pitt
9991,9274,36586,100880,37806,Moore
45406,41031,132858,382295,139212,Forsyth
23246,20921,47623,181806,47801,Iredell
2364,2231,13064,34385,13461,Transylvania
1316,1188,7358,22440,7836,Martin
1508,1399,6998,19731,7370,Warren
626,530,2988,9419,3152,Jones
4682,4312,13961,42846,14452,Davie
28328,24231,64250,335509,67250,Cumberland
1841,1559,15579,45756,16259,McDowell
1551,1416,8236,28612,8587,Cherokee
971,951,4731,13943,5541,Chowan
18810,18197,74911,148476,77586,Orange
1431,1295,11419,37497,11926,Alexander
38139,34908,138081,321488,143541,Durham
10037,9503,42568,117417,44335,Henderson
2837,2520,12058,39824,13724,Pasquotank
653,596,5270,12726,5529,Pamlico
616,531,4803,14964,5098,Mitchell
1314,1206,7810,27763,8745,Currituck
15461,14550,57131,142820,59434,Brunswick
14536,12982,43726,167609,45821,Davidson
7999,7304,19798,69685,20717,Franklin
3449,3116,18974,37009,19634,Dare
2192,1833,9148,32722,9892,Bladen
31207,28733,85107,234473,88801,New Hanover
1270,1047,6949,24446,7326,Anson
