People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5215,4040,24389,27392,Robeson
448,371,3815,4309,Perquimans
16190,12911,53727,59693,Johnston
9471,7534,31595,33642,Randolph
112,93,2300,2549,Hyde
852,724,3744,4032,Alleghany
3370,2874,12175,13291,Duplin
269,221,2914,3344,Gates
5047,4210,20523,22040,Haywood
3209,2462,14999,16312,Stanly
43018,34399,13282,14030,Missing County
5597,4645,21493,23796,Wilson
84,74,1199,1344,Tyrrell
7297,5744,27165,29836,Wayne
1358,1081,7044,7708,Montgomery
4572,3789,15436,16615,Lenoir
2049,1659,9724,10519,Scotland
12546,10086,55759,60339,Alamance
323,260,2568,2970,Camden
1110,956,6175,6689,Greene
9708,7555,29400,31640,Rowan
628,483,6178,6741,Northampton
4447,3346,16173,17480,Wilkes
7968,6282,22117,23309,Lincoln
4554,3563,22645,24007,Caldwell
1178,1030,6439,6851,Polk
6040,5003,20298,21510,Surry
1526,1347,13992,14729,Macon
776,711,2942,3123,Clay
2045,1695,10407,11096,Yadkin
9913,7389,28535,31051,Onslow
2103,1682,12068,12929,Richmond
29921,26608,92816,100644,Buncombe
23784,18999,62644,67096,Union
22906,18354,53541,58315,Cabarrus
965,763,2944,3328,Washington
7526,5509,26956,29155,Harnett
4963,3770,24962,26345,Burke
0,0,70735,80043,Out of State
5058,4118,18595,20001,Granville
18047,13672,55580,58908,Gaston
2925,2249,12297,14075,Edgecombe
2840,2452,20720,22233,Watauga
2216,1688,7811,8951,Hoke
730,614,6188,7021,Bertie
2497,1984,12455,13356,Person
2331,1837,15998,17185,Beaufort
14292,11048,44210,47128,Catawba
1677,1384,13800,14758,Jackson
152211,129131,411504,451465,Wake
6304,4878,25663,27332,Cleveland
3481,2762,16295,17992,Sampson
2537,2065,13752,14509,Columbus
803,499,6955,7576,Caswell
480,340,5869,6434,Yancey
4693,3704,17322,18880,Lee
1168,985,6225,7051,Hertford
5852,4569,25270,27432,Rockingham
131555,104882,326571,360926,Mecklenburg
6227,5246,23212,24631,Carteret
636,498,3504,3697,Swain
791,665,6077,6514,Avery
3543,2797,12752,14109,Vance
2035,1609,15775,17258,Halifax
2600,2196,15503,17342,Rutherford
8303,6663,26661,30262,Nash
1764,1562,8559,9248,Ashe
3638,2904,10921,11760,Stokes
287,231,2163,2310,Graham
4482,3749,17272,18604,Pender
7053,5932,30340,32126,Craven
50238,40808,178028,192855,Guilford
724,605,8395,8887,Madison
8481,7149,24912,27474,Chatham
12686,10524,53851,57352,Pitt
8491,7266,35044,37144,Moore
37658,31414,121966,133459,Forsyth
18854,14779,44746,46141,Iredell
2141,1905,12318,12916,Transylvania
1075,892,6764,7409,Martin
1230,1043,6540,7095,Warren
489,381,2754,2970,Jones
3903,3261,13090,13935,Davie
20663,15376,60188,64590,Cumberland
1543,1186,14424,15594,McDowell
1390,1228,7745,8284,Cherokee
809,733,4430,5323,Chowan
17019,15492,68594,74818,Orange
1139,925,10467,11120,Alexander
32865,27997,126478,138014,Durham
8965,7854,39446,42131,Henderson
2180,1702,11344,13078,Pasquotank
516,425,4971,5308,Pamlico
501,376,4376,4853,Mitchell
1085,874,7264,8257,Currituck
13439,11983,55133,58307,Brunswick
11717,9453,40313,43315,Davidson
6465,5178,18216,19562,Franklin
2925,2466,17840,18798,Dare
1671,1295,8620,9403,Bladen
27085,23160,80952,85877,New Hanover
945,732,6438,6949,Anson
