People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6631,5688,27006,130625,29372,Robeson
562,515,4058,13463,4509,Perquimans
20244,18067,58774,209339,62903,Johnston
11658,10465,34051,143667,35471,Randolph
122,106,2566,4937,2729,Hyde
946,892,4139,11137,4372,Alleghany
4205,3770,13021,58741,13986,Duplin
317,281,3191,11562,3525,Gates
5585,5088,22132,62317,22935,Haywood
3850,3383,16182,62806,17073,Stanly
51841,46933,18871,,18507,Missing County
6769,6103,23837,81801,25167,Wilson
90,86,1327,4016,1422,Tyrrell
9379,8193,29468,123131,31056,Wayne
1631,1468,7487,27173,7910,Montgomery
5483,4930,16732,55949,17602,Lenoir
2563,2159,10325,34823,10824,Scotland
15089,13173,60686,169509,63194,Alamance
407,367,2747,10867,3120,Camden
1363,1230,6822,21069,7220,Greene
11799,10197,32184,142088,33648,Rowan
768,642,6480,19483,6941,Northampton
5448,4764,17094,68412,18402,Wilkes
9574,8552,23305,86111,24048,Lincoln
5581,4886,24019,82178,24911,Caldwell
1278,1162,6754,20724,7077,Polk
6940,6224,21499,71783,22296,Surry
1757,1591,14673,35858,15252,Macon
803,773,3109,11231,3217,Clay
2518,2187,11136,37667,11552,Yadkin
12934,11293,30135,197938,32718,Onslow
2594,2234,12874,44829,13515,Richmond
32619,30849,101031,261191,105507,Buncombe
28482,25448,68463,239859,70934,Union
27182,24675,58773,216453,61920,Cabarrus
1133,931,3180,11580,3503,Washington
9822,8469,29100,135976,30827,Harnett
6010,5182,26565,90485,27632,Burke
0,0,74542,,81508,Out of State
6043,5435,19924,60443,20929,Granville
22542,19685,58492,224529,61177,Gaston
3670,3164,14221,51472,15116,Edgecombe
3173,2880,23750,56177,25307,Watauga
3018,2604,8679,55234,9555,Hoke
940,833,6602,18947,7394,Bertie
3126,2747,13457,39490,14029,Person
2843,2495,16892,46994,17848,Beaufort
17076,14982,47317,159551,49159,Catawba
1977,1733,14635,43938,15116,Jackson
175853,165438,450220,1111761,472495,Wake
7798,6738,27240,97947,28392,Cleveland
4342,3864,18115,63531,19546,Sampson
3031,2638,14559,55508,15167,Columbus
966,680,7610,22604,8073,Caswell
594,510,6382,18069,6689,Yancey
5904,5269,18640,61779,19765,Lee
1447,1299,6571,23677,7242,Hertford
7389,6490,27236,91010,28610,Rockingham
155693,138507,363679,1110356,386508,Mecklenburg
7266,6757,24026,69473,25175,Carteret
763,635,3630,14271,3747,Swain
905,824,6545,17557,6993,Avery
4361,3901,13929,44535,15126,Vance
2576,2235,16927,50010,17986,Halifax
3140,2876,17097,67029,18340,Rutherford
10297,9226,29924,94298,31776,Nash
2062,1908,9252,27203,9919,Ashe
4350,3841,11758,45591,12305,Stokes
370,312,2293,8441,2422,Graham
5334,4850,18337,63060,19402,Pender
8491,7795,32209,102139,33458,Craven
60589,54074,192019,537174,200207,Guilford
826,733,8985,21755,9220,Madison
9242,8450,26279,74470,27519,Chatham
15516,13985,56879,180742,59443,Pitt
9738,9060,36577,100880,37818,Moore
44124,39964,132770,382295,139142,Forsyth
22639,20272,47588,181806,47785,Iredell
2349,2201,13050,34385,13446,Transylvania
1276,1151,7355,22440,7832,Martin
1460,1362,6979,19731,7363,Warren
614,512,2984,9419,3150,Jones
4558,4185,13938,42846,14449,Davie
27267,23277,64172,335509,67204,Cumberland
1820,1551,15569,45756,16248,McDowell
1523,1396,8212,28612,8580,Cherokee
946,932,4729,13943,5539,Chowan
18432,17867,74888,148476,77579,Orange
1381,1258,11371,37497,11914,Alexander
37205,34128,137948,321488,143465,Durham
9930,9363,42505,117417,44285,Henderson
2751,2438,12050,39824,13722,Pasquotank
639,588,5254,12726,5520,Pamlico
610,512,4794,14964,5090,Mitchell
1297,1189,7804,27763,8741,Currituck
15181,14297,57193,142820,59428,Brunswick
14121,12664,43675,167609,45800,Davidson
7798,7088,19784,69685,20713,Franklin
3369,3045,18972,37009,19632,Dare
2086,1773,9147,32722,9865,Bladen
30612,28163,85114,234473,88756,New Hanover
1220,1024,6931,24446,7320,Anson
