County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,13095,7645
Cumberland,48755,34131
Pitt,36700,30298
Beaufort,12729,8853
Durham,81261,53443
Jones,2209,1289
Pender,12141,7623
Carteret,19083,9843
Swain,2973,1778
Halifax,13099,6415
Lenoir,11787,7797
Perquimans,3656,2012
Henderson,24853,17865
Scotland,7846,4599
Alamance,37438,22111
Haywood,13238,9945
Tyrrell,1073,612
Pasquotank,10876,7271
McDowell,10190,6786
Washington,2623,1719
Polk,5196,2541
Caldwell,16574,11794
Graham,1964,1277
Warren,5037,2398
Cleveland,19689,10747
Wake,242485,149856
Rockingham,18652,9004
Lee,13170,7544
Rowan,20307,13972
Wilkes,13882,7416
Harnett,19905,13132
Wilson,16127,9222
Pamlico,4237,2646
Rutherford,12581,5751
Surry,16893,9473
Alleghany,3066,2039
Orange,44243,30449
Bladen,7348,4540
Granville,13555,8214
Out of State,51658,33202
Davidson,27600,18395
Stokes,7844,5023
Onslow,22111,12729
Stanly,10558,6420
Craven,24163,13039
Franklin,12204,8251
Anson,4880,3003
Gaston,38116,24845
Yadkin,7893,4535
Hyde,1750,1080
Randolph,23571,12136
Hertford,5521,2690
Union,38913,27175
Moore,28302,18901
Martin,5352,3460
Johnston,37430,21818
Columbus,10335,5737
Robeson,20245,11883
Macon,9623,6711
Davie,8826,7383
Yancey,4647,2441
Missing,4489,1744
New Hanover,55098,39541
Brunswick,41663,27162
Currituck,5817,3569
Camden,2339,1294
Person,8832,5193
Greene,4554,2873
Guilford,121627,63454
Madison,4956,3932
Chatham,20245,14073
Wayne,21416,10257
Ashe,6580,3495
Hoke,6264,3924
Dare,11369,9430
Montgomery,5417,3146
Forsyth,78056,54322
Chowan,4463,2687
Transylvania,7919,5431
Iredell,30739,21459
Clay,2390,1212
Vance,10220,5721
Mecklenburg,179388,111545
Edgecombe,9278,5429
Cherokee,5971,3147
Bertie,5203,2882
Lincoln,15490,10138
Alexander,8289,4541
Nash,20890,10724
Richmond,9678,6211
Mitchell,2971,1738
Cabarrus,33032,20927
Duplin,9353,5220
Buncombe,58980,35365
Avery,4773,2919
Catawba,31586,19914
Jackson,10215,4881
Gates,2658,1406
Burke,19287,12521
Caswell,5339,2896
Northampton,5314,2663
Watauga,13298,9684
