County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14199,8574
Cumberland,51750,38147
Pitt,41860,32124
Beaufort,13916,9990
Durham,90721,61313
Jones,2435,1551
Pender,13715,8600
Carteret,20939,13379
Swain,3166,2008
Halifax,14080,7649
Lenoir,13062,8615
Perquimans,3821,2823
Henderson,28158,19721
Scotland,8663,5165
Alamance,42741,25955
Haywood,14903,11117
Tyrrell,1106,671
Pasquotank,11189,7660
McDowell,11455,7783
Washington,2793,1897
Polk,5617,3286
Caldwell,18043,13238
Graham,2043,1555
Warren,5360,2914
Cleveland,21596,14320
Wake,279020,173487
Rockingham,20923,11830
Lee,14151,9152
Rowan,22340,15793
Wilkes,14662,9180
Harnett,21624,14430
Wilson,17536,10572
Pamlico,4612,3022
Rutherford,13737,7084
Surry,18260,11620
Alleghany,3215,2126
Orange,49417,34001
Bladen,7811,5164
Granville,14562,9517
Out of State,55731,38108
Davidson,31019,20645
Stokes,8625,5670
Onslow,24353,15615
Stanly,12112,7181
Craven,26315,17095
Franklin,13462,9511
Anson,5381,3518
Gaston,41403,29579
Yadkin,8858,5699
Hyde,1913,1183
Randolph,26347,14815
Hertford,5817,3253
Union,42487,30350
Moore,30580,22183
Martin,5782,3721
Johnston,42059,25981
Columbus,11254,6816
Robeson,21796,13657
Macon,11076,7840
Davie,9707,7834
Yancey,4963,2728
Missing,5316,2642
New Hanover,60756,45215
Brunswick,46020,33016
Currituck,6586,3768
Camden,2595,1365
Person,10139,5939
Greene,5049,3067
Guilford,142046,74343
Madison,5668,4341
Chatham,21774,14909
Wayne,23150,13361
Ashe,6966,4357
Hoke,6776,4415
Dare,13599,10034
Montgomery,6129,3546
Forsyth,88803,61436
Chowan,4771,2985
Transylvania,8494,6911
Iredell,34346,25379
Clay,2564,1473
Vance,10869,6544
Mecklenburg,200157,129155
Edgecombe,10595,6046
Cherokee,6584,4025
Bertie,5869,3488
Lincoln,16654,11493
Alexander,9092,4861
Nash,23372,12419
Richmond,10373,6923
Mitchell,3369,1790
Cabarrus,36285,23962
Duplin,10437,6598
Buncombe,67312,40323
Avery,5057,3210
Catawba,33853,23983
Jackson,11135,6423
Gates,2818,1608
Burke,21012,14878
Caswell,5682,3769
Northampton,5679,3355
Watauga,14236,10558
