People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6369,5502,26434,28948,Robeson
545,493,4025,4478,Perquimans
19690,17461,58096,62351,Johnston
11383,10144,33684,35199,Randolph
118,106,2529,2702,Hyde
933,874,4044,4283,Alleghany
4082,3670,12902,13736,Duplin
310,275,3163,3487,Gates
5504,4996,21956,22812,Haywood
3747,3304,15974,16896,Stanly
50651,45410,18158,17758,Missing County
6584,5937,23540,24919,Wilson
88,85,1317,1406,Tyrrell
9092,7911,29205,30840,Wayne
1598,1423,7416,7892,Montgomery
5351,4801,16534,17491,Lenoir
2491,2109,10253,10771,Scotland
14693,12760,60030,62658,Alamance
398,358,2715,3092,Camden
1320,1191,6762,7159,Greene
11507,9907,31635,33288,Rowan
738,627,6440,6910,Northampton
5314,4613,16948,18243,Wilkes
9375,8272,23148,23923,Lincoln
5447,4723,23877,24753,Caldwell
1262,1144,6723,7051,Polk
6820,6080,21328,22175,Surry
1706,1559,14594,15183,Macon
803,765,3086,3192,Clay
2465,2112,11054,11464,Yadkin
12533,10894,30003,32138,Onslow
2521,2185,12759,13440,Richmond
32302,30444,99909,104577,Buncombe
27859,24628,67573,70354,Union
26563,24055,57807,61442,Cabarrus
1118,913,3155,3476,Washington
9459,8131,28700,30502,Harnett
5873,5008,26398,27465,Burke
0,0,73836,80803,Out of State
5900,5274,19706,20754,Granville
21970,19007,57904,60550,Gaston
3570,3058,13947,14939,Edgecombe
3143,2843,23582,25218,Watauga
2916,2495,8554,9401,Hoke
909,794,6558,7333,Bertie
3032,2643,13347,13911,Person
2771,2417,16741,17700,Beaufort
16669,14553,46932,48895,Catawba
1944,1689,14552,15065,Jackson
172349,161693,444267,468446,Wake
7613,6492,27087,28195,Cleveland
4196,3734,17801,19208,Sampson
2948,2578,14475,14991,Columbus
942,651,7535,7930,Caswell
585,493,6308,6629,Yancey
5703,5103,18496,19604,Lee
1401,1259,6549,7209,Hertford
7175,6214,26963,28425,Rockingham
152506,134783,358451,381414,Mecklenburg
7150,6625,23844,25074,Carteret
745,627,3618,3741,Swain
892,802,6469,6926,Avery
4232,3759,13648,14925,Vance
2512,2163,16726,17819,Halifax
3076,2815,16954,18214,Rutherford
10040,8970,29528,31496,Nash
2022,1877,9183,9842,Ashe
4271,3730,11663,12227,Stokes
348,310,2276,2394,Graham
5218,4740,18200,19239,Pender
8309,7562,31854,33222,Craven
59202,52566,190383,198850,Guilford
817,715,8919,9154,Madison
9126,8327,26067,27359,Chatham
15103,13600,56519,59173,Pitt
9566,8900,36458,37833,Moore
43280,39031,131301,137930,Forsyth
22145,19644,47251,47515,Iredell
2328,2180,12957,13400,Transylvania
1250,1119,7273,7748,Martin
1431,1326,6887,7299,Warren
594,496,2961,3121,Jones
4449,4083,13810,14374,Davie
26376,22295,63449,66663,Cumberland
1778,1506,15460,16167,McDowell
1496,1384,8152,8527,Cherokee
933,915,4690,5507,Chowan
18246,17662,73922,77094,Orange
1345,1215,11284,11804,Alexander
36577,33398,136358,142417,Durham
9803,9215,42018,43888,Henderson
2667,2372,11947,13601,Pasquotank
627,566,5151,5425,Pamlico
600,498,4749,5028,Mitchell
1272,1158,7764,8711,Currituck
14928,14063,56973,59233,Brunswick
13804,12312,43167,45336,Davidson
7624,6880,19538,20515,Franklin
3318,2983,18840,19494,Dare
2017,1725,9100,9744,Bladen
30130,27659,84575,88327,New Hanover
1178,985,6877,7254,Anson
