People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
8042,6695,28116,130625,30684,Robeson
643,559,4168,13463,4596,Perquimans
23578,20703,60316,209339,64521,Johnston
13568,12179,34629,143667,36113,Randolph
129,116,2626,4937,2790,Hyde
1006,945,4213,11137,4433,Alleghany
4871,4350,13493,58741,14461,Duplin
354,316,3275,11562,3632,Gates
6128,5482,22486,62317,23437,Haywood
4420,3808,16555,62806,17512,Stanly
61433,56990,18348,,20942,Missing County
7892,6946,24447,81801,25729,Wilson
105,91,1387,4016,1487,Tyrrell
10918,9361,30057,123131,31695,Wayne
1813,1611,7591,27173,8027,Montgomery
6173,5454,17027,55949,17951,Lenoir
2938,2447,10491,34823,11026,Scotland
17244,15022,61931,169509,64561,Alamance
480,412,2816,10867,3188,Camden
1572,1361,6965,21069,7350,Greene
13713,11689,32867,142088,34522,Rowan
904,760,6594,19483,7050,Northampton
6284,5432,17453,68412,18847,Wilkes
10735,9597,23532,86111,24334,Lincoln
6380,5481,24418,82178,25349,Caldwell
1405,1255,6812,20724,7161,Polk
7727,6813,21830,71783,22757,Surry
1972,1772,14904,35858,15573,Macon
833,789,3155,11231,3278,Clay
3053,2574,11347,37667,11835,Yadkin
15370,13067,31026,197938,33756,Onslow
3047,2550,13204,44829,13934,Richmond
35501,33843,103023,261191,107857,Buncombe
33602,30318,69620,239859,72279,Union
31043,28151,59964,216453,63558,Cabarrus
1263,1042,3258,11580,3575,Washington
11520,9944,29838,135976,31522,Harnett
6775,5828,26958,90485,28133,Burke
0,0,75080,,82139,Out of State
6973,6194,20282,60443,21277,Granville
26017,22715,59782,224529,62458,Gaston
4308,3667,14587,51472,15526,Edgecombe
3395,3079,24116,56177,25598,Watauga
3710,3178,9065,55234,9856,Hoke
1067,948,6761,18947,7571,Bertie
3608,3133,13781,39490,14283,Person
3253,2810,17264,46994,18268,Beaufort
19609,17295,48232,159551,49935,Catawba
2261,1974,14786,43938,15289,Jackson
198717,186506,460043,1111761,480437,Wake
8966,7622,27696,97947,28932,Cleveland
5159,4445,18838,63531,20305,Sampson
3638,2989,14892,55508,15600,Columbus
1076,785,7854,22604,8241,Caswell
723,625,6483,18069,6852,Yancey
7024,6139,18992,61779,20112,Lee
1754,1522,6720,23677,7408,Hertford
8460,7422,27683,91010,29034,Rockingham
178594,161718,374221,1110356,397162,Mecklenburg
8142,7373,24336,69473,25473,Carteret
851,722,3665,14271,3860,Swain
1007,909,6725,17557,7186,Avery
4907,4399,14392,44535,15577,Vance
3004,2546,17262,50010,18444,Halifax
3629,3229,17390,67029,18738,Rutherford
12091,10750,30522,94298,32436,Nash
2254,2134,9385,27203,10048,Ashe
4931,4260,11939,45591,12475,Stokes
484,359,2341,8441,2496,Graham
6138,5429,18618,63060,19787,Pender
9497,8538,32890,102139,34261,Craven
70468,62738,195020,537174,203234,Guilford
893,795,9110,21755,9437,Madison
10076,9092,26698,74470,27844,Chatham
18188,15966,57833,180742,60437,Pitt
10833,9798,36684,100880,37865,Moore
50495,45436,135488,382295,142095,Forsyth
25945,23466,48091,181806,48355,Iredell
2537,2348,13278,34385,13733,Transylvania
1475,1282,7550,22440,8149,Martin
1659,1494,7116,19731,7494,Warren
693,584,3061,9419,3222,Jones
5145,4585,14181,42846,14725,Davie
33077,28330,65468,335509,68868,Cumberland
2002,1675,15884,45756,16737,McDowell
1636,1461,8331,28612,8728,Cherokee
1089,1005,4834,13943,5638,Chowan
19994,19362,76098,148476,78760,Orange
1588,1405,11638,37497,12181,Alexander
41998,38734,140624,321488,146366,Durham
10860,10228,43351,117417,45452,Henderson
3156,2742,12394,39824,14041,Pasquotank
714,642,5359,12726,5646,Pamlico
685,598,4891,14964,5213,Mitchell
1427,1280,7914,27763,8861,Currituck
16657,15582,58073,142820,60394,Brunswick
16294,14341,44516,167609,46897,Davidson
8909,8061,20124,69685,21081,Franklin
3835,3401,19170,37009,19825,Dare
2507,2072,9366,32722,10300,Bladen
34257,31558,86138,234473,89949,New Hanover
1526,1231,7085,24446,7499,Anson
