People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6535,5611,26750,29069,Robeson
553,506,4031,4485,Perquimans
19994,17900,58374,62561,Johnston
11555,10364,33857,35339,Randolph
119,106,2536,2715,Hyde
942,890,4099,4351,Alleghany
4160,3742,12982,13923,Duplin
316,279,3166,3507,Gates
5559,5064,22027,22867,Haywood
3816,3365,16016,16953,Stanly
51389,46428,16736,17963,Missing County
6688,6046,23651,25039,Wilson
90,86,1317,1407,Tyrrell
9273,8115,29300,30951,Wayne
1623,1452,7444,7908,Montgomery
5426,4891,16578,17537,Lenoir
2530,2148,10274,10788,Scotland
14936,13027,60303,62875,Alamance
403,363,2731,3103,Camden
1352,1220,6782,7190,Greene
11693,10104,31900,33417,Rowan
760,637,6455,6921,Northampton
5386,4707,17000,18295,Wilkes
9498,8452,23218,23959,Lincoln
5536,4829,23917,24799,Caldwell
1270,1157,6738,7063,Polk
6895,6177,21385,22222,Surry
1738,1584,14604,15205,Macon
803,767,3092,3203,Clay
2491,2155,11103,11514,Yadkin
12793,11154,30142,32186,Onslow
2574,2220,12806,13465,Richmond
32503,30726,100416,105027,Buncombe
28225,25174,67921,70516,Union
26889,24508,58403,61565,Cabarrus
1128,926,3158,3483,Washington
9692,8367,28829,30634,Harnett
5962,5121,26461,27533,Burke
0,0,74247,81145,Out of State
5978,5370,19783,20824,Granville
22326,19475,58097,60791,Gaston
3638,3144,14064,14991,Edgecombe
3165,2868,23616,25238,Watauga
2980,2569,8598,9483,Hoke
932,827,6566,7350,Bertie
3082,2708,13381,13944,Person
2818,2473,16768,17718,Beaufort
16911,14852,47116,48964,Catawba
1965,1720,14581,15082,Jackson
174275,164271,446397,469649,Wake
7710,6660,27125,28238,Cleveland
4276,3825,17958,19353,Sampson
2995,2620,14561,15038,Columbus
961,669,7548,7934,Caswell
590,503,6331,6643,Yancey
5843,5229,18532,19647,Lee
1427,1292,6563,7225,Hertford
7309,6405,27090,28478,Rockingham
154397,137409,361321,382827,Mecklenburg
7222,6706,23936,25119,Carteret
756,633,3620,3742,Swain
902,812,6503,6969,Avery
4302,3847,13751,14990,Vance
2549,2214,16772,17854,Halifax
3118,2849,17006,18262,Rutherford
10201,9138,29683,31593,Nash
2040,1893,9221,9871,Ashe
4324,3810,11725,12296,Stokes
366,312,2277,2398,Graham
5284,4816,18263,19284,Pender
8429,7730,31975,33313,Craven
60052,53654,191229,199402,Guilford
813,718,8964,9191,Madison
9186,8418,26197,27387,Chatham
15358,13884,56601,59237,Pitt
9656,9027,36478,37816,Moore
43800,39651,131954,138537,Forsyth
22448,20069,47396,47606,Iredell
2345,2191,12970,13410,Transylvania
1272,1144,7284,7770,Martin
1447,1344,6906,7320,Warren
600,509,2971,3134,Jones
4519,4153,13863,14406,Davie
26921,22954,63771,66899,Cumberland
1808,1535,15498,16200,McDowell
1518,1392,8194,8558,Cherokee
941,921,4700,5518,Chowan
18349,17801,74137,77197,Orange
1373,1245,11301,11835,Alexander
36957,33905,136904,142767,Durham
9879,9310,42220,44051,Henderson
2721,2427,11996,13654,Pasquotank
635,582,5156,5429,Pamlico
607,506,4771,5060,Mitchell
1286,1180,7777,8720,Currituck
15072,14212,57053,59286,Brunswick
13991,12555,43368,45560,Davidson
7717,7019,19657,20617,Franklin
3344,3014,18928,19590,Dare
2063,1758,9121,9779,Bladen
30432,28035,84709,88438,New Hanover
1198,1014,6884,7263,Anson
