County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,13169,7802
Cumberland,48858,34159
Pitt,37734,30744
Beaufort,12829,8895
Durham,82427,54320
Jones,2211,1290
Pender,12322,7734
Carteret,19140,9857
Swain,2974,1778
Halifax,13243,6584
Lenoir,11936,7862
Perquimans,3674,2540
Henderson,25094,17944
Scotland,8058,4646
Alamance,37914,22487
Haywood,13742,9969
Tyrrell,1077,612
Pasquotank,10943,7331
McDowell,10232,6791
Washington,2646,1729
Polk,5339,2558
Caldwell,16720,11903
Graham,1989,1277
Warren,5072,2431
Cleveland,19766,11455
Wake,246189,150907
Rockingham,18893,9315
Lee,13199,7559
Rowan,20551,14036
Wilkes,13974,7434
Harnett,20081,13256
Wilson,16399,9233
Pamlico,4271,2658
Rutherford,12957,5835
Surry,16909,9487
Alleghany,3082,2045
Orange,44667,30612
Bladen,7441,4564
Granville,13618,8250
Out of State,52828,33846
Davidson,27990,18594
Stokes,7918,5058
Onslow,22600,12751
Stanly,10715,6612
Craven,24225,13087
Franklin,12299,8276
Anson,4945,3055
Gaston,38733,25532
Yadkin,7946,4544
Hyde,1771,1082
Randolph,23770,13137
Hertford,5575,2721
Union,39313,27536
Moore,28334,19058
Martin,5457,3537
Johnston,37865,21974
Columbus,10461,5950
Robeson,20443,11979
Macon,10192,6714
Davie,8972,7412
Yancey,4767,2449
Missing,4581,1850
New Hanover,56270,40281
Brunswick,42545,28151
Currituck,6014,3615
Camden,2415,1297
Person,9060,5256
Greene,4612,2914
Guilford,124178,64115
Madison,4987,3951
Chatham,20385,14113
Wayne,21836,10284
Ashe,6592,3526
Hoke,6340,3957
Dare,12468,9442
Montgomery,5442,3176
Forsyth,79756,55062
Chowan,4529,2722
Transylvania,8157,5428
Iredell,31739,22237
Clay,2395,1212
Vance,10291,5778
Mecklenburg,183508,114338
Edgecombe,9525,5448
Cherokee,6127,3174
Bertie,5245,3078
Lincoln,15672,10288
Alexander,8446,4609
Nash,21268,10763
Richmond,9691,6290
Mitchell,3152,1743
Cabarrus,33678,21443
Duplin,9505,5248
Buncombe,60462,35947
Avery,4774,2933
Catawba,32256,20423
Jackson,10318,4886
Gates,2672,1412
Burke,19365,12578
Caswell,5374,2932
Northampton,5378,2694
Watauga,13468,9932
