County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14975,10035
Cumberland,54695,42339
Pitt,45399,38843
Beaufort,14603,11847
Durham,100096,73828
Jones,2567,1860
Pender,14918,10179
Carteret,21981,15762
Swain,3312,2548
Halifax,14959,9789
Lenoir,13901,10354
Perquimans,3929,3104
Henderson,31167,23616
Scotland,9076,5915
Alamance,47983,30919
Haywood,16407,12748
Tyrrell,1150,888
Pasquotank,11643,8944
McDowell,12653,8936
Washington,2940,2208
Polk,5951,3952
Caldwell,19247,15579
Graham,2105,1704
Warren,5718,3823
Cleveland,23150,17655
Wake,320306,213081
Rockingham,22987,14626
Lee,15856,10868
Rowan,24304,17664
Wilkes,15308,11001
Harnett,23246,17632
Wilson,19021,13018
Pamlico,4838,3526
Rutherford,14694,9110
Surry,19402,12842
Alleghany,3445,2592
Orange,55014,40326
Bladen,8035,6050
Granville,15744,11154
Out of State,59985,45384
Davidson,33868,24672
Stokes,9268,6552
Onslow,26230,18623
Stanly,13220,9358
Craven,28681,20151
Franklin,14930,11087
Anson,5734,3974
Gaston,44686,35768
Yadkin,9364,6759
Hyde,2179,1411
Randolph,28298,19267
Hertford,5996,3794
Union,46007,36684
Moore,32341,25200
Martin,6098,4327
Johnston,46429,30571
Columbus,12018,8661
Robeson,23158,16157
Macon,11558,9289
Davie,10738,8763
Yancey,5223,3567
Missing,7092,3946
New Hanover,65334,53581
Brunswick,49018,38206
Currituck,7183,4487
Camden,2678,1669
Person,10787,7140
Greene,5392,3584
Guilford,152748,100822
Madison,6290,5153
Chatham,23138,16697
Wayne,24974,16947
Ashe,7371,5608
Hoke,7311,5163
Dare,15117,11133
Montgomery,6599,4490
Forsyth,97507,73984
Chowan,4878,3396
Transylvania,9206,7935
Iredell,36277,28045
Clay,2738,1884
Vance,11580,8090
Mecklenburg,221628,162122
Edgecombe,11493,7297
Cherokee,7110,4859
Bertie,6088,4119
Lincoln,17933,13808
Alexander,9640,6051
Nash,24807,15634
Richmond,11085,8201
Mitchell,3620,2403
Cabarrus,39168,29479
Duplin,11164,7961
Buncombe,73960,51010
Avery,5392,3808
Catawba,37567,27998
Jackson,11816,8654
Gates,2898,1861
Burke,22539,16751
Caswell,6280,4427
Northampton,5957,4184
Watauga,15594,13969
