People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6522,5590,26675,29041,Robeson
551,504,4027,4484,Perquimans
19907,17776,58305,62473,Johnston
11521,10326,33792,35267,Randolph
119,106,2536,2715,Hyde
939,887,4088,4326,Alleghany
4147,3723,12941,13764,Duplin
315,279,3163,3487,Gates
5545,5050,22013,22856,Haywood
3809,3354,16006,16947,Stanly
51213,46148,18361,17940,Missing County
6666,6014,23623,24999,Wilson
89,86,1317,1407,Tyrrell
9248,8079,29273,30919,Wayne
1621,1443,7440,7904,Montgomery
5418,4891,16574,17530,Lenoir
2521,2140,10266,10782,Scotland
14887,12975,60262,62830,Alamance
401,361,2720,3094,Camden
1340,1208,6781,7187,Greene
11646,10040,31816,33366,Rowan
754,635,6449,6917,Northampton
5373,4683,16974,18266,Wilkes
9476,8421,23208,23952,Lincoln
5514,4806,23908,24786,Caldwell
1270,1157,6734,7060,Polk
6879,6164,21359,22190,Surry
1735,1584,14603,15202,Macon
803,767,3088,3200,Clay
2486,2147,11096,11505,Yadkin
12736,11104,30029,32177,Onslow
2565,2213,12780,13446,Richmond
32454,30642,100296,104967,Buncombe
28130,25012,67740,70454,Union
26831,24389,57931,61516,Cabarrus
1124,925,3157,3477,Washington
9630,8303,28797,30613,Harnett
5949,5098,26442,27518,Burke
0,0,74155,81103,Out of State
5957,5342,19767,20807,Granville
22264,19372,58056,60691,Gaston
3617,3123,14024,14964,Edgecombe
3163,2862,23607,25229,Watauga
2966,2553,8593,9478,Hoke
921,824,6567,7350,Bertie
3069,2701,13377,13941,Person
2808,2471,16765,17714,Beaufort
16878,14809,46984,48943,Catawba
1962,1716,14578,15077,Jackson
173851,163732,445623,469266,Wake
7692,6635,27124,28223,Cleveland
4269,3808,17880,19304,Sampson
2994,2617,14508,15032,Columbus
955,661,7550,7933,Caswell
589,500,6330,6640,Yancey
5830,5227,18529,19640,Lee
1427,1286,6560,7224,Hertford
7282,6375,27033,28463,Rockingham
153915,136761,359493,382362,Mecklenburg
7205,6692,23927,25117,Carteret
755,631,3620,3742,Swain
898,810,6501,6969,Avery
4284,3836,13733,14975,Vance
2543,2203,16769,17841,Halifax
3109,2842,16994,18255,Rutherford
10181,9086,29624,31534,Nash
2035,1890,9214,9868,Ashe
4308,3794,11705,12273,Stokes
364,312,2276,2394,Graham
5279,4797,18225,19260,Pender
8413,7709,31910,33269,Craven
59831,53362,191012,199282,Guilford
835,733,8947,9176,Madison
9173,8394,26088,27375,Chatham
15304,13828,56587,59220,Pitt
9636,9005,36472,37814,Moore
43715,39491,131832,138436,Forsyth
22393,19972,47358,47594,Iredell
2341,2188,12967,13409,Transylvania
1253,1127,7279,7761,Martin
1446,1341,6904,7317,Warren
598,508,2963,3129,Jones
4511,4140,13835,14387,Davie
26801,22825,63692,66837,Cumberland
1802,1528,15493,16197,McDowell
1515,1390,8177,8553,Cherokee
939,919,4691,5508,Chowan
18322,17771,74095,77174,Orange
1371,1245,11295,11816,Alexander
36877,33774,136758,142692,Durham
9871,9283,42160,44021,Henderson
2707,2409,11951,13610,Pasquotank
633,579,5152,5426,Pamlico
606,506,4768,5050,Mitchell
1285,1178,7777,8720,Currituck
15046,14178,57042,59273,Brunswick
13951,12503,43325,45511,Davidson
7698,6987,19605,20577,Franklin
3339,3011,18879,19528,Dare
2054,1755,9120,9768,Bladen
30355,27945,84672,88406,New Hanover
1196,1007,6879,7258,Anson
