People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
8280,6799,28267,130625,31023,Robeson
650,564,4176,13463,4602,Perquimans
23979,20887,60490,209339,64930,Johnston
13775,12265,34739,143667,36356,Randolph
129,117,2626,4937,2796,Hyde
1020,951,4321,11137,4544,Alleghany
4988,4383,13532,58741,14552,Duplin
357,317,3284,11562,3653,Gates
6213,5525,22599,62317,23658,Haywood
4487,3838,16603,62806,17597,Stanly
62214,57391,18765,,21533,Missing County
8084,7009,24500,81801,25908,Wilson
112,91,1396,4016,1495,Tyrrell
11132,9470,30108,123131,31892,Wayne
1834,1620,7630,27173,8071,Montgomery
6276,5507,17070,55949,18012,Lenoir
3005,2479,10506,34823,11059,Scotland
17532,15101,62106,169509,64867,Alamance
494,420,2817,10867,3192,Camden
1614,1385,6983,21069,7388,Greene
13964,11808,33044,142088,34821,Rowan
918,769,6615,19483,7102,Northampton
6383,5488,17503,68412,18959,Wilkes
10911,9645,23572,86111,24433,Lincoln
6492,5515,24466,82178,25486,Caldwell
1414,1263,6819,20724,7172,Polk
7874,6862,21863,71783,22875,Surry
1988,1777,14926,35858,15647,Macon
838,791,3164,11231,3296,Clay
3133,2594,11367,37667,11872,Yadkin
15713,13253,31073,197938,33839,Onslow
3162,2579,13216,44829,13989,Richmond
35761,33960,103289,261191,108383,Buncombe
34058,30551,69795,239859,72538,Union
31486,28371,60197,216453,63901,Cabarrus
1281,1047,3263,11580,3586,Washington
11767,10071,29916,135976,31687,Harnett
6895,5875,27043,90485,28272,Burke
0,0,75240,,82398,Out of State
7086,6246,20332,60443,21376,Granville
26479,22908,59915,224529,62676,Gaston
4394,3706,14634,51472,15613,Edgecombe
3427,3095,24162,56177,25669,Watauga
3785,3211,9106,55234,9916,Hoke
1083,956,6767,18947,7584,Bertie
3654,3163,13801,39490,14390,Person
3299,2836,17290,46994,18327,Beaufort
19909,17436,48348,159551,50082,Catawba
2318,1988,14827,43938,15373,Jackson
200884,187657,461313,1111761,482375,Wake
9176,7692,27746,97947,29054,Cleveland
5318,4504,18944,63531,20448,Sampson
3768,3028,14908,55508,15683,Columbus
1092,795,7873,22604,8272,Caswell
731,625,6509,18069,6904,Yancey
7203,6217,19059,61779,20199,Lee
1791,1540,6743,23677,7436,Hertford
8599,7487,27760,91010,29184,Rockingham
180810,162970,375108,1110356,398656,Mecklenburg
8265,7401,24371,69473,25529,Carteret
872,728,3665,14271,3869,Swain
1018,915,6738,17557,7210,Avery
4987,4430,14452,44535,15665,Vance
3085,2578,17372,50010,18730,Halifax
3680,3251,17439,67029,18853,Rutherford
12336,10877,30588,94298,32653,Nash
2272,2140,9430,27203,10088,Ashe
5024,4284,11970,45591,12540,Stokes
494,371,2348,8441,2513,Graham
6213,5465,18663,63060,19888,Pender
9643,8609,32967,102139,34436,Craven
71618,63277,195462,537174,204016,Guilford
924,801,9130,21755,9481,Madison
10209,9141,26732,74470,27931,Chatham
18577,16101,57929,180742,60683,Pitt
11044,9871,36738,100880,37990,Moore
51318,45809,136024,382295,142916,Forsyth
26246,23638,48215,181806,48575,Iredell
2561,2356,13298,34385,13800,Transylvania
1482,1279,7563,22440,8217,Martin
1677,1510,7127,19731,7510,Warren
700,586,3070,9419,3235,Jones
5253,4624,14210,42846,14796,Davie
33735,28627,65645,335509,69321,Cumberland
2029,1708,15910,45756,16845,McDowell
1662,1472,8349,28612,8795,Cherokee
1108,1011,4859,13943,5660,Chowan
20159,19449,76211,148476,78967,Orange
1618,1414,11684,37497,12278,Alexander
42501,38991,141014,321488,147165,Durham
10945,10258,43496,117417,45708,Henderson
3223,2761,12471,39824,14120,Pasquotank
718,646,5379,12726,5668,Pamlico
699,600,4901,14964,5230,Mitchell
1438,1286,7935,27763,8917,Currituck
16909,15659,58144,142820,60556,Brunswick
16624,14473,44694,167609,47207,Davidson
9054,8098,20162,69685,21162,Franklin
3897,3425,19206,37009,19967,Dare
2576,2103,9428,32722,10389,Bladen
34710,31764,86254,234473,90286,New Hanover
1545,1250,7089,24446,7510,Anson
