People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7924,6650,28037,130625,30552,Robeson
634,558,4167,13463,4596,Perquimans
23368,20592,60238,209339,64377,Johnston
13426,12114,34621,143667,36092,Randolph
129,116,2625,4937,2782,Hyde
1004,945,4198,11137,4423,Alleghany
4816,4323,13488,58741,14445,Duplin
351,315,3272,11562,3628,Gates
6093,5457,22475,62317,23411,Haywood
4371,3782,16539,62806,17481,Stanly
60678,56628,18276,,20788,Missing County
7829,6908,24404,81801,25686,Wilson
105,91,1377,4016,1477,Tyrrell
10833,9313,30044,123131,31652,Wayne
1796,1603,7579,27173,8011,Montgomery
6131,5441,17018,55949,17922,Lenoir
2916,2442,10475,34823,10997,Scotland
17075,14921,61873,169509,64434,Alamance
476,411,2802,10867,3172,Camden
1542,1359,6962,21069,7337,Greene
13590,11612,32855,142088,34507,Rowan
885,749,6586,19483,7034,Northampton
6224,5398,17444,68412,18812,Wilkes
10645,9562,23518,86111,24324,Lincoln
6318,5447,24401,82178,25313,Caldwell
1381,1249,6809,20724,7154,Polk
7661,6801,21816,71783,22726,Surry
1947,1754,14892,35858,15533,Macon
831,789,3154,11231,3275,Clay
2996,2552,11332,37667,11818,Yadkin
15185,12998,30986,197938,33695,Onslow
3020,2533,13198,44829,13908,Richmond
35296,33747,102937,261191,107717,Buncombe
33240,30139,69575,239859,72169,Union
30759,28003,59898,216453,63458,Cabarrus
1251,1035,3245,11580,3553,Washington
11393,9865,29804,135976,31467,Harnett
6706,5801,26950,90485,28109,Burke
0,0,75030,,82057,Out of State
6893,6155,20258,60443,21240,Granville
25785,22584,59726,224529,62408,Gaston
4272,3644,14555,51472,15450,Edgecombe
3379,3075,24085,56177,25552,Watauga
3682,3164,9046,55234,9831,Hoke
1059,943,6749,18947,7541,Bertie
3575,3121,13743,39490,14251,Person
3212,2791,17239,46994,18208,Beaufort
19391,17188,48174,159551,49864,Catawba
2239,1964,14785,43938,15283,Jackson
197800,186060,459605,1111761,479914,Wake
8876,7590,27692,97947,28915,Cleveland
5106,4411,18817,63531,20265,Sampson
3593,2969,14874,55508,15581,Columbus
1066,780,7774,22604,8194,Caswell
711,622,6477,18069,6842,Yancey
6939,6127,18970,61779,20099,Lee
1728,1513,6713,23677,7398,Hertford
8394,7396,27677,91010,29010,Rockingham
176991,160915,373758,1110356,396356,Mecklenburg
8056,7349,24331,69473,25465,Carteret
849,720,3665,14271,3860,Swain
1000,901,6721,17557,7182,Avery
4870,4380,14375,44535,15533,Vance
2976,2535,17225,50010,18367,Halifax
3574,3204,17380,67029,18724,Rutherford
11956,10693,30488,94298,32329,Nash
2237,2131,9378,27203,10039,Ashe
4872,4245,11925,45591,12461,Stokes
480,357,2341,8441,2496,Graham
6068,5405,18606,63060,19769,Pender
9421,8510,32856,102139,34199,Craven
69630,62366,194861,537174,202953,Guilford
895,797,9104,21755,9413,Madison
9998,9045,26686,74470,27839,Chatham
18018,15877,57768,180742,60328,Pitt
10783,9787,36683,100880,37858,Moore
49967,45217,135350,382295,141817,Forsyth
25696,23349,48083,181806,48332,Iredell
2523,2342,13266,34385,13718,Transylvania
1450,1269,7529,22440,8105,Martin
1646,1491,7115,19731,7491,Warren
687,580,3060,9419,3218,Jones
5097,4580,14163,42846,14684,Davie
32654,28111,65403,335509,68724,Cumberland
1993,1678,15853,45756,16658,McDowell
1632,1460,8329,28612,8726,Cherokee
1068,999,4834,13943,5631,Chowan
19933,19323,76062,148476,78695,Orange
1572,1396,11632,37497,12180,Alexander
41468,38347,140473,321488,146179,Durham
10780,10190,43311,117417,45389,Henderson
3108,2729,12389,39824,14031,Pasquotank
705,639,5357,12726,5641,Pamlico
679,594,4884,14964,5204,Mitchell
1411,1276,7914,27763,8859,Currituck
16531,15537,58026,142820,60297,Brunswick
16149,14271,44471,167609,46807,Davidson
8834,8030,20099,69685,21053,Franklin
3780,3380,19142,37009,19789,Dare
2486,2054,9346,32722,10274,Bladen
34007,31435,86114,234473,89875,New Hanover
1495,1224,7075,24446,7493,Anson
