People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
9500,7513,29163,130625,34294,Robeson
728,600,4270,13463,4762,Perquimans
26254,22358,61882,209339,67487,Johnston
15276,12974,35245,143667,37869,Randolph
140,117,2693,4937,2909,Hyde
1082,979,4365,11137,4668,Alleghany
5735,4689,13918,58741,15329,Duplin
386,336,3374,11562,3756,Gates
6624,5785,23023,62317,24472,Haywood
4909,4065,16983,62806,18262,Stanly
68416,61665,20593,,24199,Missing County
8959,7572,24912,81801,26706,Wilson
131,97,1448,4016,1593,Tyrrell
12149,10206,30643,123131,33194,Wayne
1953,1669,7701,27173,8286,Montgomery
6914,5848,17403,55949,18811,Lenoir
3387,2642,10651,34823,11382,Scotland
19207,16072,63180,169509,66719,Alamance
555,455,2912,10867,3285,Camden
1805,1502,7116,21069,7635,Greene
15466,12596,33844,142088,36274,Rowan
1014,828,6707,19483,7298,Northampton
7126,5826,17889,68412,20002,Wilkes
11808,10157,23809,86111,24925,Lincoln
7233,5840,24801,82178,26156,Caldwell
1507,1323,6906,20724,7282,Polk
8611,7214,22205,71783,23414,Surry
2236,1865,15152,35858,16415,Macon
883,801,3197,11231,3497,Clay
3608,2828,11550,37667,12180,Yadkin
17791,14488,31672,197938,34800,Onslow
3569,2799,13469,44829,14686,Richmond
37649,35226,105333,261191,111754,Buncombe
37361,32665,70871,239859,74552,Union
34092,30212,61377,216453,65923,Cabarrus
1401,1096,3334,11580,3760,Washington
13161,10826,30525,135976,32733,Harnett
7640,6197,27450,90485,29017,Burke
0,0,76176,,84090,Out of State
7786,6634,20614,60443,21951,Granville
29156,24499,60883,224529,64740,Gaston
4897,3994,14995,51472,16322,Edgecombe
3651,3205,24395,56177,26214,Watauga
4188,3521,9339,55234,10699,Hoke
1201,997,6972,18947,7845,Bertie
3984,3366,14013,39490,14881,Person
3645,3024,17601,46994,18955,Beaufort
21794,18528,48895,159551,50967,Catawba
2622,2131,15080,43938,15879,Jackson
213215,196187,467405,1111761,491677,Wake
10348,8279,28249,97947,30132,Cleveland
6041,4846,19493,63531,21588,Sampson
4478,3361,15187,55508,16422,Columbus
1207,845,8016,22604,8518,Caswell
796,673,6613,18069,7177,Yancey
8198,6803,19377,61779,20799,Lee
2060,1655,6894,23677,7620,Hertford
9482,7897,28126,91010,29931,Rockingham
194510,172704,382071,1110356,410268,Mecklenburg
9136,7816,24639,69473,26063,Carteret
973,774,3705,14271,3927,Swain
1128,977,6833,17557,7365,Avery
5409,4682,14797,44535,16251,Vance
3475,2788,17727,50010,19440,Halifax
4081,3478,17805,67029,19700,Rutherford
13508,11708,31059,94298,33340,Nash
2440,2229,9512,27203,10410,Ashe
5469,4570,12131,45591,12887,Stokes
615,435,2429,8441,2650,Graham
6972,5855,19218,63060,20705,Pender
10443,9112,33717,102139,35539,Craven
78737,67911,197571,537174,207969,Guilford
1009,871,9346,21755,9824,Madison
10877,9526,26957,74470,28435,Chatham
20811,17478,58800,180742,62196,Pitt
12134,10475,37132,100880,38598,Moore
55618,48663,138397,382295,147655,Forsyth
28623,24954,48768,181806,49659,Iredell
2719,2437,13542,34385,14178,Transylvania
1591,1343,7818,22440,8621,Martin
1811,1607,7273,19731,7734,Warren
786,631,3130,9419,3368,Jones
5735,4928,14438,42846,15222,Davie
37900,31208,67139,335509,72018,Cumberland
2173,1775,16352,45756,17740,McDowell
1830,1521,8473,28612,9131,Cherokee
1265,1078,4955,13943,5868,Chowan
21238,20116,76936,148476,80034,Orange
1783,1492,11852,37497,12513,Alexander
45462,40999,143346,321488,151034,Durham
11597,10627,44446,117417,47403,Henderson
3603,2933,12784,39824,14551,Pasquotank
775,683,5456,12726,5744,Pamlico
776,638,4973,14964,5388,Mitchell
1571,1359,8089,27763,9147,Currituck
18521,16418,58730,142820,61653,Brunswick
18299,15363,45684,167609,49138,Davidson
9897,8653,20424,69685,21615,Franklin
4352,3630,19437,37009,20414,Dare
2982,2310,9764,32722,10986,Bladen
38064,33582,87507,234473,92475,New Hanover
1817,1389,7183,24446,7696,Anson
