People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7168,6138,27540,130625,29853,Robeson
596,533,4121,13463,4554,Perquimans
21423,19215,59547,209339,63527,Johnston
12201,11024,34361,143667,35771,Randolph
126,112,2607,4937,2752,Hyde
981,932,4183,11137,4402,Alleghany
4478,4058,13167,58741,14121,Duplin
329,295,3238,11562,3551,Gates
5789,5267,22326,62317,23113,Haywood
4032,3540,16414,62806,17223,Stanly
54053,49404,18630,,19152,Missing County
7173,6472,24147,81801,25386,Wilson
98,87,1357,4016,1451,Tyrrell
10113,8814,29729,123131,31283,Wayne
1692,1525,7526,27173,7928,Montgomery
5832,5247,16878,55949,17736,Lenoir
2755,2327,10406,34823,10884,Scotland
15779,13854,61325,169509,63745,Alamance
434,389,2780,10867,3143,Camden
1446,1293,6900,21069,7266,Greene
12432,10803,32545,142088,33980,Rowan
815,682,6532,19483,6978,Northampton
5751,5083,17299,68412,18572,Wilkes
9992,9024,23411,86111,24137,Lincoln
5848,5151,24206,82178,25049,Caldwell
1305,1187,6778,20724,7110,Polk
7222,6543,21678,71783,22467,Surry
1838,1686,14802,35858,15368,Macon
810,783,3129,11231,3232,Clay
2692,2371,11205,37667,11615,Yadkin
13877,12195,30530,197938,33108,Onslow
2772,2388,13007,44829,13616,Richmond
33316,31682,102078,261191,106493,Buncombe
29890,26867,69088,239859,71540,Union
28455,25984,59313,216453,62596,Cabarrus
1202,994,3222,11580,3533,Washington
10420,9132,29533,135976,31141,Harnett
6247,5433,26781,90485,27778,Burke
0,0,74938,,81886,Out of State
6367,5746,20103,60443,21034,Granville
23818,21033,59116,224529,61698,Gaston
3928,3410,14421,51472,15305,Edgecombe
3253,2964,23982,56177,25417,Watauga
3261,2856,8845,55234,9654,Hoke
1003,903,6684,18947,7463,Bertie
3305,2906,13613,39490,14126,Person
3021,2660,17066,46994,17994,Beaufort
17914,15791,47882,159551,49515,Catawba
2088,1837,14717,43938,15179,Jackson
183495,173090,455115,1111761,475803,Wake
8229,7192,27451,97947,28571,Cleveland
4678,4147,18504,63531,19871,Sampson
3272,2794,14764,55508,15386,Columbus
999,730,7690,22604,8139,Caswell
620,542,6441,18069,6754,Yancey
6372,5718,18848,61779,19903,Lee
1576,1400,6655,23677,7305,Hertford
7799,6920,27473,91010,28806,Rockingham
162934,146026,368719,1110356,391309,Mecklenburg
7538,7032,24170,69473,25281,Carteret
804,684,3651,14271,3766,Swain
943,861,6610,17557,7088,Avery
4607,4164,14110,44535,15276,Vance
2765,2405,17100,50010,18113,Halifax
3287,3002,17221,67029,18495,Rutherford
10890,9907,30250,94298,32034,Nash
2126,1986,9315,27203,9972,Ashe
4502,4015,11847,45591,12374,Stokes
427,326,2307,8441,2469,Graham
5606,5061,18475,63060,19542,Pender
8951,8184,32526,102139,33732,Craven
63854,57399,193637,537174,201419,Guilford
817,749,9020,21755,9289,Madison
9559,8666,26526,74470,27661,Chatham
16593,14904,57444,180742,59853,Pitt
10226,9449,36718,100880,37854,Moore
46294,42040,133715,382295,139972,Forsyth
23702,21450,47853,181806,47975,Iredell
2393,2256,13169,34385,13540,Transylvania
1380,1222,7456,22440,7954,Martin
1557,1439,7050,19731,7417,Warren
640,550,3028,9419,3170,Jones
4769,4382,14044,42846,14526,Davie
29248,25360,64785,335509,67709,Cumberland
1871,1572,15726,45756,16447,McDowell
1577,1432,8279,28612,8639,Cherokee
994,960,4781,13943,5568,Chowan
19068,18388,75641,148476,78229,Orange
1471,1319,11520,37497,12020,Alexander
38766,35626,139375,321488,144518,Durham
10132,9602,42907,117417,44673,Henderson
2902,2588,12215,39824,13839,Pasquotank
666,608,5328,12726,5588,Pamlico
621,542,4830,14964,5136,Mitchell
1339,1229,7856,27763,8800,Currituck
15693,14795,57530,142820,59737,Brunswick
14896,13358,44081,167609,46155,Davidson
8171,7521,19953,69685,20849,Franklin
3523,3197,19030,37009,19687,Dare
2291,1891,9223,32722,10044,Bladen
31743,29214,85672,234473,89258,New Hanover
1313,1099,7010,24446,7387,Anson
