People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6560,5634,26818,29137,Robeson
554,511,4053,4505,Perquimans
20052,17956,58466,62677,Johnston
11594,10406,33867,35352,Randolph
119,106,2552,2726,Hyde
942,891,4100,4352,Alleghany
4169,3750,12984,13932,Duplin
317,280,3178,3514,Gates
5563,5068,22037,22881,Haywood
3825,3371,16084,16980,Stanly
51550,46662,18530,18086,Missing County
6706,6067,23666,25078,Wilson
90,86,1319,1409,Tyrrell
9292,8143,29329,30967,Wayne
1627,1459,7445,7906,Montgomery
5433,4901,16620,17558,Lenoir
2538,2150,10281,10792,Scotland
14995,13073,60396,62941,Alamance
403,364,2732,3108,Camden
1352,1223,6794,7197,Greene
11718,10141,31925,33438,Rowan
765,640,6458,6927,Northampton
5403,4721,17012,18310,Wilkes
9518,8500,23224,23969,Lincoln
5548,4856,23940,24822,Caldwell
1276,1160,6742,7066,Polk
6902,6189,21409,22245,Surry
1745,1587,14606,15206,Macon
803,768,3093,3205,Clay
2495,2166,11106,11519,Yadkin
12823,11208,30053,32211,Onslow
2579,2224,12824,13487,Richmond
32538,30765,100554,105125,Buncombe
28309,25301,67982,70590,Union
26976,24570,58445,61606,Cabarrus
1129,927,3159,3486,Washington
9727,8416,28850,30664,Harnett
5978,5158,26483,27542,Burke
0,0,74273,81213,Out of State
5998,5393,19806,20839,Granville
22386,19555,58183,60915,Gaston
3644,3155,14098,15022,Edgecombe
3165,2873,23640,25252,Watauga
2994,2588,8602,9507,Hoke
933,828,6590,7382,Bertie
3093,2715,13382,13955,Person
2826,2484,16843,17767,Beaufort
16966,14902,47148,48988,Catawba
1968,1726,14585,15084,Jackson
174618,164667,447915,470793,Wake
7739,6681,27142,28276,Cleveland
4294,3834,17978,19369,Sampson
3002,2628,14494,15047,Columbus
960,673,7555,7966,Caswell
592,509,6343,6652,Yancey
5856,5242,18569,19685,Lee
1429,1295,6559,7219,Hertford
7337,6436,27113,28507,Rockingham
154816,137909,361319,383436,Mecklenburg
7235,6725,23937,25122,Carteret
757,634,3628,3746,Swain
903,818,6510,6974,Avery
4320,3867,13822,15041,Vance
2557,2219,16813,17888,Halifax
3126,2856,17024,18286,Rutherford
10234,9180,29727,31637,Nash
2042,1898,9231,9896,Ashe
4333,3823,11736,12298,Stokes
367,312,2278,2398,Graham
5300,4826,18272,19295,Pender
8451,7756,32040,33350,Craven
60180,53814,191384,199494,Guilford
815,724,8970,9194,Madison
9203,8432,26209,27416,Chatham
15394,13923,56653,59269,Pitt
9660,9033,36481,37799,Moore
43892,39769,132144,138665,Forsyth
22498,20144,47415,47621,Iredell
2347,2191,13008,13416,Transylvania
1276,1145,7316,7799,Martin
1447,1348,6955,7341,Warren
605,511,2974,3139,Jones
4529,4166,13883,14413,Davie
27030,23092,63816,66949,Cumberland
1815,1544,15502,16209,McDowell
1518,1394,8198,8562,Cherokee
944,928,4706,5519,Chowan
18356,17824,74620,77408,Orange
1371,1254,11307,11859,Alexander
37039,34000,137245,143026,Durham
9890,9330,42267,44098,Henderson
2732,2431,12002,13667,Pasquotank
636,588,5175,5434,Pamlico
609,508,4778,5075,Mitchell
1290,1184,7780,8732,Currituck
15093,14242,57070,59303,Brunswick
14011,12588,43419,45612,Davidson
7740,7043,19685,20640,Franklin
3358,3025,18947,19609,Dare
2071,1767,9125,9792,Bladen
30470,28089,84786,88500,New Hanover
1209,1022,6922,7309,Anson
