People Fully Vaccinated,County,People Vaccinated with at Least One Dose
19008,Robeson,24683
3393,Perquimans,4025
37081,Johnston,53139
24156,Randolph,30838
1673,Hyde,2303
2998,Alleghany,3724
8900,Duplin,12188
2324,Gates,3039
14634,Haywood,19603
10778,Stanly,14911
5785,Missing County,10291
15449,Wilson,20991
1028,Tyrrell,1222
20341,Wayne,26940
5223,Montgomery,7136
12105,Lenoir,15073
7198,Scotland,9700
39445,Alamance,54212
2215,Camden,2823
4651,Greene,6026
21407,Rowan,27384
5059,Northampton,6286
13143,Wilkes,16168
15872,Lincoln,20564
17966,Caldwell,22082
5193,Polk,6395
16892,Surry,20450
11415,Macon,13918
2272,Clay,2886
8178,Yadkin,10270
22398,Onslow,28236
9788,Richmond,12006
65629,Buncombe,87950
43926,Union,56486
34697,Cabarrus,47733
2550,Washington,3140
20776,Harnett,26189
19843,Burke,24110
53993,Out of State,71158
13148,Granville,17633
41787,Gaston,52948
9114,Edgecombe,12886
16983,Watauga,21072
6004,Hoke,8002
5055,Bertie,6441
8347,Person,12139
13371,Beaufort,16294
11134,Jackson,13380
32592,Catawba,42831
272288,Wake,389386
20189,Cleveland,24877
11797,Sampson,16305
10797,Columbus,13333
5276,Caswell,6992
4267,Yancey,5606
13348,Lee,17346
5190,Hertford,6513
18101,Rockingham,25204
19519,Carteret,23436
203063,Mecklenburg,289073
2979,Swain,3517
4889,Avery,6091
9363,Vance,12484
12521,Halifax,16016
19569,Nash,27734
11592,Rutherford,15707
6810,Ashe,8587
8195,Stokes,10511
1863,Graham,2195
12875,Pender,17126
24530,Craven,30389
130807,Guilford,172754
5990,Madison,7884
19088,Chatham,25204
44786,Pitt,53647
29712,Moore,34910
91891,Forsyth,119836
30770,Iredell,41197
9876,Transylvania,11712
5574,Martin,6816
4539,Warren,6437
2199,Jones,2746
10273,Davie,12680
48940,Cumberland,59382
9765,McDowell,14015
5724,Cherokee,7567
3980,Chowan,5085
51255,Orange,66850
8085,Alexander,10347
92490,Durham,121286
27721,Henderson,37364
10135,Pasquotank,12296
4069,Pamlico,5044
2915,Mitchell,4161
5362,Currituck,7663
44828,Brunswick,55205
30670,Davidson,38505
12950,Franklin,17254
13675,Dare,17634
63009,New hanover,79002
6901,Bladen,8659
4748,Anson,6249
