People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5022,3929,24164,27140,Robeson
429,357,3803,4296,Perquimans
15614,12455,52904,59048,Johnston
9177,7335,31174,33300,Randolph
110,92,2248,2487,Hyde
832,705,3653,3955,Alleghany
3270,2800,12094,13246,Duplin
266,217,2875,3339,Gates
4977,4120,20233,21609,Haywood
3121,2372,14908,16178,Stanly
41511,32936,13008,13790,Missing County
5414,4496,21229,23435,Wilson
82,73,1191,1338,Tyrrell
7099,5602,26994,29577,Wayne
1330,1052,6951,7633,Montgomery
4488,3720,15297,16511,Lenoir
1995,1613,9559,10423,Scotland
12192,9863,55190,59580,Alamance
310,245,2556,2968,Camden
1089,944,6106,6620,Greene
9399,7309,28971,31349,Rowan
615,473,6148,6717,Northampton
4294,3232,16054,17424,Wilkes
7735,6098,21782,23118,Lincoln
4418,3448,22445,23785,Caldwell
1161,1022,6377,6801,Polk
5893,4899,20203,21394,Surry
1484,1329,13818,14629,Macon
769,701,2919,3103,Clay
1972,1648,10349,11055,Yadkin
9522,7086,28305,30879,Onslow
2058,1630,11922,12872,Richmond
29335,26064,91477,99531,Buncombe
22841,18230,61730,66526,Union
22115,17730,52473,57750,Cabarrus
948,747,2931,3307,Washington
7252,5287,26558,28993,Harnett
4814,3681,24774,26135,Burke
0,0,69968,79389,Out of State
4945,4005,18432,19821,Granville
17287,13195,54689,58579,Gaston
2839,2185,12168,13959,Edgecombe
2788,2428,20348,21949,Watauga
2129,1639,7734,8858,Hoke
711,601,6164,7001,Bertie
2438,1921,12171,13259,Person
2263,1804,15978,17106,Beaufort
13804,10699,43919,46748,Catawba
1640,1360,13656,14620,Jackson
147788,124579,406470,445700,Wake
6126,4706,25383,27026,Cleveland
3360,2672,16184,17863,Sampson
2471,2032,13668,14458,Columbus
786,485,6906,7542,Caswell
448,329,5730,6294,Yancey
4476,3555,17250,18801,Lee
1141,957,6140,7047,Hertford
5721,4427,25031,27137,Rockingham
126972,100629,319726,355847,Mecklenburg
6050,5115,23006,24553,Carteret
620,487,3493,3667,Swain
756,646,5945,6446,Avery
3432,2701,12621,13996,Vance
1988,1562,15635,17129,Halifax
2523,2165,15366,17216,Rutherford
8057,6410,26391,30064,Nash
1717,1540,8427,9176,Ashe
3543,2850,10792,11692,Stokes
284,227,2145,2283,Graham
4327,3663,17143,18512,Pender
6898,5808,30212,31995,Craven
48588,39669,176219,190782,Guilford
708,599,8305,8825,Madison
8345,7043,24697,27322,Chatham
12354,10308,53638,56952,Pitt
8274,7094,34600,36864,Moore
36634,30745,120722,132090,Forsyth
18181,14212,44289,45873,Iredell
2098,1864,12150,12811,Transylvania
1056,875,6733,7367,Martin
1209,1033,6496,7070,Warren
475,372,2742,2959,Jones
3811,3193,12922,13825,Davie
19703,14747,59710,64128,Cumberland
1525,1163,14259,15441,McDowell
1380,1210,7676,8204,Cherokee
790,724,4381,5278,Chowan
16768,15235,68032,73955,Orange
1109,899,10352,11013,Alexander
32194,27179,124860,136210,Durham
8726,7662,38991,41633,Henderson
2071,1610,11250,13029,Pasquotank
496,417,4943,5282,Pamlico
494,375,4330,4803,Mitchell
1040,853,7199,8207,Currituck
13166,11748,54908,58126,Brunswick
11380,9187,39813,42954,Davidson
6234,4991,17942,19369,Franklin
2861,2439,17709,18585,Dare
1628,1259,8581,9321,Bladen
26372,22603,80568,85327,New Hanover
911,710,6370,6940,Anson
