People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6214,5354,26044,28691,Robeson
534,484,4001,4461,Perquimans
19293,17005,57669,62067,Johnston
11214,9860,33553,34980,Randolph
117,104,2478,2683,Hyde
929,868,4041,4280,Alleghany
4000,3590,12870,13714,Duplin
305,269,3096,3462,Gates
5479,4932,21878,22733,Haywood
3695,3233,15891,16788,Stanly
50017,44535,17447,17431,Missing County
6498,5840,23377,24776,Wilson
87,85,1306,1403,Tyrrell
8871,7687,29050,30744,Wayne
1570,1384,7357,7887,Montgomery
5263,4700,16448,17406,Lenoir
2428,2047,10209,10751,Scotland
14517,12540,59729,62433,Alamance
386,347,2704,3084,Camden
1304,1162,6721,7138,Greene
11284,9667,31521,33164,Rowan
727,613,6419,6878,Northampton
5237,4516,16888,18206,Wilkes
9213,8083,23095,23891,Lincoln
5336,4601,23779,24645,Caldwell
1255,1137,6709,7040,Polk
6737,5976,21235,22112,Surry
1695,1538,14541,15138,Macon
801,755,3083,3186,Clay
2410,2071,11018,11438,Yadkin
12253,10533,29862,32047,Onslow
2468,2134,12707,13402,Richmond
32088,30205,99319,104135,Buncombe
27509,24184,67098,70034,Union
26167,23622,57832,60906,Cabarrus
1098,897,3135,3456,Washington
9227,7808,28534,30392,Harnett
5753,4859,26172,27258,Burke
0,0,73526,80579,Out of State
5805,5172,19586,20682,Granville
21597,18568,57698,60371,Gaston
3510,2958,13596,14887,Edgecombe
3105,2796,23204,25166,Watauga
2840,2412,8480,9295,Hoke
878,761,6505,7291,Bertie
2956,2576,13311,13860,Person
2738,2360,16656,17607,Beaufort
16476,14266,46797,48732,Catawba
1919,1655,14520,15035,Jackson
170561,159458,442082,466981,Wake
7476,6334,26937,28119,Cleveland
4088,3633,17643,19049,Sampson
2898,2538,14428,14951,Columbus
920,631,7489,7894,Caswell
576,480,6289,6623,Yancey
5624,5036,18384,19568,Lee
1378,1235,6497,7252,Hertford
7026,6007,26895,28342,Rockingham
150759,132562,355975,379280,Mecklenburg
7059,6490,23811,25048,Carteret
730,612,3607,3737,Swain
881,799,6434,6914,Avery
4165,3685,13550,14826,Vance
2453,2099,16618,17753,Halifax
3032,2767,16879,18165,Rutherford
9889,8778,28938,31396,Nash
1987,1842,9140,9787,Ashe
4221,3633,11598,12165,Stokes
333,300,2257,2366,Graham
5152,4672,18074,19181,Pender
8186,7403,31658,33095,Craven
58414,51555,189673,198386,Guilford
815,727,8872,9128,Madison
9045,8238,25978,27312,Chatham
14830,13278,56222,58909,Pitt
9438,8753,36337,37808,Moore
42791,38430,130826,137471,Forsyth
21805,19216,47085,47415,Iredell
2301,2163,12820,13345,Transylvania
1214,1071,7226,7716,Martin
1415,1298,6863,7282,Warren
574,487,2931,3105,Jones
4393,4026,13755,14333,Davie
25801,21690,63174,66448,Cumberland
1745,1433,15381,16123,McDowell
1479,1364,8139,8508,Cherokee
918,908,4659,5473,Chowan
18127,17513,73672,76968,Orange
1339,1177,11195,11770,Alexander
36247,32949,135716,141991,Durham
9736,9114,41798,43706,Henderson
2619,2297,11859,13532,Pasquotank
615,554,5137,5407,Pamlico
597,489,4724,5014,Mitchell
1261,1121,7619,8577,Currituck
14760,13888,56855,59152,Brunswick
13547,11979,42994,45180,Davidson
7472,6754,19402,20441,Franklin
3285,2920,18570,19286,Dare
1979,1679,9051,9705,Bladen
29837,27330,84231,88124,New Hanover
1163,970,6813,7214,Anson
