People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7262,6196,27632,130625,29937,Robeson
599,537,4122,13463,4554,Perquimans
21620,19376,59672,209339,63623,Johnston
12240,11078,34446,143667,35831,Randolph
127,113,2608,4937,2753,Hyde
983,933,4185,11137,4404,Alleghany
4521,4103,13187,58741,14149,Duplin
334,296,3242,11562,3553,Gates
5826,5302,22359,62317,23162,Haywood
4043,3557,16429,62806,17239,Stanly
54266,49625,18710,,19744,Missing County
7246,6517,24197,81801,25426,Wilson
99,87,1357,4016,1451,Tyrrell
10213,8898,29793,123131,31337,Wayne
1698,1530,7558,27173,7951,Montgomery
5875,5291,16895,55949,17763,Lenoir
2799,2349,10409,34823,10898,Scotland
15833,13901,61460,169509,63863,Alamance
438,389,2782,10867,3146,Camden
1461,1304,6910,21069,7276,Greene
12533,10860,32608,142088,34067,Rowan
818,688,6542,19483,6986,Northampton
5785,5116,17319,68412,18614,Wilkes
10037,9078,23425,86111,24173,Lincoln
5889,5182,24253,82178,25086,Caldwell
1304,1188,6785,20724,7118,Polk
7261,6579,21700,71783,22513,Surry
1851,1694,14840,35858,15408,Macon
816,783,3136,11231,3241,Clay
2705,2390,11232,37667,11638,Yadkin
14030,12336,30671,197938,33276,Onslow
2802,2411,13051,44829,13647,Richmond
33393,31746,102229,261191,106642,Buncombe
30051,26971,69180,239859,71639,Union
28584,26135,59373,216453,62688,Cabarrus
1214,1005,3223,11580,3533,Washington
10533,9220,29580,135976,31192,Harnett
6293,5476,26846,90485,27804,Burke
0,0,74824,,81818,Out of State
6405,5781,20139,60443,21071,Granville
23937,21162,59213,224529,61824,Gaston
3977,3437,14443,51472,15324,Edgecombe
3262,2972,23985,56177,25429,Watauga
3281,2882,8868,55234,9673,Hoke
1010,907,6693,18947,7473,Bertie
3329,2925,13642,39490,14148,Person
3042,2677,17070,46994,18009,Beaufort
18008,15884,47955,159551,49590,Catawba
2099,1850,14734,43938,15199,Jackson
184308,173811,455816,1111761,476309,Wake
8288,7240,27493,97947,28619,Cleveland
4736,4181,18556,63531,19947,Sampson
3316,2818,14793,55508,15423,Columbus
1009,736,7695,22604,8150,Caswell
620,543,6449,18069,6767,Yancey
6429,5786,18872,61779,19917,Lee
1599,1410,6672,23677,7321,Hertford
7835,6967,27516,91010,28838,Rockingham
163730,146757,369374,1110356,392045,Mecklenburg
7570,7058,24232,69473,25327,Carteret
814,690,3651,14271,3766,Swain
945,862,6638,17557,7105,Avery
4637,4194,14168,44535,15314,Vance
2792,2430,17108,50010,18124,Halifax
3288,3014,17243,67029,18534,Rutherford
10971,9962,30275,94298,32065,Nash
2133,1996,9330,27203,9984,Ashe
4530,4030,11857,45591,12390,Stokes
454,329,2307,8441,2469,Graham
5633,5080,18510,63060,19574,Pender
8996,8225,32561,102139,33784,Craven
64224,57721,194002,537174,201761,Guilford
812,750,9027,21755,9306,Madison
9603,8706,26553,74470,27691,Chatham
16746,15048,57468,180742,59900,Pitt
10311,9510,36735,100880,37866,Moore
46564,42266,133939,382295,140212,Forsyth
23788,21544,47893,181806,48030,Iredell
2400,2262,13185,34385,13566,Transylvania
1395,1232,7472,22440,7980,Martin
1574,1450,7060,19731,7429,Warren
651,557,3040,9419,3178,Jones
4806,4411,14069,42846,14549,Davie
29514,25565,64912,335509,68130,Cumberland
1875,1578,15738,45756,16469,McDowell
1591,1438,8282,28612,8650,Cherokee
1004,962,4790,13943,5578,Chowan
19136,18434,75720,148476,78273,Orange
1474,1325,11541,37497,12040,Alexander
38961,35762,139586,321488,144713,Durham
10158,9619,42998,117417,44778,Henderson
2931,2597,12228,39824,13860,Pasquotank
669,612,5330,12726,5594,Pamlico
621,542,4841,14964,5147,Mitchell
1339,1233,7866,27763,8806,Currituck
15780,14865,57607,142820,59797,Brunswick
15016,13455,44177,167609,46221,Davidson
8253,7571,19990,69685,20882,Franklin
3530,3209,19031,37009,19690,Dare
2328,1915,9255,32722,10082,Bladen
31892,29330,85766,234473,89335,New Hanover
1317,1101,7022,24446,7414,Anson
