People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6910,5919,27328,130625,29660,Robeson
583,528,4093,13463,4539,Perquimans
21015,18787,59236,209339,63273,Johnston
12042,10850,34210,143667,35607,Randolph
123,108,2587,4937,2740,Hyde
969,916,4159,11137,4392,Alleghany
4376,3939,13129,58741,14083,Duplin
323,290,3212,11562,3533,Gates
5702,5198,22242,62317,23018,Haywood
3957,3497,16274,62806,17146,Stanly
53294,48493,18825,,18953,Missing County
7006,6319,23985,81801,25263,Wilson
94,87,1339,4016,1437,Tyrrell
9825,8536,29610,123131,31170,Wayne
1682,1511,7518,27173,7918,Montgomery
5650,5090,16792,55949,17664,Lenoir
2674,2257,10372,34823,10844,Scotland
15570,13647,61098,169509,63523,Alamance
425,381,2763,10867,3129,Camden
1412,1261,6866,21069,7240,Greene
12185,10589,32393,142088,33831,Rowan
799,669,6509,19483,6950,Northampton
5671,4958,17220,68412,18494,Wilkes
9846,8828,23369,86111,24109,Lincoln
5744,5061,24123,82178,24997,Caldwell
1298,1180,6769,20724,7085,Polk
7129,6433,21592,71783,22383,Surry
1819,1663,14753,35858,15318,Macon
807,779,3123,11231,3222,Clay
2639,2309,11175,37667,11601,Yadkin
13478,11824,30254,197938,32933,Onslow
2682,2316,12938,44829,13561,Richmond
33071,31388,101536,261191,105939,Buncombe
29429,26346,68833,239859,71294,Union
28022,25511,59080,216453,62279,Cabarrus
1172,963,3197,11580,3517,Washington
10195,8892,29306,135976,30965,Harnett
6151,5333,26660,90485,27719,Burke
0,0,74847,,81817,Out of State
6267,5627,20028,60443,20979,Granville
23385,20528,58966,224529,61567,Gaston
3816,3317,14339,51472,15215,Edgecombe
3221,2932,23930,56177,25391,Watauga
3165,2760,8733,55234,9607,Hoke
978,874,6641,18947,7425,Bertie
3244,2846,13547,39490,14097,Person
2951,2594,16963,46994,17914,Beaufort
17637,15529,47509,159551,49318,Catawba
2053,1803,14682,43938,15157,Jackson
180905,170073,453404,1111761,474457,Wake
8074,7024,27376,97947,28500,Cleveland
4544,4032,18366,63531,19719,Sampson
3173,2721,14585,55508,15350,Columbus
987,713,7671,22604,8130,Caswell
615,537,6419,18069,6730,Yancey
6185,5510,18747,61779,19842,Lee
1523,1356,6629,23677,7274,Hertford
7658,6754,27402,91010,28729,Rockingham
160278,143218,366495,1110356,389466,Mecklenburg
7425,6937,24116,69473,25236,Carteret
788,662,3646,14271,3758,Swain
925,847,6580,17557,7056,Avery
4521,4063,14036,44535,15206,Vance
2682,2329,17007,50010,18031,Halifax
3244,2957,17169,67029,18433,Rutherford
10638,9633,30117,94298,31919,Nash
2106,1960,9293,27203,9959,Ashe
4445,3956,11810,45591,12342,Stokes
399,316,2298,8441,2445,Graham
5505,4992,18409,63060,19475,Pender
8762,8030,32384,102139,33614,Craven
62691,56136,193054,537174,200952,Guilford
802,735,9005,21755,9256,Madison
9454,8589,26410,74470,27601,Chatham
16171,14543,57140,180742,59644,Pitt
10012,9280,36656,100880,37796,Moore
45543,41224,133294,382295,139560,Forsyth
23367,21085,47753,181806,47900,Iredell
2371,2237,13099,34385,13489,Transylvania
1344,1203,7413,22440,7906,Martin
1517,1407,7019,19731,7391,Warren
630,532,3003,9419,3161,Jones
4690,4321,13992,42846,14481,Davie
28472,24445,64528,335509,67452,Cumberland
1861,1559,15681,45756,16376,McDowell
1554,1417,8260,28612,8613,Cherokee
971,953,4744,13943,5548,Chowan
18853,18239,75461,148476,78061,Orange
1440,1299,11501,37497,11981,Alexander
38223,35034,138709,321488,143987,Durham
10056,9538,42748,117417,44510,Henderson
2844,2530,12116,39824,13762,Pasquotank
659,601,5299,12726,5574,Pamlico
620,535,4818,14964,5125,Mitchell
1329,1218,7835,27763,8772,Currituck
15488,14589,57260,142820,59606,Brunswick
14622,13075,43912,167609,45991,Davidson
8027,7357,19878,69685,20774,Franklin
3467,3138,19005,37009,19669,Dare
2211,1843,9174,32722,9953,Bladen
31293,28816,85336,234473,89044,New Hanover
1284,1065,6973,24446,7343,Anson
