People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7853,6624,28000,130625,30447,Robeson
631,555,4158,13463,4579,Perquimans
23112,20440,60139,209339,64266,Johnston
13331,12065,34594,143667,36060,Randolph
128,116,2624,4937,2776,Hyde
1004,942,4194,11137,4413,Alleghany
4775,4312,13471,58741,14420,Duplin
350,315,3267,11562,3607,Gates
6056,5450,22464,62317,23378,Haywood
4360,3773,16519,62806,17436,Stanly
60023,56116,18178,,20675,Missing County
7780,6886,24372,81801,25643,Wilson
105,90,1365,4016,1465,Tyrrell
10720,9260,29996,123131,31606,Wayne
1790,1601,7579,27173,8005,Montgomery
6080,5421,16993,55949,17881,Lenoir
2897,2424,10471,34823,10975,Scotland
17015,14896,61826,169509,64375,Alamance
472,408,2801,10867,3171,Camden
1521,1350,6946,21069,7332,Greene
13491,11563,32815,142088,34459,Rowan
876,747,6576,19483,7021,Northampton
6186,5382,17436,68412,18793,Wilkes
10600,9550,23504,86111,24303,Lincoln
6271,5425,24367,82178,25259,Caldwell
1380,1250,6804,20724,7147,Polk
7626,6791,21804,71783,22695,Surry
1954,1759,14889,35858,15506,Macon
829,789,3153,11231,3273,Clay
2974,2547,11325,37667,11785,Yadkin
15086,12944,30955,197938,33651,Onslow
2977,2529,13182,44829,13876,Richmond
35231,33716,102870,261191,107581,Buncombe
33113,30076,69551,239859,72076,Union
30585,27918,59776,216453,63374,Cabarrus
1246,1032,3245,11580,3551,Washington
11300,9816,29774,135976,31428,Harnett
6652,5776,26946,90485,28019,Burke
0,0,74994,,81998,Out of State
6791,6065,20253,60443,21220,Granville
25635,22522,59689,224529,62346,Gaston
4225,3636,14536,51472,15419,Edgecombe
3371,3069,24052,56177,25530,Watauga
3626,3132,9040,55234,9819,Hoke
1044,943,6744,18947,7539,Bertie
3554,3108,13738,39490,14242,Person
3195,2778,17180,46994,18173,Beaufort
19343,17172,48154,159551,49841,Catawba
2227,1959,14777,43938,15275,Jackson
194927,183714,459209,1111761,479409,Wake
8802,7572,27679,97947,28870,Cleveland
5064,4393,18805,63531,20250,Sampson
3552,2957,14868,55508,15564,Columbus
1047,774,7744,22604,8193,Caswell
709,623,6473,18069,6829,Yancey
6831,6068,18966,61779,20091,Lee
1720,1511,6711,23677,7378,Hertford
8332,7348,27670,91010,29001,Rockingham
176279,160599,373219,1110356,395633,Mecklenburg
8006,7339,24326,69473,25459,Carteret
841,714,3658,14271,3851,Swain
998,900,6717,17557,7178,Avery
4825,4351,14357,44535,15511,Vance
2948,2528,17214,50010,18339,Halifax
3557,3202,17352,67029,18692,Rutherford
11867,10656,30442,94298,32268,Nash
2226,2133,9367,27203,10032,Ashe
4835,4239,11923,45591,12459,Stokes
477,353,2341,8441,2494,Graham
6028,5386,18594,63060,19737,Pender
9365,8493,32821,102139,34148,Craven
69333,62260,194744,537174,202765,Guilford
871,794,9091,21755,9394,Madison
9935,9001,26676,74470,27806,Chatham
17873,15833,57732,180742,60269,Pitt
10685,9731,36675,100880,37855,Moore
49772,45111,135232,382295,141702,Forsyth
25591,23284,48068,181806,48289,Iredell
2517,2341,13252,34385,13697,Transylvania
1461,1269,7527,22440,8099,Martin
1636,1486,7100,19731,7478,Warren
682,578,3056,9419,3213,Jones
5050,4569,14160,42846,14671,Davie
32446,28004,65378,335509,68662,Cumberland
1970,1657,15848,45756,16641,McDowell
1625,1458,8328,28612,8726,Cherokee
1058,995,4832,13943,5624,Chowan
19838,19232,76024,148476,78636,Orange
1558,1397,11625,37497,12177,Alexander
41306,38261,140371,321488,145980,Durham
10765,10179,43281,117417,45302,Henderson
3088,2718,12387,39824,14030,Pasquotank
701,638,5354,12726,5630,Pamlico
680,594,4870,14964,5195,Mitchell
1409,1275,7904,27763,8848,Currituck
16424,15504,58014,142820,60248,Brunswick
16010,14191,44441,167609,46739,Davidson
8780,8001,20090,69685,21021,Franklin
3769,3375,19123,37009,19771,Dare
2467,2041,9335,32722,10244,Bladen
33851,31358,86051,234473,89765,New Hanover
1495,1222,7061,24446,7457,Anson
