People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
8123,6733,28153,130625,30797,Robeson
645,559,4175,13463,4602,Perquimans
23738,20768,60396,209339,64628,Johnston
13643,12212,34669,143667,36283,Randolph
129,117,2626,4937,2796,Hyde
1011,945,4215,11137,4438,Alleghany
4919,4361,13511,58741,14522,Duplin
354,316,3284,11562,3651,Gates
6156,5492,22517,62317,23488,Haywood
4440,3818,16574,62806,17551,Stanly
61782,57156,18517,,21079,Missing County
7954,6967,24468,81801,25785,Wilson
107,91,1395,4016,1494,Tyrrell
10995,9412,30072,123131,31740,Wayne
1823,1615,7608,27173,8037,Montgomery
6196,5469,17041,55949,17978,Lenoir
2957,2454,10493,34823,11033,Scotland
17339,15056,61979,169509,64663,Alamance
489,414,2816,10867,3188,Camden
1597,1369,6976,21069,7371,Greene
13808,11735,32958,142088,34637,Rowan
908,761,6604,19483,7076,Northampton
6321,5447,17474,68412,18879,Wilkes
10805,9617,23544,86111,24369,Lincoln
6401,5493,24433,82178,25385,Caldwell
1411,1260,6815,20724,7164,Polk
7769,6824,21843,71783,22802,Surry
1983,1768,14913,35858,15601,Macon
835,790,3159,11231,3281,Clay
3080,2580,11352,37667,11848,Yadkin
15488,13129,31057,197938,33800,Onslow
3082,2560,13207,44829,13972,Richmond
35590,33888,103099,261191,107983,Buncombe
33759,30421,69722,239859,72413,Union
31197,28241,60098,216453,63752,Cabarrus
1268,1044,3262,11580,3582,Washington
11612,9979,29896,135976,31615,Harnett
6816,5846,27013,90485,28193,Burke
0,0,75128,,82246,Out of State
7007,6216,20307,60443,21313,Granville
26154,22784,59835,224529,62544,Gaston
4337,3680,14622,51472,15590,Edgecombe
3403,3082,24147,56177,25637,Watauga
3740,3199,9070,55234,9882,Hoke
1071,951,6762,18947,7575,Bertie
3621,3144,13786,39490,14303,Person
3273,2819,17277,46994,18308,Beaufort
19686,17361,48290,159551,50007,Catawba
2283,1983,14803,43938,15324,Jackson
199459,186894,460580,1111761,481091,Wake
9026,7637,27713,97947,28976,Cleveland
5194,4465,18881,63531,20365,Sampson
3665,2997,14904,55508,15627,Columbus
1082,789,7857,22604,8246,Caswell
726,625,6499,18069,6872,Yancey
7071,6162,19032,61779,20161,Lee
1767,1523,6729,23677,7418,Hertford
8517,7453,27693,91010,29118,Rockingham
179373,162147,374591,1110356,397989,Mecklenburg
8187,7389,24338,69473,25481,Carteret
859,726,3665,14271,3867,Swain
1013,912,6727,17557,7192,Avery
4937,4408,14413,44535,15618,Vance
3015,2551,17342,50010,18629,Halifax
3658,3239,17402,67029,18771,Rutherford
12169,10792,30563,94298,32595,Nash
2258,2135,9401,27203,10055,Ashe
4969,4268,11945,45591,12502,Stokes
484,362,2348,8441,2512,Graham
6168,5442,18635,63060,19828,Pender
9553,8557,32928,102139,34317,Craven
70895,62941,195105,537174,203398,Guilford
905,798,9115,21755,9447,Madison
10126,9109,26710,74470,27892,Chatham
18320,16004,57872,180742,60525,Pitt
10897,9813,36725,100880,37965,Moore
50767,45561,135648,382295,142510,Forsyth
26070,23539,48144,181806,48443,Iredell
2552,2352,13285,34385,13755,Transylvania
1478,1279,7552,22440,8157,Martin
1666,1499,7125,19731,7504,Warren
693,584,3061,9419,3224,Jones
5170,4597,14194,42846,14757,Davie
33287,28423,65505,335509,68983,Cumberland
2009,1697,15887,45756,16753,McDowell
1642,1464,8339,28612,8759,Cherokee
1093,1008,4852,13943,5642,Chowan
20056,19392,76132,148476,78838,Orange
1604,1405,11642,37497,12186,Alexander
42163,38818,140761,321488,146584,Durham
10891,10250,43373,117417,45484,Henderson
3175,2746,12464,39824,14107,Pasquotank
716,645,5370,12726,5660,Pamlico
693,599,4893,14964,5215,Mitchell
1428,1282,7926,27763,8884,Currituck
16745,15611,58100,142820,60458,Brunswick
16397,14386,44565,167609,47034,Davidson
8961,8071,20129,69685,21106,Franklin
3860,3414,19173,37009,19827,Dare
2522,2082,9403,32722,10342,Bladen
34395,31633,86198,234473,90104,New Hanover
1532,1232,7087,24446,7504,Anson
