People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6326,5470,26342,28880,Robeson
544,491,4002,4463,Perquimans
19603,17366,57969,62228,Johnston
11365,10115,33646,35102,Randolph
118,106,2507,2686,Hyde
933,872,4044,4283,Alleghany
4065,3642,12898,13732,Duplin
310,275,3155,3475,Gates
5498,4984,21921,22777,Haywood
3726,3292,15961,16886,Stanly
50487,45135,18060,17617,Missing County
6556,5907,23494,24856,Wilson
87,85,1316,1406,Tyrrell
9051,7870,29171,30815,Wayne
1592,1422,7368,7896,Montgomery
5329,4785,16511,17472,Lenoir
2473,2091,10220,10761,Scotland
14640,12709,59951,62620,Alamance
396,358,2703,3086,Camden
1320,1188,6756,7156,Greene
11461,9844,31575,33229,Rowan
735,622,6429,6895,Northampton
5295,4580,16942,18243,Wilkes
9344,8250,23128,23914,Lincoln
5431,4704,23839,24717,Caldwell
1258,1142,6715,7047,Polk
6807,6070,21289,22160,Surry
1707,1584,14593,15176,Macon
803,760,3084,3188,Clay
2452,2106,11042,11460,Yadkin
12459,10821,29962,32112,Onslow
2515,2176,12741,13428,Richmond
32232,30379,99759,104428,Buncombe
27751,24478,67423,70263,Union
26457,23950,57699,61264,Cabarrus
1113,906,3148,3473,Washington
9393,8063,28598,30443,Harnett
5848,4979,26345,27436,Burke
0,0,73740,80739,Out of State
5877,5251,19661,20734,Granville
21906,18936,57848,60485,Gaston
3555,3046,13833,14909,Edgecombe
3131,2836,23461,25212,Watauga
2898,2487,8540,9391,Hoke
895,778,6537,7321,Bertie
3019,2634,13343,13889,Person
2764,2413,16727,17662,Beaufort
16619,14508,46884,48846,Catawba
1937,1684,14538,15052,Jackson
171923,161117,443563,467980,Wake
7588,6473,27053,28181,Cleveland
4176,3705,17781,19192,Sampson
2939,2571,14460,14980,Columbus
944,647,7502,7903,Caswell
583,486,6304,6626,Yancey
5670,5093,18464,19594,Lee
1394,1264,6520,7200,Hertford
7148,6185,26949,28383,Rockingham
152020,134143,357858,380814,Mecklenburg
7126,6586,23835,25070,Carteret
740,625,3618,3740,Swain
888,801,6460,6926,Avery
4225,3737,13600,14878,Vance
2487,2140,16679,17794,Halifax
3061,2801,16921,18196,Rutherford
10007,8924,29376,31457,Nash
2013,1871,9170,9840,Ashe
4248,3701,11627,12181,Stokes
344,309,2257,2368,Graham
5209,4734,18165,19211,Pender
8284,7534,31828,33190,Craven
58927,52261,190280,198790,Guilford
821,731,8890,9141,Madison
9113,8299,26046,27353,Chatham
15035,13507,56442,59115,Pitt
9538,8867,36346,37814,Moore
43129,38860,131175,137767,Forsyth
22050,19517,47217,47494,Iredell
2321,2176,12930,13380,Transylvania
1237,1101,7256,7741,Martin
1433,1319,6873,7292,Warren
583,491,2954,3119,Jones
4436,4071,13792,14355,Davie
26238,22113,63378,66584,Cumberland
1770,1469,15449,16158,McDowell
1494,1383,8145,8511,Cherokee
930,912,4670,5491,Chowan
18223,17621,73840,77041,Orange
1346,1211,11273,11799,Alexander
36484,33268,136160,142310,Durham
9775,9177,41937,43818,Henderson
2657,2362,11895,13574,Pasquotank
626,563,5150,5414,Pamlico
600,497,4740,5024,Mitchell
1272,1153,7760,8713,Currituck
14888,14032,56952,59215,Brunswick
13751,12242,43103,45291,Davidson
7593,6852,19483,20500,Franklin
3304,2959,18822,19485,Dare
2011,1722,9091,9737,Bladen
30056,27563,84422,88249,New Hanover
1174,982,6875,7249,Anson
