People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5794,4715,25296,28192,Robeson
507,419,3945,4406,Perquimans
18219,14995,56058,61229,Johnston
10564,8769,32587,34433,Randolph
115,96,2429,2647,Hyde
892,799,4008,4239,Alleghany
3740,3224,12597,13530,Duplin
290,251,3028,3431,Gates
5306,4613,21238,22423,Haywood
3534,2917,15531,16616,Stanly
47277,39334,14705,16469,Missing County
6145,5272,22458,24380,Wilson
86,81,1228,1365,Tyrrell
8296,6863,28364,30371,Wayne
1506,1254,7228,7791,Montgomery
5030,4294,15983,17108,Lenoir
2274,1880,10002,10630,Scotland
13780,11234,57398,61557,Alamance
370,312,2647,3036,Camden
1235,1080,6453,6902,Greene
10716,8711,30661,32510,Rowan
692,547,6322,6801,Northampton
4950,3928,16583,17946,Wilkes
8813,7305,22618,23613,Lincoln
5095,4216,23291,24379,Caldwell
1222,1078,6540,6998,Polk
6474,5474,20691,21813,Surry
1636,1439,14229,14975,Macon
795,727,3016,3156,Clay
2242,1842,10850,11324,Yadkin
11427,9093,29475,31708,Onslow
2316,1922,12390,13184,Richmond
31202,28480,96737,102778,Buncombe
26144,21356,65240,69034,Union
25039,21091,56105,60005,Cabarrus
1046,828,3025,3389,Washington
8595,6752,27813,29965,Harnett
5494,4400,25540,26895,Burke
0,0,72389,79951,Out of State
5499,4689,19143,20394,Granville
20335,16294,57118,59988,Gaston
3287,2640,12890,14544,Edgecombe
3019,2639,22289,24542,Watauga
2621,2067,8182,9076,Hoke
825,689,6384,7171,Bertie
2782,2352,12863,13706,Person
2590,2111,16390,17412,Beaufort
15625,12775,45847,48214,Catawba
1836,1531,14207,14889,Jackson
163875,144502,429308,461294,Wake
7022,5649,26452,27777,Cleveland
3837,3236,17001,18588,Sampson
2759,2305,14203,14818,Columbus
879,566,7246,7742,Caswell
539,407,6161,6554,Yancey
5202,4399,17989,19309,Lee
1291,1103,6413,7166,Hertford
6611,5306,26191,27993,Rockingham
143715,118722,345742,373016,Mecklenburg
6786,5953,23602,24855,Carteret
688,560,3568,3719,Swain
839,731,6277,6789,Avery
3914,3328,13197,14559,Vance
2285,1863,16221,17521,Halifax
2868,2481,16172,17626,Rutherford
9259,7809,27843,30873,Nash
1898,1706,8780,9491,Ashe
4013,3308,11261,11962,Stokes
312,272,2201,2332,Graham
4916,4158,17813,19012,Pender
7817,6842,31097,32711,Craven
55180,45980,184922,196450,Guilford
773,655,8720,9045,Madison
8839,7739,25507,27096,Chatham
14010,11992,55120,58363,Pitt
9103,8086,35708,37539,Moore
40766,35077,127276,136344,Forsyth
20735,16983,46181,46952,Iredell
2239,2052,12615,13222,Transylvania
1172,1012,7033,7590,Martin
1332,1174,6764,7194,Warren
534,433,2847,3051,Jones
4231,3687,13427,14204,Davie
23780,18646,61870,65673,Cumberland
1697,1349,15033,15898,McDowell
1450,1295,7955,8419,Cherokee
874,818,4540,5368,Chowan
17725,16682,71428,76165,Orange
1276,1059,10990,11556,Alexander
34923,30635,132059,140260,Durham
9426,8517,40830,43113,Henderson
2471,2011,11617,13368,Pasquotank
587,502,5063,5356,Pamlico
555,440,4614,4956,Mitchell
1201,994,7451,8497,Currituck
14293,12966,56078,58777,Brunswick
12892,10790,41994,44555,Davidson
7108,6060,18815,20099,Franklin
3139,2676,18136,19110,Dare
1843,1518,8869,9622,Bladen
28891,25271,82766,87247,New Hanover
1063,848,6661,7100,Anson
