People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7560,6440,27841,130625,30215,Robeson
618,555,4149,13463,4573,Perquimans
22552,20119,59994,209339,64011,Johnston
12951,11857,34494,143667,35989,Randolph
128,114,2618,4937,2776,Hyde
996,936,4192,11137,4411,Alleghany
4641,4221,13358,58741,14311,Duplin
344,315,3267,11562,3601,Gates
5950,5410,22416,62317,23273,Haywood
4222,3709,16483,62806,17330,Stanly
58151,54739,18482,,20295,Missing County
7541,6758,24317,81801,25580,Wilson
105,89,1363,4016,1465,Tyrrell
10490,9120,29924,123131,31548,Wayne
1765,1575,7565,27173,7984,Montgomery
5988,5372,16963,55949,17831,Lenoir
2847,2388,10459,34823,10961,Scotland
16492,14494,61684,169509,64114,Alamance
459,407,2798,10867,3167,Camden
1488,1333,6936,21069,7306,Greene
13060,11311,32734,142088,34263,Rowan
853,738,6568,19483,7014,Northampton
6007,5287,17380,68412,18684,Wilkes
10377,9443,23483,86111,24249,Lincoln
6099,5347,24332,82178,25182,Caldwell
1345,1226,6796,20724,7138,Polk
7427,6715,21773,71783,22623,Surry
1888,1720,14874,35858,15456,Macon
823,787,3142,11231,3253,Clay
2829,2479,11278,37667,11720,Yadkin
14598,12719,30888,197938,33546,Onslow
2891,2483,13167,44829,13827,Richmond
34640,33383,102602,261191,107145,Buncombe
32098,29376,69436,239859,71911,Union
29838,27451,59558,216453,63111,Cabarrus
1230,1019,3243,11580,3550,Washington
11031,9630,29725,135976,31355,Harnett
6499,5705,26897,90485,27926,Burke
0,0,74861,,81803,Out of State
6645,5975,20215,60443,21153,Granville
24959,22084,59567,224529,62208,Gaston
4131,3571,14496,51472,15378,Edgecombe
3327,3037,24033,56177,25487,Watauga
3489,3047,8959,55234,9743,Hoke
1031,928,6730,18947,7521,Bertie
3460,3055,13710,39490,14201,Person
3114,2730,17149,46994,18142,Beaufort
18793,16797,48034,159551,49691,Catawba
2167,1907,14761,43938,15234,Jackson
191450,181141,457753,1111761,478112,Wake
8561,7447,27610,97947,28740,Cleveland
4902,4295,18647,63531,20056,Sampson
3418,2906,14833,55508,15506,Columbus
1035,753,7735,22604,8185,Caswell
681,605,6456,18069,6786,Yancey
6623,5940,18928,61779,19997,Lee
1664,1484,6701,23677,7353,Hertford
8125,7243,27589,91010,28933,Rockingham
172013,157596,371655,1110356,394267,Mecklenburg
7815,7235,24273,69473,25395,Carteret
830,709,3657,14271,3814,Swain
966,886,6655,17557,7123,Avery
4742,4291,14309,44535,15461,Vance
2875,2497,17190,50010,18273,Halifax
3439,3124,17309,67029,18618,Rutherford
11535,10462,30370,94298,32185,Nash
2192,2096,9352,27203,10013,Ashe
4685,4154,11916,45591,12442,Stokes
468,340,2338,8441,2491,Graham
5854,5286,18570,63060,19663,Pender
9212,8404,32748,102139,34032,Craven
67228,60886,194454,537174,202246,Guilford
847,782,9067,21755,9355,Madison
9804,8929,26633,74470,27756,Chatham
17368,15547,57611,180742,60104,Pitt
10508,9662,36669,100880,37823,Moore
48413,44303,134784,382295,141188,Forsyth
24920,22768,47978,181806,48192,Iredell
2472,2322,13221,34385,13614,Transylvania
1414,1256,7515,22440,8039,Martin
1605,1471,7091,19731,7465,Warren
673,566,3049,9419,3203,Jones
4949,4500,14130,42846,14624,Davie
31331,27234,65194,335509,68429,Cumberland
1940,1641,15823,45756,16588,McDowell
1608,1452,8309,28612,8686,Cherokee
1030,986,4820,13943,5615,Chowan
19624,19026,75900,148476,78469,Orange
1522,1359,11559,37497,12084,Alexander
40512,37684,140111,321488,145315,Durham
10560,10058,43152,117417,45037,Henderson
3021,2685,12328,39824,13959,Pasquotank
685,629,5353,12726,5615,Pamlico
655,581,4848,14964,5168,Mitchell
1381,1265,7883,27763,8826,Currituck
16173,15347,57946,142820,60154,Brunswick
15625,14002,44331,167609,46508,Davidson
8568,7879,20055,69685,20969,Franklin
3651,3303,19074,37009,19750,Dare
2398,1989,9303,32722,10172,Bladen
33087,30941,85971,234473,89601,New Hanover
1416,1166,7053,24446,7446,Anson
