People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6894,5897,27143,130625,29502,Robeson
583,527,4078,13463,4519,Perquimans
20956,18715,58951,209339,63025,Johnston
11996,10795,34090,143667,35506,Randolph
123,108,2585,4937,2740,Hyde
969,916,4156,11137,4384,Alleghany
4371,3923,13094,58741,14064,Duplin
323,290,3199,11562,3529,Gates
5696,5192,22157,62317,22961,Haywood
3946,3480,16227,62806,17097,Stanly
53107,48227,18611,,18687,Missing County
6995,6310,23924,81801,25205,Wilson
94,86,1333,4016,1430,Tyrrell
9803,8507,29534,123131,31099,Wayne
1675,1502,7493,27173,7914,Montgomery
5644,5084,16773,55949,17638,Lenoir
2664,2253,10337,34823,10833,Scotland
15496,13580,60869,169509,63272,Alamance
424,380,2747,10867,3120,Camden
1409,1258,6838,21069,7229,Greene
12157,10544,32209,142088,33671,Rowan
795,668,6496,19483,6947,Northampton
5648,4940,17145,68412,18425,Wilkes
9826,8812,23321,86111,24067,Lincoln
5733,5040,24057,82178,24944,Caldwell
1293,1177,6764,20724,7079,Polk
7123,6422,21553,71783,22349,Surry
1816,1659,14702,35858,15266,Macon
807,779,3118,11231,3219,Clay
2622,2295,11160,37667,11569,Yadkin
13440,11787,30191,197938,32882,Onslow
2679,2311,12892,44829,13534,Richmond
33015,31312,101225,261191,105689,Buncombe
29343,26256,68608,239859,71057,Union
27934,25415,58879,216453,62028,Cabarrus
1172,963,3195,11580,3513,Washington
10153,8818,29190,135976,30892,Harnett
6135,5310,26585,90485,27660,Burke
0,0,74667,,81610,Out of State
6253,5616,19968,60443,20946,Granville
23316,20419,58586,224529,61263,Gaston
3808,3301,14282,51472,15147,Edgecombe
3219,2930,23841,56177,25336,Watauga
3148,2745,8705,55234,9571,Hoke
976,869,6626,18947,7408,Bertie
3235,2836,13470,39490,14042,Person
2946,2588,16944,46994,17884,Beaufort
17558,15467,47355,159551,49219,Catawba
2042,1796,14650,43938,15123,Jackson
180601,169662,451725,1111761,473271,Wake
8062,7001,27311,97947,28428,Cleveland
4524,4020,18139,63531,19564,Sampson
3164,2717,14566,55508,15225,Columbus
984,709,7657,22604,8123,Caswell
613,530,6388,18069,6703,Yancey
6172,5497,18679,61779,19793,Lee
1522,1352,6594,23677,7255,Hertford
7637,6738,27278,91010,28631,Rockingham
159931,142734,365115,1110356,387942,Mecklenburg
7414,6922,24045,69473,25189,Carteret
786,660,3639,14271,3751,Swain
919,846,6551,17557,7001,Avery
4509,4048,13982,44535,15172,Vance
2677,2326,16961,50010,18005,Halifax
3229,2953,17126,67029,18390,Rutherford
10615,9595,30024,94298,31831,Nash
2099,1954,9276,27203,9938,Ashe
4432,3946,11785,45591,12334,Stokes
398,316,2292,8441,2422,Graham
5487,4975,18355,63060,19424,Pender
8742,8008,32304,102139,33528,Craven
62512,55925,192527,537174,200464,Guilford
804,729,8993,21755,9233,Madison
9444,8577,26345,74470,27562,Chatham
16125,14494,57007,180742,59530,Pitt
10002,9270,36593,100880,37794,Moore
45455,41110,133009,382295,139312,Forsyth
23301,20996,47659,181806,47815,Iredell
2366,2234,13072,34385,13472,Transylvania
1336,1203,7379,22440,7856,Martin
1514,1403,7005,19731,7378,Warren
629,531,2991,9419,3154,Jones
4684,4317,13974,42846,14470,Davie
28387,24328,64322,335509,67316,Cumberland
1856,1555,15631,45756,16313,McDowell
1552,1416,8240,28612,8588,Cherokee
971,953,4743,13943,5546,Chowan
18838,18221,75075,148476,77727,Orange
1436,1295,11423,37497,11929,Alexander
38161,34973,138322,321488,143645,Durham
10043,9514,42623,117417,44389,Henderson
2839,2523,12073,39824,13735,Pasquotank
657,599,5288,12726,5548,Pamlico
618,532,4805,14964,5107,Mitchell
1316,1208,7817,27763,8754,Currituck
15478,14562,57165,142820,59466,Brunswick
14586,13038,43770,167609,45877,Davidson
8010,7329,19820,69685,20738,Franklin
3457,3127,18978,37009,19637,Dare
2205,1837,9155,32722,9918,Bladen
31235,28753,85128,234473,88844,New Hanover
1273,1052,6950,24446,7328,Anson
