People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6939,5942,27428,130625,29766,Robeson
585,528,4107,13463,4547,Perquimans
21060,18841,59342,209339,63373,Johnston
12089,10901,34273,143667,35670,Randolph
123,108,2589,4937,2741,Hyde
969,916,4178,11137,4400,Alleghany
4393,3951,13140,58741,14103,Duplin
323,290,3219,11562,3540,Gates
5711,5204,22265,62317,23063,Haywood
3976,3510,16329,62806,17190,Stanly
53411,48662,17708,,19026,Missing County
7024,6334,24017,81801,25312,Wilson
94,87,1350,4016,1446,Tyrrell
9857,8557,29652,123131,31228,Wayne
1685,1517,7521,27173,7920,Montgomery
5656,5098,16817,55949,17684,Lenoir
2676,2264,10386,34823,10867,Scotland
15631,13705,61214,169509,63628,Alamance
426,382,2763,10867,3130,Camden
1413,1263,6882,21069,7252,Greene
12210,10626,32419,142088,33851,Rowan
803,671,6515,19483,6963,Northampton
5689,4977,17259,68412,18526,Wilkes
9860,8860,23403,86111,24121,Lincoln
5753,5071,24167,82178,25019,Caldwell
1301,1184,6773,20724,7089,Polk
7138,6444,21648,71783,22415,Surry
1823,1667,14764,35858,15327,Macon
807,779,3125,11231,3228,Clay
2653,2317,11195,37667,11607,Yadkin
13518,11871,30395,197938,32978,Onslow
2689,2323,12972,44829,13589,Richmond
33129,31458,101853,261191,106265,Buncombe
29542,26480,68944,239859,71399,Union
28094,25589,59183,216453,62405,Cabarrus
1173,963,3200,11580,3517,Washington
10231,8915,29431,135976,31036,Harnett
6165,5356,26687,90485,27737,Burke
0,0,74920,,81872,Out of State
6282,5644,20047,60443,20997,Granville
23458,20616,59035,224529,61612,Gaston
3825,3330,14371,51472,15250,Edgecombe
3223,2935,23955,56177,25406,Watauga
3184,2776,8790,55234,9630,Hoke
983,874,6654,18947,7444,Bertie
3251,2851,13564,39490,14107,Person
2958,2605,17020,46994,17946,Beaufort
17693,15580,47816,159551,49445,Catawba
2059,1809,14706,43938,15173,Jackson
181269,170516,454218,1111761,475013,Wake
8086,7042,27424,97947,28526,Cleveland
4558,4046,18440,63531,19812,Sampson
3178,2724,14721,55508,15361,Columbus
987,713,7673,22604,8130,Caswell
618,539,6430,18069,6749,Yancey
6199,5525,18785,61779,19866,Lee
1527,1361,6645,23677,7293,Hertford
7676,6775,27430,91010,28759,Rockingham
160711,143767,367778,1110356,390251,Mecklenburg
7450,6947,24123,69473,25238,Carteret
788,662,3651,14271,3764,Swain
928,850,6597,17557,7063,Avery
4539,4067,14064,44535,15234,Vance
2691,2336,17039,50010,18068,Halifax
3256,2971,17197,67029,18460,Rutherford
10665,9668,30186,94298,31975,Nash
2108,1967,9299,27203,9965,Ashe
4452,3966,11822,45591,12358,Stokes
399,318,2298,8441,2444,Graham
5531,5004,18442,63060,19507,Pender
8774,8050,32452,102139,33667,Craven
62884,56347,193311,537174,201104,Guilford
804,735,9009,21755,9276,Madison
9461,8591,26431,74470,27627,Chatham
16214,14589,57271,180742,59734,Pitt
10019,9285,36665,100880,37823,Moore
45651,41368,133456,382295,139692,Forsyth
23460,21174,47802,181806,47936,Iredell
2373,2239,13116,34385,13510,Transylvania
1346,1208,7427,22440,7910,Martin
1517,1413,7043,19731,7409,Warren
630,533,3011,9419,3165,Jones
4695,4325,14022,42846,14496,Davie
28591,24587,64621,335509,67555,Cumberland
1866,1563,15698,45756,16398,McDowell
1557,1417,8266,28612,8631,Cherokee
973,954,4757,13943,5555,Chowan
18886,18260,75540,148476,78130,Orange
1445,1305,11509,37497,11989,Alexander
38282,35131,138927,321488,144197,Durham
10083,9565,42825,117417,44577,Henderson
2852,2536,12146,39824,13782,Pasquotank
662,604,5307,12726,5575,Pamlico
621,539,4823,14964,5130,Mitchell
1333,1221,7837,27763,8780,Currituck
15512,14617,57394,142820,59654,Brunswick
14648,13108,43999,167609,46059,Davidson
8052,7378,19913,69685,20805,Franklin
3487,3154,19017,37009,19681,Dare
2216,1853,9199,32722,9991,Bladen
31354,28866,85534,234473,89141,New Hanover
1292,1078,7006,24446,7382,Anson
