People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6596,5651,26873,29211,Robeson
558,515,4054,4507,Perquimans
20130,17988,58564,62769,Johnston
11622,10434,33910,35391,Randolph
120,106,2557,2729,Hyde
944,892,4111,4363,Alleghany
4182,3762,12987,13946,Duplin
317,280,3180,3517,Gates
5575,5084,22053,22886,Haywood
3840,3379,16103,16998,Stanly
51728,46832,18616,18219,Missing County
6728,6085,23761,25106,Wilson
90,86,1327,1412,Tyrrell
9326,8157,29388,30993,Wayne
1627,1462,7455,7904,Montgomery
5453,4905,16653,17582,Lenoir
2542,2152,10287,10800,Scotland
15069,13130,60471,63015,Alamance
406,365,2745,3118,Camden
1358,1229,6803,7200,Greene
11770,10182,31990,33490,Rowan
766,640,6460,6932,Northampton
5442,4750,17030,18326,Wilkes
9535,8518,23250,23997,Lincoln
5561,4866,23957,24846,Caldwell
1278,1161,6742,7066,Polk
6927,6218,21422,22253,Surry
1750,1589,14659,15232,Macon
803,773,3099,3205,Clay
2513,2184,11118,11532,Yadkin
12853,11239,30090,32447,Onslow
2580,2229,12837,13497,Richmond
32580,30838,100682,105242,Buncombe
28395,25404,68131,70734,Union
27042,24624,58518,61702,Cabarrus
1132,930,3176,3497,Washington
9758,8434,28898,30704,Harnett
5984,5166,26506,27556,Burke
0,0,74365,81341,Out of State
6025,5420,19857,20863,Granville
22436,19604,58256,61005,Gaston
3652,3160,14162,15067,Edgecombe
3171,2876,23680,25272,Watauga
3000,2594,8635,9525,Hoke
937,830,6595,7391,Bertie
3112,2734,13401,13961,Person
2835,2487,16871,17789,Beaufort
17012,14949,47189,49028,Catawba
1973,1731,14598,15086,Jackson
175070,165115,448615,471385,Wake
7763,6705,27148,28301,Cleveland
4329,3857,17983,19434,Sampson
3013,2634,14534,15139,Columbus
963,677,7593,8011,Caswell
593,510,6347,6658,Yancey
5872,5254,18577,19701,Lee
1441,1297,6563,7238,Hertford
7361,6463,27143,28535,Rockingham
155237,138257,361948,384888,Mecklenburg
7252,6744,23954,25133,Carteret
760,635,3629,3746,Swain
904,822,6517,6981,Avery
4344,3889,13866,15061,Vance
2561,2223,16838,17906,Halifax
3134,2866,17031,18295,Rutherford
10269,9204,29767,31678,Nash
2053,1898,9236,9901,Ashe
4342,3828,11743,12298,Stokes
370,312,2280,2398,Graham
5322,4843,18280,19337,Pender
8464,7766,32115,33401,Craven
60390,53978,191574,199677,Guilford
822,730,8972,9200,Madison
9216,8442,26223,27461,Chatham
15477,13964,56699,59289,Pitt
9679,9040,36488,37793,Moore
43985,39885,132301,138800,Forsyth
22580,20247,47434,47658,Iredell
2348,2200,13019,13425,Transylvania
1276,1150,7341,7820,Martin
1455,1358,6960,7344,Warren
607,512,2979,3146,Jones
4541,4176,13895,14431,Davie
27167,23210,63957,67038,Cumberland
1817,1547,15542,16228,McDowell
1521,1395,8201,8566,Cherokee
946,932,4706,5519,Chowan
18382,17851,74680,77461,Orange
1374,1257,11331,11871,Alexander
37121,34067,137449,143161,Durham
9910,9356,42349,44160,Henderson
2744,2437,12009,13676,Pasquotank
636,588,5178,5438,Pamlico
610,510,4779,5077,Mitchell
1295,1188,7783,8732,Currituck
15132,14270,57096,59317,Brunswick
14065,12633,43507,45653,Davidson
7758,7052,19727,20668,Franklin
3368,3044,18952,19616,Dare
2075,1769,9131,9818,Bladen
30530,28139,84846,88568,New Hanover
1213,1022,6924,7317,Anson
