People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6916,5927,27373,130625,29694,Robeson
583,528,4097,13463,4542,Perquimans
21028,18801,59277,209339,63307,Johnston
12047,10861,34217,143667,35614,Randolph
123,108,2588,4937,2741,Hyde
969,916,4168,11137,4393,Alleghany
4380,3942,13137,58741,14099,Duplin
323,290,3213,11562,3532,Gates
5707,5200,22252,62317,23037,Haywood
3964,3500,16306,62806,17178,Stanly
53363,48591,17664,,18977,Missing County
7013,6324,23996,81801,25279,Wilson
94,87,1350,4016,1446,Tyrrell
9829,8538,29618,123131,31199,Wayne
1682,1511,7519,27173,7921,Montgomery
5651,5091,16797,55949,17667,Lenoir
2674,2257,10380,34823,10861,Scotland
15585,13666,61143,169509,63582,Alamance
425,381,2763,10867,3130,Camden
1412,1262,6870,21069,7248,Greene
12191,10598,32405,142088,33843,Rowan
800,671,6509,19483,6957,Northampton
5672,4961,17240,68412,18508,Wilkes
9851,8832,23395,86111,24113,Lincoln
5745,5062,24126,82178,25001,Caldwell
1298,1181,6772,20724,7085,Polk
7132,6436,21623,71783,22401,Surry
1819,1664,14757,35858,15320,Macon
807,779,3123,11231,3225,Clay
2643,2313,11194,37667,11600,Yadkin
13488,11838,30371,197938,32957,Onslow
2682,2318,12964,44829,13579,Richmond
33096,31410,101609,261191,106010,Buncombe
29460,26407,68900,239859,71358,Union
28035,25531,59121,216453,62336,Cabarrus
1172,963,3200,11580,3517,Washington
10198,8903,29401,135976,31014,Harnett
6154,5335,26673,90485,27728,Burke
0,0,74900,,81832,Out of State
6270,5630,20033,60443,20989,Granville
23411,20557,59009,224529,61596,Gaston
3820,3319,14353,51472,15232,Edgecombe
3221,2933,23946,56177,25399,Watauga
3172,2763,8776,55234,9617,Hoke
978,874,6643,18947,7427,Bertie
3247,2847,13563,39490,14102,Person
2954,2595,16987,46994,17938,Beaufort
17650,15543,47769,159551,49411,Catawba
2056,1806,14697,43938,15165,Jackson
181027,170241,453820,1111761,474732,Wake
8075,7028,27410,97947,28509,Cleveland
4549,4035,18429,63531,19788,Sampson
3176,2721,14692,55508,15351,Columbus
987,713,7672,22604,8130,Caswell
616,537,6423,18069,6742,Yancey
6187,5514,18763,61779,19851,Lee
1525,1357,6643,23677,7285,Hertford
7660,6757,27420,91010,28749,Rockingham
160408,143418,367472,1110356,389842,Mecklenburg
7433,6939,24120,69473,25237,Carteret
788,663,3646,14271,3759,Swain
927,847,6584,17557,7059,Avery
4527,4065,14046,44535,15214,Vance
2685,2335,17025,50010,18046,Halifax
3244,2961,17185,67029,18445,Rutherford
10646,9642,30143,94298,31952,Nash
2106,1965,9298,27203,9963,Ashe
4446,3960,11816,45591,12347,Stokes
399,316,2298,8441,2444,Graham
5513,4993,18430,63060,19485,Pender
8763,8032,32421,102139,33647,Craven
62743,56221,193191,537174,201028,Guilford
802,735,9007,21755,9264,Madison
9454,8589,26415,74470,27607,Chatham
16184,14551,57176,180742,59666,Pitt
10013,9280,36660,100880,37823,Moore
45578,41262,133395,382295,139630,Forsyth
23395,21103,47774,181806,47920,Iredell
2372,2237,13105,34385,13494,Transylvania
1345,1203,7416,22440,7907,Martin
1517,1407,7021,19731,7392,Warren
631,532,3006,9419,3162,Jones
4691,4323,14010,42846,14493,Davie
28504,24493,64588,335509,67505,Cumberland
1861,1559,15683,45756,16382,McDowell
1554,1417,8266,28612,8628,Cherokee
971,954,4754,13943,5554,Chowan
18863,18244,75472,148476,78076,Orange
1443,1300,11507,37497,11983,Alexander
38242,35071,138768,321488,144082,Durham
10066,9546,42784,117417,44532,Henderson
2844,2531,12145,39824,13781,Pasquotank
659,602,5303,12726,5575,Pamlico
621,537,4821,14964,5128,Mitchell
1331,1219,7837,27763,8780,Currituck
15489,14596,57354,142820,59636,Brunswick
14624,13083,43965,167609,46023,Davidson
8031,7363,19895,69685,20781,Franklin
3470,3143,19009,37009,19673,Dare
2212,1847,9194,32722,9977,Bladen
31307,28840,85475,234473,89084,New Hanover
1286,1069,6983,24446,7369,Anson
