People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
8377,6842,28288,130625,31119,Robeson
661,564,4178,13463,4603,Perquimans
24202,20955,60551,209339,65127,Johnston
13961,12292,34744,143667,36368,Randolph
129,117,2626,4937,2798,Hyde
1023,951,4322,11137,4545,Alleghany
5029,4391,13538,58741,14561,Duplin
359,317,3284,11562,3653,Gates
6238,5538,22612,62317,23685,Haywood
4535,3861,16606,62806,17610,Stanly
62908,57754,18789,,21579,Missing County
8165,7026,24509,81801,25926,Wilson
113,91,1396,4016,1495,Tyrrell
11206,9509,30138,123131,31922,Wayne
1850,1623,7632,27173,8073,Montgomery
6296,5516,17077,55949,18049,Lenoir
3011,2485,10526,34823,11064,Scotland
17754,15183,62140,169509,64942,Alamance
498,419,2824,10867,3193,Camden
1624,1394,6986,21069,7393,Greene
14096,11850,33072,142088,34851,Rowan
930,770,6620,19483,7123,Northampton
6452,5511,17513,68412,18984,Wilkes
10996,9673,23577,86111,24457,Lincoln
6557,5526,24467,82178,25493,Caldwell
1420,1268,6821,20724,7175,Polk
7929,6878,21886,71783,22919,Surry
2015,1774,14931,35858,15659,Macon
840,791,3167,11231,3297,Clay
3193,2604,11375,37667,11878,Yadkin
15880,13295,31093,197938,33880,Onslow
3195,2586,13226,44829,14018,Richmond
36013,34060,103354,261191,108526,Buncombe
34464,30735,69809,239859,72561,Union
31790,28502,60214,216453,63928,Cabarrus
1284,1049,3263,11580,3586,Washington
11879,10109,29935,135976,31717,Harnett
6953,5893,27059,90485,28304,Burke
0,0,75246,,82428,Out of State
7141,6276,20345,60443,21402,Granville
26778,23030,59940,224529,62712,Gaston
4431,3722,14649,51472,15631,Edgecombe
3441,3098,24172,56177,25672,Watauga
3837,3254,9125,55234,9962,Hoke
1088,958,6791,18947,7600,Bertie
3677,3169,13808,39490,14405,Person
3329,2844,17296,46994,18349,Beaufort
20107,17548,48376,159551,50128,Catawba
2343,1996,14828,43938,15382,Jackson
202221,188215,461607,1111761,482868,Wake
9290,7723,27800,97947,29147,Cleveland
5371,4528,18982,63531,20521,Sampson
3815,3051,14914,55508,15699,Columbus
1098,798,7873,22604,8272,Caswell
751,633,6512,18069,6906,Yancey
7297,6250,19073,61779,20229,Lee
1814,1547,6749,23677,7447,Hertford
8681,7502,27783,91010,29219,Rockingham
182332,163637,375235,1110356,398943,Mecklenburg
8342,7429,24376,69473,25569,Carteret
880,729,3665,14271,3869,Swain
1036,920,6738,17557,7210,Avery
5020,4435,14465,44535,15698,Vance
3115,2588,17380,50010,18776,Halifax
3722,3265,17448,67029,18881,Rutherford
12449,10926,30600,94298,32672,Nash
2287,2147,9434,27203,10100,Ashe
5078,4296,11984,45591,12565,Stokes
495,374,2348,8441,2513,Graham
6290,5486,18681,63060,19914,Pender
9702,8626,33030,102139,34534,Craven
72485,63612,195535,537174,204121,Guilford
921,801,9146,21755,9499,Madison
10237,9163,26739,74470,27946,Chatham
18728,16184,57953,180742,60758,Pitt
11091,9885,36751,100880,38031,Moore
51827,46011,136160,382295,143100,Forsyth
26503,23752,48220,181806,48598,Iredell
2578,2364,13298,34385,13803,Transylvania
1517,1291,7570,22440,8220,Martin
1686,1514,7134,19731,7518,Warren
703,590,3070,9419,3239,Jones
5283,4640,14223,42846,14826,Davie
34175,28783,65682,335509,69387,Cumberland
2018,1708,15913,45756,16862,McDowell
1667,1472,8369,28612,8823,Cherokee
1119,1013,4862,13943,5663,Chowan
20274,19486,76237,148476,79000,Orange
1638,1414,11690,37497,12286,Alexander
42811,39125,141129,321488,147332,Durham
11032,10286,43523,117417,45771,Henderson
3258,2765,12500,39824,14179,Pasquotank
724,648,5380,12726,5669,Pamlico
708,605,4905,14964,5231,Mitchell
1448,1291,7938,27763,8920,Currituck
17026,15680,58193,142820,60668,Brunswick
16751,14494,44745,167609,47294,Davidson
9153,8127,20173,69685,21203,Franklin
3946,3440,19212,37009,19970,Dare
2599,2114,9438,32722,10421,Bladen
35014,31868,86311,234473,90373,New Hanover
1586,1264,7089,24446,7528,Anson
