County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14233,8723
Cumberland,51883,38247
Pitt,42208,33400
Beaufort,13991,10292
Durham,91744,62422
Jones,2467,1567
Pender,13798,8724
Carteret,21043,13541
Swain,3169,2223
Halifax,14181,7913
Lenoir,13164,8829
Perquimans,3850,2892
Henderson,28294,20362
Scotland,8671,5188
Alamance,43406,26427
Haywood,14945,11287
Tyrrell,1112,686
Pasquotank,11328,8056
McDowell,11501,7789
Washington,2821,2000
Polk,5636,3406
Caldwell,18253,13313
Graham,2049,1627
Warren,5386,2967
Cleveland,21803,15977
Wake,282539,176038
Rockingham,21256,12144
Lee,14176,9205
Rowan,22408,16163
Wilkes,14739,9245
Harnett,21956,14741
Wilson,17824,11128
Pamlico,4663,3064
Rutherford,13923,7703
Surry,18328,11687
Alleghany,3264,2218
Orange,49861,34327
Bladen,7832,5316
Granville,14691,9645
Out of State,56152,39103
Davidson,31468,20865
Stokes,8656,5726
Onslow,24418,16337
Stanly,12142,7291
Craven,26707,17220
Franklin,13559,9593
Anson,5415,3568
Gaston,41624,31029
Yadkin,8906,5778
Hyde,1930,1206
Randolph,26545,15433
Hertford,5825,3271
Union,42648,31072
Moore,30653,22264
Martin,5842,3821
Johnston,42258,26229
Columbus,11379,6933
Robeson,21936,13819
Macon,11119,8412
Davie,9781,8248
Yancey,5012,2739
Missing,5778,2770
New Hanover,61607,45427
Brunswick,46358,33203
Currituck,6686,3835
Camden,2601,1397
Person,10194,6061
Greene,5094,3130
Guilford,143301,75084
Madison,5773,4371
Chatham,21882,15032
Wayne,23630,13441
Ashe,7031,4674
Hoke,6849,4548
Dare,13618,10058
Montgomery,6138,3570
Forsyth,89698,63139
Chowan,4805,3050
Transylvania,8686,6941
Iredell,35006,25903
Clay,2564,1540
Vance,10977,6653
Mecklenburg,201753,133084
Edgecombe,10823,6357
Cherokee,6707,4251
Bertie,5954,3651
Lincoln,16800,11900
Alexander,9129,5115
Nash,23616,12886
Richmond,10585,7145
Mitchell,3461,1802
Cabarrus,36591,24882
Duplin,10516,6658
Buncombe,68356,41817
Avery,5101,3302
Catawba,34623,24301
Jackson,11199,6616
Gates,2826,1611
Burke,21199,14910
Caswell,5891,3818
Northampton,5727,3389
Watauga,14530,11126
