People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6246,5366,26092,28737,Robeson
535,486,4001,4461,Perquimans
19469,17210,57737,62140,Johnston
11277,9951,33607,35064,Randolph
118,105,2478,2683,Hyde
931,869,4043,4282,Alleghany
4031,3601,12891,13719,Duplin
306,272,3118,3473,Gates
5489,4949,21900,22759,Haywood
3690,3248,15942,16819,Stanly
50237,44753,18028,17475,Missing County
6516,5861,23420,24830,Wilson
87,85,1308,1403,Tyrrell
8929,7726,29105,30774,Wayne
1577,1389,7362,7889,Montgomery
5287,4715,16475,17443,Lenoir
2446,2060,10217,10754,Scotland
14560,12564,59829,62535,Alamance
389,349,2704,3087,Camden
1314,1178,6730,7140,Greene
11373,9749,31515,33177,Rowan
731,618,6424,6889,Northampton
5265,4543,16914,18231,Wilkes
9265,8130,23112,23906,Lincoln
5363,4632,23822,24697,Caldwell
1257,1141,6715,7045,Polk
6760,6011,21257,22144,Surry
1686,1527,14545,15147,Macon
802,759,3084,3188,Clay
2427,2079,11036,11453,Yadkin
12328,10635,29893,32061,Onslow
2488,2139,12730,13419,Richmond
32157,30289,99592,104305,Buncombe
27662,24330,67251,70172,Union
26311,23755,57597,60961,Cabarrus
1102,903,3137,3458,Washington
9326,7947,28553,30412,Harnett
5791,4921,26335,27421,Burke
0,0,73634,80649,Out of State
5830,5212,19626,20702,Granville
21695,18660,57745,60411,Gaston
3511,2985,13726,14899,Edgecombe
3116,2811,23344,25196,Watauga
2867,2449,8503,9356,Hoke
885,767,6525,7319,Bertie
2977,2595,13313,13863,Person
2739,2368,16703,17631,Beaufort
16504,14318,46846,48805,Catawba
1919,1658,14534,15047,Jackson
171100,159974,442952,467540,Wake
7498,6363,26979,28166,Cleveland
4132,3661,17676,19081,Sampson
2917,2549,14450,14963,Columbus
931,641,7490,7894,Caswell
581,481,6303,6626,Yancey
5628,5014,18451,19584,Lee
1379,1237,6481,7227,Hertford
7064,6070,26912,28354,Rockingham
151388,133115,356944,379949,Mecklenburg
7094,6536,23818,25056,Carteret
736,618,3616,3740,Swain
882,794,6455,6925,Avery
4178,3696,13585,14850,Vance
2460,2113,16644,17768,Halifax
3042,2775,16902,18185,Rutherford
9933,8819,29143,31423,Nash
1993,1848,9156,9807,Ashe
4227,3648,11612,12173,Stokes
337,302,2257,2366,Graham
5160,4669,18141,19199,Pender
8202,7434,31736,33148,Craven
58659,51757,189925,198525,Guilford
809,714,8884,9138,Madison
9078,8266,26025,27333,Chatham
14919,13344,56327,59024,Pitt
9477,8801,36342,37811,Moore
42931,38538,130973,137599,Forsyth
21927,19351,47160,47455,Iredell
2305,2165,12923,13372,Transylvania
1231,1100,7241,7725,Martin
1419,1306,6870,7288,Warren
576,484,2934,3115,Jones
4406,4047,13778,14346,Davie
25948,21810,63249,66512,Cumberland
1760,1447,15419,16141,McDowell
1490,1368,8142,8511,Cherokee
924,911,4663,5481,Chowan
18171,17566,73724,77021,Orange
1337,1178,11255,11780,Alexander
36347,33096,135906,142172,Durham
9752,9118,41872,43773,Henderson
2641,2330,11874,13544,Pasquotank
620,555,5140,5411,Pamlico
596,488,4733,5019,Mitchell
1262,1129,7696,8642,Currituck
14800,13935,56879,59178,Brunswick
13665,12093,43028,45206,Davidson
7533,6792,19429,20462,Franklin
3299,2941,18772,19448,Dare
1985,1693,9066,9714,Bladen
29915,27408,84352,88186,New Hanover
1170,970,6872,7248,Anson
