People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5091,3953,24268,27246,Robeson
435,361,3805,4304,Perquimans
15819,12568,53174,59295,Johnston
9267,7391,31256,33526,Randolph
110,92,2258,2504,Hyde
835,713,3680,3972,Alleghany
3298,2817,12105,13278,Duplin
267,220,2905,3343,Gates
4999,4136,20304,21658,Haywood
3148,2402,14957,16270,Stanly
42023,33383,12959,13858,Missing County
5470,4546,21331,23490,Wilson
83,73,1193,1338,Tyrrell
7174,5653,27072,29656,Wayne
1344,1057,6980,7652,Montgomery
4520,3750,15333,16535,Lenoir
2017,1635,9664,10466,Scotland
12319,9927,55324,59688,Alamance
315,252,2561,2968,Camden
1100,944,6143,6644,Greene
9501,7389,29111,31461,Rowan
618,477,6165,6728,Northampton
4337,3263,16074,17444,Wilkes
7825,6151,21915,23150,Lincoln
4483,3484,22518,23885,Caldwell
1165,1026,6399,6807,Polk
5939,4930,20229,21402,Surry
1506,1336,13919,14657,Macon
772,702,2922,3104,Clay
1993,1666,10378,11065,Yadkin
9667,7172,28451,30951,Onslow
2076,1648,12038,12895,Richmond
29507,26203,91948,99820,Buncombe
23162,18448,62019,66734,Union
22397,17894,52933,57965,Cabarrus
958,753,2933,3315,Washington
7349,5380,26749,29040,Harnett
4870,3703,24876,26266,Burke
0,0,70258,79616,Out of State
4975,4027,18481,19886,Granville
17562,13356,54911,58735,Gaston
2866,2202,12228,13994,Edgecombe
2810,2439,20594,22100,Watauga
2155,1655,7765,8884,Hoke
714,602,6171,7017,Bertie
2468,1946,12183,13314,Person
2294,1817,15987,17159,Beaufort
13930,10802,44030,46970,Catawba
1650,1368,13737,14667,Jackson
149255,125836,408011,447629,Wake
6187,4759,25453,27158,Cleveland
3412,2701,16207,17916,Sampson
2492,2043,13727,14486,Columbus
794,488,6912,7556,Caswell
459,332,5810,6342,Yancey
4562,3601,17285,18805,Lee
1153,964,6147,7048,Hertford
5764,4460,25139,27289,Rockingham
128532,101887,322035,357690,Mecklenburg
6139,5148,23051,24557,Carteret
628,491,3499,3691,Swain
767,658,5968,6494,Avery
3481,2724,12676,14044,Vance
1999,1578,15694,17204,Halifax
2552,2175,15422,17267,Rutherford
8128,6469,26511,30116,Nash
1729,1546,8444,9187,Ashe
3578,2869,10837,11709,Stokes
284,227,2158,2304,Graham
4381,3684,17249,18565,Pender
6955,5836,30263,32047,Craven
49135,40001,177039,191136,Guilford
709,597,8332,8837,Madison
8401,7084,24768,27396,Chatham
12475,10376,53803,57189,Pitt
8350,7142,34865,36928,Moore
37014,30975,121236,132720,Forsyth
18396,14380,44524,45944,Iredell
2110,1878,12228,12829,Transylvania
1065,879,6754,7389,Martin
1217,1036,6505,7079,Warren
480,373,2753,2960,Jones
3851,3217,13004,13877,Davie
20018,14952,59834,64279,Cumberland
1533,1171,14301,15486,McDowell
1384,1213,7721,8238,Cherokee
798,728,4400,5305,Chowan
16866,15322,68152,74226,Orange
1116,905,10404,11080,Alexander
32436,27430,125319,136656,Durham
8802,7722,39139,41772,Henderson
2106,1631,11323,13065,Pasquotank
500,419,4965,5296,Pamlico
498,374,4339,4819,Mitchell
1051,858,7245,8240,Currituck
13272,11810,55030,58241,Brunswick
11492,9268,39988,43069,Davidson
6315,5048,17998,19417,Franklin
2884,2450,17717,18605,Dare
1647,1265,8585,9338,Bladen
26612,22770,80676,85531,New Hanover
925,718,6419,6943,Anson
