People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
6607,5665,26923,130625,29253,Robeson
559,515,4057,13463,4508,Perquimans
20216,18017,58628,209339,62811,Johnston
11645,10436,33968,143667,35450,Randolph
121,106,2566,4937,2729,Hyde
944,892,4138,11137,4372,Alleghany
4199,3765,12998,58741,13961,Duplin
317,281,3188,11562,3524,Gates
5583,5084,22093,62317,22900,Haywood
3842,3381,16136,62806,17027,Stanly
51798,46873,18671,,18300,Missing County
6759,6097,23788,81801,25131,Wilson
90,86,1327,4016,1420,Tyrrell
9354,8170,29430,123131,31041,Wayne
1628,1463,7467,27173,7905,Montgomery
5472,4914,16699,55949,17588,Lenoir
2552,2155,10313,34823,10817,Scotland
15074,13144,60556,169509,63100,Alamance
406,365,2747,10867,3119,Camden
1362,1230,6813,21069,7201,Greene
11787,10188,32056,142088,33565,Rowan
768,640,6475,19483,6938,Northampton
5444,4752,17054,68412,18355,Wilkes
9558,8529,23274,86111,24019,Lincoln
5571,4870,23979,82178,24891,Caldwell
1278,1161,6742,20724,7066,Polk
6933,6218,21444,71783,22272,Surry
1751,1590,14664,35858,15239,Macon
803,773,3103,11231,3209,Clay
2516,2185,11125,37667,11539,Yadkin
12911,11264,30126,197938,32649,Onslow
2593,2231,12863,44829,13503,Richmond
32603,30840,100798,261191,105324,Buncombe
28474,25435,68302,239859,70803,Union
27149,24648,58622,216453,61810,Cabarrus
1132,930,3178,11580,3502,Washington
9789,8448,28990,135976,30770,Harnett
6000,5173,26548,90485,27600,Burke
0,0,74455,,81403,Out of State
6029,5425,19889,60443,20892,Granville
22509,19638,58333,224529,61065,Gaston
3663,3161,14189,51472,15098,Edgecombe
3173,2878,23716,56177,25298,Watauga
3010,2600,8640,55234,9534,Hoke
937,831,6599,18947,7392,Bertie
3118,2738,13429,39490,13995,Person
2842,2493,16879,46994,17837,Beaufort
17052,14962,47223,159551,49060,Catawba
1975,1731,14610,43938,15096,Jackson
175710,165278,449331,1111761,471929,Wake
7786,6717,27161,97947,28312,Cleveland
4334,3858,18037,63531,19479,Sampson
3021,2634,14551,55508,15157,Columbus
964,679,7593,22604,8019,Caswell
593,510,6364,18069,6676,Yancey
5895,5263,18596,61779,19724,Lee
1446,1297,6570,23677,7240,Hertford
7371,6464,27158,91010,28569,Rockingham
155601,138378,362718,1110356,385630,Mecklenburg
7260,6750,23957,69473,25144,Carteret
761,635,3629,14271,3746,Swain
904,822,6523,17557,6984,Avery
4348,3890,13895,44535,15088,Vance
2571,2226,16864,50010,17938,Halifax
3134,2867,17059,67029,18312,Rutherford
10281,9208,29844,94298,31702,Nash
2061,1902,9241,27203,9906,Ashe
4349,3831,11748,45591,12299,Stokes
370,312,2293,8441,2418,Graham
5330,4846,18320,63060,19390,Pender
8485,7774,32172,102139,33439,Craven
60550,54027,191627,537174,199871,Guilford
826,732,8980,21755,9209,Madison
9238,8447,26235,74470,27474,Chatham
15508,13975,56771,180742,59368,Pitt
9719,9047,36569,100880,37823,Moore
44089,39925,132450,382295,138936,Forsyth
22621,20259,47482,181806,47690,Iredell
2348,2200,13032,34385,13434,Transylvania
1276,1151,7344,22440,7826,Martin
1457,1359,6967,19731,7347,Warren
613,512,2980,9419,3149,Jones
4554,4179,13920,42846,14439,Davie
27217,23233,64023,335509,67090,Cumberland
1818,1547,15551,45756,16232,McDowell
1521,1395,8203,28612,8569,Cherokee
946,932,4719,13943,5532,Chowan
18422,17859,74736,148476,77487,Orange
1378,1257,11334,37497,11877,Alexander
37191,34097,137640,321488,143264,Durham
9921,9356,42417,117417,44185,Henderson
2745,2437,12046,39824,13708,Pasquotank
636,588,5180,12726,5441,Pamlico
610,510,4782,14964,5080,Mitchell
1295,1188,7800,27763,8736,Currituck
15161,14278,57129,142820,59367,Brunswick
14098,12646,43573,167609,45704,Davidson
7787,7069,19760,69685,20692,Franklin
3368,3044,18954,37009,19618,Dare
2079,1771,9137,32722,9849,Bladen
30601,28149,84988,234473,88699,New Hanover
1216,1022,6927,24446,7318,Anson
