County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14950,9953
Cumberland,54513,41270
Pitt,44918,37644
Beaufort,14579,11567
Durham,99375,71639
Jones,2563,1841
Pender,14725,9919
Carteret,21926,15616
Swain,3310,2426
Halifax,14862,9577
Lenoir,13788,10199
Perquimans,3927,3096
Henderson,30827,23293
Scotland,9050,5874
Alamance,47500,29812
Haywood,16272,12665
Tyrrell,1139,878
Pasquotank,11610,8813
McDowell,12608,8907
Washington,2921,2183
Polk,5743,3945
Caldwell,19163,15034
Graham,2104,1689
Warren,5684,3656
Cleveland,23080,17436
Wake,316335,207615
Rockingham,22888,13816
Lee,15778,9928
Rowan,24050,17403
Wilkes,15280,10647
Harnett,23158,17176
Wilson,18898,12867
Pamlico,4809,3493
Rutherford,14624,8969
Surry,19309,12775
Alleghany,3416,2541
Orange,54492,38924
Bladen,8027,6025
Granville,15515,11025
Out of State,59554,44611
Davidson,33534,24023
Stokes,9204,6420
Onslow,26168,17781
Stanly,13208,9017
Craven,28313,19687
Franklin,14700,10863
Anson,5641,3888
Gaston,44571,35486
Yadkin,9343,6321
Hyde,2179,1410
Randolph,28212,18509
Hertford,5969,3713
Union,45719,35722
Moore,32152,25046
Martin,6085,4293
Johnston,46195,28951
Columbus,11998,8427
Robeson,22989,15905
Macon,11556,9237
Davie,10682,8681
Yancey,5186,3436
Missing,6949,3711
New Hanover,64341,51970
Brunswick,48767,37295
Currituck,7144,4194
Camden,2653,1616
Person,10729,7051
Greene,5347,3462
Guilford,152061,95802
Madison,6259,5056
Chatham,23023,16366
Wayne,24812,16027
Ashe,7334,5325
Hoke,7253,5080
Dare,15090,11086
Montgomery,6592,4456
Forsyth,96487,71372
Chowan,4875,3386
Transylvania,9167,7480
Iredell,36160,27715
Clay,2668,1861
Vance,11420,7992
Mecklenburg,219614,158974
Edgecombe,11407,7182
Cherokee,7095,4749
Bertie,6076,4085
Lincoln,17837,13549
Alexander,9636,5881
Nash,24758,15065
Richmond,11076,7823
Mitchell,3586,2378
Cabarrus,38925,28743
Duplin,10958,7804
Buncombe,72844,49101
Avery,5388,3771
Catawba,37309,27251
Jackson,11801,8035
Gates,2890,1799
Burke,22483,16626
Caswell,6253,4382
Northampton,5911,4118
Watauga,15581,13181
