People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7706,6518,27974,130625,30373,Robeson
622,555,4152,13463,4574,Perquimans
22810,20247,60095,209339,64170,Johnston
13020,11902,34550,143667,36044,Randolph
128,114,2624,4937,2776,Hyde
1004,939,4194,11137,4412,Alleghany
4710,4269,13445,58741,14388,Duplin
350,315,3267,11562,3604,Gates
6012,5432,22452,62317,23335,Haywood
4273,3722,16512,62806,17401,Stanly
58515,54938,18748,,20619,Missing County
7654,6830,24365,81801,25631,Wilson
105,89,1364,4016,1465,Tyrrell
10629,9232,29977,123131,31589,Wayne
1778,1578,7576,27173,8002,Montgomery
6070,5418,16986,55949,17878,Lenoir
2894,2420,10470,34823,10973,Scotland
16630,14550,61813,169509,64316,Alamance
466,407,2801,10867,3168,Camden
1511,1344,6944,21069,7327,Greene
13238,11394,32806,142088,34385,Rowan
865,743,6572,19483,7018,Northampton
6067,5316,17422,68412,18759,Wilkes
10465,9494,23497,86111,24294,Lincoln
6166,5373,24364,82178,25247,Caldwell
1345,1226,6803,20724,7143,Polk
7524,6750,21787,71783,22651,Surry
1911,1726,14886,35858,15487,Macon
829,789,3152,11231,3271,Clay
2858,2496,11318,37667,11775,Yadkin
14858,12821,30926,197938,33608,Onslow
2939,2507,13173,44829,13849,Richmond
34754,33441,102772,261191,107412,Buncombe
32336,29486,69524,239859,72039,Union
30094,27604,59700,216453,63327,Cabarrus
1245,1031,3244,11580,3550,Washington
11137,9688,29764,135976,31405,Harnett
6547,5730,26924,90485,27995,Burke
0,0,74961,,81947,Out of State
6696,5999,20247,60443,21204,Granville
25197,22200,59668,224529,62304,Gaston
4190,3605,14533,51472,15411,Edgecombe
3346,3050,24045,56177,25519,Watauga
3538,3067,9031,55234,9803,Hoke
1043,940,6744,18947,7527,Bertie
3506,3075,13731,39490,14229,Person
3158,2757,17177,46994,18158,Beaufort
18940,16894,48128,159551,49821,Catawba
2178,1928,14774,43938,15265,Jackson
192789,181984,458516,1111761,478975,Wake
8674,7499,27659,97947,28821,Cleveland
5004,4334,18743,63531,20168,Sampson
3514,2937,14852,55508,15529,Columbus
1040,764,7737,22604,8188,Caswell
681,605,6466,18069,6809,Yancey
6757,6019,18958,61779,20052,Lee
1688,1495,6708,23677,7365,Hertford
8227,7298,27664,91010,28992,Rockingham
173274,158397,372557,1110356,395212,Mecklenburg
7880,7259,24324,69473,25436,Carteret
838,712,3658,14271,3830,Swain
973,890,6716,17557,7174,Avery
4787,4321,14338,44535,15488,Vance
2927,2520,17210,50010,18307,Halifax
3457,3139,17340,67029,18669,Rutherford
11656,10549,30430,94298,32258,Nash
2206,2104,9366,27203,10026,Ashe
4737,4176,11922,45591,12456,Stokes
475,349,2339,8441,2493,Graham
5903,5314,18585,63060,19712,Pender
9298,8457,32806,102139,34105,Craven
67851,61245,194698,537174,202708,Guilford
861,790,9079,21755,9382,Madison
9891,8977,26656,74470,27797,Chatham
17615,15694,57716,180742,60232,Pitt
10646,9722,36675,100880,37854,Moore
48833,44536,135147,382295,141630,Forsyth
25038,22860,48053,181806,48256,Iredell
2489,2326,13236,34385,13666,Transylvania
1417,1257,7524,22440,8062,Martin
1631,1482,7099,19731,7473,Warren
679,573,3055,9419,3211,Jones
5006,4538,14154,42846,14663,Davie
31703,27440,65338,335509,68609,Cumberland
1961,1653,15844,45756,16627,McDowell
1625,1458,8311,28612,8708,Cherokee
1045,988,4827,13943,5617,Chowan
19706,19104,76006,148476,78602,Orange
1531,1373,11595,37497,12164,Alexander
40803,37850,140284,321488,145697,Durham
10597,10078,43258,117417,45252,Henderson
3053,2707,12359,39824,14001,Pasquotank
685,630,5354,12726,5626,Pamlico
655,581,4865,14964,5188,Mitchell
1388,1265,7904,27763,8846,Currituck
16303,15423,58000,142820,60229,Brunswick
15812,14096,44426,167609,46666,Davidson
8647,7923,20077,69685,20995,Franklin
3672,3310,19110,37009,19771,Dare
2436,2022,9323,32722,10211,Bladen
33391,31075,86031,234473,89712,New Hanover
1423,1169,7056,24446,7451,Anson
