People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
6001,5078,25849,28507,Robeson
516,449,3983,4449,Perquimans
18779,16222,57192,61810,Johnston
10876,9346,33108,34625,Randolph
116,102,2472,2678,Hyde
913,840,4022,4268,Alleghany
3870,3440,12723,13623,Duplin
300,264,3083,3456,Gates
5397,4813,21716,22621,Haywood
3593,3084,15816,16697,Stanly
48524,42058,16806,16842,Missing County
6334,5609,23238,24650,Wilson
86,83,1239,1387,Tyrrell
8633,7385,28859,30633,Wayne
1528,1303,7310,7838,Montgomery
5167,4533,16268,17302,Lenoir
2373,1982,10151,10717,Scotland
14134,11907,59105,62097,Alamance
380,329,2695,3081,Camden
1283,1138,6619,7044,Greene
11009,9275,31378,32957,Rowan
713,579,6382,6855,Northampton
5102,4234,16795,18123,Wilkes
9031,7788,22966,23838,Lincoln
5209,4446,23603,24547,Caldwell
1231,1103,6663,7015,Polk
6635,5772,21156,22051,Surry
1664,1481,14501,15111,Macon
800,745,3062,3177,Clay
2329,1975,10915,11366,Yadkin
11883,9973,29740,31900,Onslow
2395,2028,12626,13322,Richmond
31577,29553,98519,103560,Buncombe
26787,22904,66494,69601,Union
25597,22714,57275,60508,Cabarrus
1080,872,3113,3443,Washington
8952,7411,28270,30255,Harnett
5624,4705,25828,27050,Burke
0,0,73196,80284,Out of State
5665,4981,19418,20577,Granville
20955,17685,57511,60172,Gaston
3424,2839,13262,14821,Edgecombe
3059,2728,22721,24959,Watauga
2740,2269,8390,9237,Hoke
861,722,6464,7246,Bertie
2874,2516,13036,13807,Person
2665,2239,16572,17544,Beaufort
15999,13604,46539,48538,Catawba
1883,1607,14438,14989,Jackson
167317,153643,439027,464942,Wake
7246,6047,26761,27979,Cleveland
3985,3472,17381,18896,Sampson
2845,2432,14380,14924,Columbus
908,609,7370,7833,Caswell
549,439,6228,6600,Yancey
5437,4751,18194,19394,Lee
1344,1178,6499,7219,Hertford
6805,5680,26700,28204,Rockingham
147043,126981,352472,376603,Mecklenburg
6924,6265,23723,24986,Carteret
717,602,3599,3731,Swain
860,769,6345,6859,Avery
4058,3533,13413,14721,Vance
2380,1992,16490,17710,Halifax
2941,2632,16439,17769,Rutherford
9572,8400,28425,31255,Nash
1938,1788,9069,9746,Ashe
4115,3470,11516,12132,Stokes
324,288,2220,2345,Graham
5013,4456,17975,19116,Pender
8005,7167,31508,32978,Craven
56813,49272,188702,197506,Guilford
790,692,8819,9093,Madison
8958,8057,25712,27176,Chatham
14481,12779,55965,58740,Pitt
9325,8533,36033,37684,Moore
41740,37024,129732,136865,Forsyth
21265,18241,46651,47309,Iredell
2269,2120,12768,13316,Transylvania
1202,1051,7188,7677,Martin
1378,1264,6832,7257,Warren
554,460,2894,3082,Jones
4317,3906,13661,14290,Davie
24756,20378,62795,66138,Cumberland
1716,1387,15269,16037,McDowell
1464,1337,8073,8480,Cherokee
898,870,4566,5390,Chowan
17934,17220,73186,76587,Orange
1301,1126,11157,11722,Alexander
35575,32075,134989,141532,Durham
9557,8852,41496,43516,Henderson
2559,2160,11751,13464,Pasquotank
598,536,5118,5382,Pamlico
572,460,4692,5001,Mitchell
1229,1057,7522,8549,Currituck
14556,13514,56624,59041,Brunswick
13256,11453,42693,44938,Davidson
7298,6505,19233,20336,Franklin
3207,2809,18483,19264,Dare
1911,1613,8985,9671,Bladen
29385,26593,83777,87827,New Hanover
1097,912,6754,7140,Anson
