County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,13708,7995
Cumberland,50505,36369
Pitt,39882,31407
Beaufort,13536,9698
Durham,86927,58275
Jones,2406,1362
Pender,13202,8119
Carteret,20190,11852
Swain,3160,1938
Halifax,13789,7319
Lenoir,12669,8488
Perquimans,3782,2814
Henderson,26636,18722
Scotland,8339,5076
Alamance,40351,24411
Haywood,14273,10849
Tyrrell,1093,652
Pasquotank,11153,7607
McDowell,10325,7315
Washington,2765,1871
Polk,5466,2928
Caldwell,17411,12726
Graham,2040,1340
Warren,5194,2738
Cleveland,21027,12313
Wake,263476,161130
Rockingham,20188,10393
Lee,14048,8983
Rowan,21674,14746
Wilkes,14445,7677
Harnett,20978,13802
Wilson,16888,10343
Pamlico,4405,2829
Rutherford,13490,6561
Surry,18032,11309
Alleghany,3174,2108
Orange,47423,32034
Bladen,7654,4938
Granville,14322,8645
Out of State,54441,36242
Davidson,29875,19539
Stokes,8487,5328
Onslow,23669,13963
Stanly,11263,7054
Craven,25677,14670
Franklin,12958,8815
Anson,5191,3472
Gaston,40697,27533
Yadkin,8448,4700
Hyde,1821,1150
Randolph,25324,14284
Hertford,5751,3001
Union,41186,29272
Moore,30350,21028
Martin,5661,3666
Johnston,40504,22635
Columbus,11005,6560
Robeson,21182,12788
Macon,10885,7276
Davie,9573,7602
Yancey,4784,2528
Missing,5016,2073
New Hanover,58894,41781
Brunswick,44477,31111
Currituck,6456,3699
Camden,2583,1320
Person,9789,5460
Greene,4805,3021
Guilford,133077,68524
Madison,5425,4000
Chatham,21042,14571
Wayne,22244,12761
Ashe,6751,4033
Hoke,6610,4196
Dare,12507,9468
Montgomery,5857,3242
Forsyth,85240,58701
Chowan,4675,2913
Transylvania,8359,6036
Iredell,32820,23716
Clay,2489,1300
Vance,10693,6079
Mecklenburg,193417,120326
Edgecombe,10191,5710
Cherokee,6415,3564
Bertie,5638,3404
Lincoln,16261,10929
Alexander,8841,4758
Nash,22556,11915
Richmond,10338,6882
Mitchell,3179,1754
Cabarrus,35029,22640
Duplin,10087,5385
Buncombe,63307,38897
Avery,4990,2962
Catawba,33573,22850
Jackson,11037,5459
Gates,2812,1602
Burke,20657,13632
Caswell,5586,3494
Northampton,5611,3024
Watauga,13853,10390
