People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
5319,4127,24453,27458,Robeson
462,375,3816,4310,Perquimans
16513,13172,53869,59889,Johnston
9713,7717,31732,33714,Randolph
113,93,2302,2552,Hyde
858,728,3773,4048,Alleghany
3427,2899,12231,13343,Duplin
270,221,2924,3352,Gates
5087,4235,20557,22074,Haywood
3266,2512,15067,16321,Stanly
43502,34828,13331,14062,Missing County
5654,4715,21550,23811,Wilson
85,76,1200,1344,Tyrrell
7539,5904,27196,29878,Wayne
1392,1121,7060,7714,Montgomery
4671,3852,15460,16647,Lenoir
2079,1682,9727,10532,Scotland
12730,10227,55814,60375,Alamance
332,265,2576,2975,Camden
1128,965,6185,6693,Greene
9824,7662,29427,31695,Rowan
639,488,6183,6742,Northampton
4512,3380,16201,17507,Wilkes
8171,6452,22143,23331,Lincoln
4677,3683,22663,24025,Caldwell
1179,1035,6449,6888,Polk
6110,5060,20311,21540,Surry
1568,1394,13999,14735,Macon
779,713,2943,3124,Clay
2063,1700,10520,11114,Yadkin
10174,7548,28698,31086,Onslow
2138,1708,12076,12950,Richmond
30049,26703,93094,100866,Buncombe
24024,19100,62761,67218,Union
23285,18647,53818,58566,Cabarrus
971,769,2947,3333,Washington
7672,5657,26982,29203,Harnett
5064,3854,24974,26401,Burke
0,0,70935,80136,Out of State
5132,4167,18615,20049,Granville
18500,13982,55683,59008,Gaston
2998,2295,12321,14090,Edgecombe
2876,2472,20858,22372,Watauga
2272,1736,7842,8979,Hoke
739,618,6195,7027,Bertie
2550,2027,12461,13361,Person
2371,1873,16005,17193,Beaufort
14520,11267,44267,47191,Catawba
1698,1403,13807,14771,Jackson
153788,130546,412437,452470,Wake
6441,4946,25748,27353,Cleveland
3519,2791,16382,18060,Sampson
2573,2087,13807,14521,Columbus
815,504,6962,7586,Caswell
485,341,5875,6437,Yancey
4752,3776,17331,18906,Lee
1190,988,6236,7053,Hertford
5978,4634,25315,27447,Rockingham
133248,105978,328355,362315,Mecklenburg
6324,5307,23234,24640,Carteret
645,502,3505,3698,Swain
802,672,6088,6537,Avery
3584,2843,12787,14171,Vance
2074,1632,15805,17272,Halifax
2655,2229,15528,17366,Rutherford
8475,6769,26690,30287,Nash
1792,1570,8567,9252,Ashe
3690,2923,10937,11769,Stokes
287,233,2163,2312,Graham
4584,3825,17318,18654,Pender
7229,6102,30350,32161,Craven
50745,41258,178881,193252,Guilford
749,627,8412,8894,Madison
8531,7206,24961,27528,Chatham
12866,10628,53981,57409,Pitt
8559,7315,35077,37193,Moore
38012,31632,122356,133649,Forsyth
19092,14977,44855,46184,Iredell
2161,1924,12350,12928,Transylvania
1079,894,6785,7427,Martin
1245,1059,6554,7111,Warren
497,392,2763,2989,Jones
3975,3315,13119,13962,Davie
21093,15815,60233,64634,Cumberland
1582,1197,14439,15608,McDowell
1403,1232,7795,8314,Cherokee
814,739,4440,5332,Chowan
17092,15588,68673,74951,Orange
1161,939,10474,11136,Alexander
33091,28230,126715,138219,Durham
9025,7924,39495,42220,Henderson
2233,1716,11378,13124,Pasquotank
526,438,4971,5315,Pamlico
519,391,4391,4865,Mitchell
1094,875,7283,8273,Currituck
13589,12068,55185,58348,Brunswick
11863,9572,40433,43394,Davidson
6565,5278,18252,19608,Franklin
2949,2472,17905,18899,Dare
1708,1307,8637,9418,Bladen
27310,23324,81158,86073,New Hanover
959,736,6440,6950,Anson
