People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,Population,People Vaccinated with at Least One Dose - NC,County
7354,6295,27723,130625,30050,Robeson
600,540,4143,13463,4567,Perquimans
21913,19567,59813,209339,63776,Johnston
12472,11417,34476,143667,35890,Randolph
127,114,2614,4937,2758,Hyde
991,935,4192,11137,4410,Alleghany
4550,4133,13300,58741,14206,Duplin
338,310,3252,11562,3573,Gates
5897,5364,22380,62317,23202,Haywood
4128,3594,16448,62806,17267,Stanly
55996,52327,18115,,19866,Missing County
7357,6615,24236,81801,25481,Wilson
103,87,1357,4016,1452,Tyrrell
10314,8975,29844,123131,31432,Wayne
1721,1547,7561,27173,7965,Montgomery
5911,5318,16939,55949,17806,Lenoir
2816,2363,10444,34823,10940,Scotland
16014,14112,61540,169509,63974,Alamance
444,392,2786,10867,3150,Camden
1468,1319,6930,21069,7296,Greene
12683,10999,32645,142088,34122,Rowan
833,721,6549,19483,7003,Northampton
5831,5150,17346,68412,18642,Wilkes
10188,9246,23457,86111,24209,Lincoln
5944,5238,24284,82178,25129,Caldwell
1310,1195,6788,20724,7130,Polk
7304,6609,21746,71783,22547,Surry
1879,1722,14850,35858,15428,Macon
817,786,3139,11231,3246,Clay
2730,2411,11258,37667,11682,Yadkin
14217,12433,30802,197938,33420,Onslow
2843,2441,13113,44829,13740,Richmond
33910,32611,102409,261191,106882,Buncombe
30984,28202,69271,239859,71742,Union
29027,26699,59466,216453,62826,Cabarrus
1221,1008,3223,11580,3534,Washington
10672,9329,29615,135976,31242,Harnett
6336,5538,26853,90485,27838,Burke
0,0,74809,,81752,Out of State
6473,5828,20164,60443,21098,Granville
24234,21511,59359,224529,61976,Gaston
4049,3510,14461,51472,15349,Edgecombe
3285,3000,24002,56177,25453,Watauga
3331,2930,8919,55234,9701,Hoke
1014,911,6710,18947,7501,Bertie
3394,2957,13655,39490,14160,Person
3068,2690,17112,46994,18038,Beaufort
18262,16331,47992,159551,49634,Catawba
2109,1865,14743,43938,15211,Jackson
188014,177318,456713,1111761,477149,Wake
8372,7320,27545,97947,28680,Cleveland
4784,4206,18611,63531,19996,Sampson
3350,2853,14810,55508,15459,Columbus
1016,742,7707,22604,8155,Caswell
647,570,6455,18069,6777,Yancey
6502,5870,18901,61779,19952,Lee
1621,1450,6690,23677,7338,Hertford
7927,7063,27544,91010,28855,Rockingham
167595,152659,370717,1110356,393203,Mecklenburg
7614,7089,24257,69473,25383,Carteret
817,695,3655,14271,3773,Swain
948,870,6648,17557,7110,Avery
4673,4222,14205,44535,15349,Vance
2822,2460,17155,50010,18200,Halifax
3316,3047,17271,67029,18573,Rutherford
11215,10207,30315,94298,32117,Nash
2167,2063,9346,27203,10002,Ashe
4588,4079,11866,45591,12399,Stokes
457,334,2312,8441,2471,Graham
5692,5157,18541,63060,19621,Pender
9067,8272,32624,102139,33907,Craven
65251,59251,194235,537174,201951,Guilford
805,747,9046,21755,9333,Madison
9657,8772,26594,74470,27723,Chatham
16954,15216,57553,180742,60025,Pitt
10375,9563,36748,100880,37893,Moore
47244,43290,134308,382295,140593,Forsyth
24154,22056,47940,181806,48087,Iredell
2423,2280,13206,34385,13589,Transylvania
1413,1258,7484,22440,8007,Martin
1580,1459,7074,19731,7442,Warren
663,560,3043,9419,3194,Jones
4855,4454,14102,42846,14580,Davie
30174,26275,65036,335509,68217,Cumberland
1878,1587,15747,45756,16488,McDowell
1594,1448,8307,28612,8668,Cherokee
1009,967,4794,13943,5585,Chowan
19380,18802,75797,148476,78346,Orange
1491,1342,11557,37497,12080,Alexander
39726,36825,139873,321488,145019,Durham
10299,9797,43066,117417,44895,Henderson
2950,2615,12276,39824,13903,Pasquotank
670,612,5336,12726,5601,Pamlico
633,565,4845,14964,5152,Mitchell
1344,1238,7872,27763,8811,Currituck
15935,15132,57863,142820,60048,Brunswick
15264,13685,44259,167609,46319,Davidson
8377,7693,20027,69685,20934,Franklin
3545,3221,19060,37009,19737,Dare
2347,1941,9279,32722,10126,Bladen
32432,30356,85852,234473,89437,New Hanover
1344,1112,7045,24446,7444,Anson
