Date,Measure Names,Measure Values
3/2/2020,New Cases by Report Date,1
3/2/2020,New Cases by Specimen Date,1
3/2/2020,Positive Test Percentage,
3/2/2020,NC Daily Tests,
3/2/2020,NC Deaths,
3/3/2020,New Cases by Report Date,0
3/3/2020,New Cases by Specimen Date,
3/3/2020,Positive Test Percentage,
3/3/2020,NC Daily Tests,
3/3/2020,NC Deaths,
3/4/2020,New Cases by Report Date,0
3/4/2020,New Cases by Specimen Date,1
3/4/2020,Positive Test Percentage,
3/4/2020,NC Daily Tests,
3/4/2020,NC Deaths,
3/5/2020,New Cases by Report Date,0
3/5/2020,New Cases by Specimen Date,
3/5/2020,Positive Test Percentage,
3/5/2020,NC Daily Tests,
3/5/2020,NC Deaths,
3/6/2020,New Cases by Report Date,1
3/6/2020,New Cases by Specimen Date,
3/6/2020,Positive Test Percentage,
3/6/2020,NC Daily Tests,
3/6/2020,NC Deaths,
3/7/2020,New Cases by Report Date,0
3/7/2020,New Cases by Specimen Date,1
3/7/2020,Positive Test Percentage,
3/7/2020,NC Daily Tests,
3/7/2020,NC Deaths,
3/8/2020,New Cases by Report Date,0
3/8/2020,New Cases by Specimen Date,5
3/8/2020,Positive Test Percentage,
3/8/2020,NC Daily Tests,
3/8/2020,NC Deaths,
3/9/2020,New Cases by Report Date,0
3/9/2020,New Cases by Specimen Date,
3/9/2020,Positive Test Percentage,
3/9/2020,NC Daily Tests,
3/9/2020,NC Deaths,
3/10/2020,New Cases by Report Date,5
3/10/2020,New Cases by Specimen Date,5
3/10/2020,Positive Test Percentage,
3/10/2020,NC Daily Tests,
3/10/2020,NC Deaths,
3/11/2020,New Cases by Report Date,0
3/11/2020,New Cases by Specimen Date,11
3/11/2020,Positive Test Percentage,
3/11/2020,NC Daily Tests,
3/11/2020,NC Deaths,
3/12/2020,New Cases by Report Date,4
3/12/2020,New Cases by Specimen Date,15
3/12/2020,Positive Test Percentage,
3/12/2020,NC Daily Tests,
3/12/2020,NC Deaths,
3/13/2020,New Cases by Report Date,4
3/13/2020,New Cases by Specimen Date,57
3/13/2020,Positive Test Percentage,
3/13/2020,NC Daily Tests,
3/13/2020,NC Deaths,
3/14/2020,New Cases by Report Date,8
3/14/2020,New Cases by Specimen Date,9
3/14/2020,Positive Test Percentage,
3/14/2020,NC Daily Tests,
3/14/2020,NC Deaths,
3/15/2020,New Cases by Report Date,9
3/15/2020,New Cases by Specimen Date,15
3/15/2020,Positive Test Percentage,
3/15/2020,NC Daily Tests,
3/15/2020,NC Deaths,
3/16/2020,New Cases by Report Date,1
3/16/2020,New Cases by Specimen Date,103
3/16/2020,Positive Test Percentage,
3/16/2020,NC Daily Tests,936
3/16/2020,NC Deaths,
3/17/2020,New Cases by Report Date,7
3/17/2020,New Cases by Specimen Date,109
3/17/2020,Positive Test Percentage,
3/17/2020,NC Daily Tests,295
3/17/2020,NC Deaths,
3/18/2020,New Cases by Report Date,22
3/18/2020,New Cases by Specimen Date,151
3/18/2020,Positive Test Percentage,
3/18/2020,NC Daily Tests,205
3/18/2020,NC Deaths,
3/19/2020,New Cases by Report Date,35
3/19/2020,New Cases by Specimen Date,161
3/19/2020,Positive Test Percentage,
3/19/2020,NC Daily Tests,"1,696"
3/19/2020,NC Deaths,
3/20/2020,New Cases by Report Date,40
3/20/2020,New Cases by Specimen Date,163
3/20/2020,Positive Test Percentage,
3/20/2020,NC Daily Tests,943
3/20/2020,NC Deaths,
3/21/2020,New Cases by Report Date,47
3/21/2020,New Cases by Specimen Date,76
3/21/2020,Positive Test Percentage,
3/21/2020,NC Daily Tests,"2,192"
3/21/2020,NC Deaths,
3/22/2020,New Cases by Report Date,71
3/22/2020,New Cases by Specimen Date,72
3/22/2020,Positive Test Percentage,
3/22/2020,NC Daily Tests,"1,389"
3/22/2020,NC Deaths,
3/23/2020,New Cases by Report Date,42
3/23/2020,New Cases by Specimen Date,233
3/23/2020,Positive Test Percentage,
3/23/2020,NC Daily Tests,"2,163"
3/23/2020,NC Deaths,
3/24/2020,New Cases by Report Date,101
3/24/2020,New Cases by Specimen Date,174
3/24/2020,Positive Test Percentage,
3/24/2020,NC Daily Tests,529
3/24/2020,NC Deaths,
3/25/2020,New Cases by Report Date,106
3/25/2020,New Cases by Specimen Date,199
3/25/2020,Positive Test Percentage,
3/25/2020,NC Daily Tests,"2,446"
3/25/2020,NC Deaths,1
3/26/2020,New Cases by Report Date,132
3/26/2020,New Cases by Specimen Date,198
3/26/2020,Positive Test Percentage,
