Date,Measure Names,Measure Values
3/2/2020,Cases by Report Date,1
3/2/2020,Molecular (PCR) Positive Cases by Specimen Date,1
3/2/2020,Antigen Positive Cases by Specimen Date,0
3/2/2020,Deaths by Date of Death,
3/3/2020,Cases by Report Date,0
3/3/2020,Molecular (PCR) Positive Cases by Specimen Date,
3/3/2020,Antigen Positive Cases by Specimen Date,
3/3/2020,Deaths by Date of Death,
3/4/2020,Cases by Report Date,0
3/4/2020,Molecular (PCR) Positive Cases by Specimen Date,1
3/4/2020,Antigen Positive Cases by Specimen Date,0
3/4/2020,Deaths by Date of Death,
3/5/2020,Cases by Report Date,0
3/5/2020,Molecular (PCR) Positive Cases by Specimen Date,
3/5/2020,Antigen Positive Cases by Specimen Date,
3/5/2020,Deaths by Date of Death,
3/6/2020,Cases by Report Date,0
3/6/2020,Molecular (PCR) Positive Cases by Specimen Date,
3/6/2020,Antigen Positive Cases by Specimen Date,
3/6/2020,Deaths by Date of Death,
3/7/2020,Cases by Report Date,0
3/7/2020,Molecular (PCR) Positive Cases by Specimen Date,1
3/7/2020,Antigen Positive Cases by Specimen Date,0
3/7/2020,Deaths by Date of Death,
3/8/2020,Cases by Report Date,0
3/8/2020,Molecular (PCR) Positive Cases by Specimen Date,4
3/8/2020,Antigen Positive Cases by Specimen Date,0
3/8/2020,Deaths by Date of Death,
3/9/2020,Cases by Report Date,1
3/9/2020,Molecular (PCR) Positive Cases by Specimen Date,
3/9/2020,Antigen Positive Cases by Specimen Date,
3/9/2020,Deaths by Date of Death,
3/10/2020,Cases by Report Date,5
3/10/2020,Molecular (PCR) Positive Cases by Specimen Date,5
3/10/2020,Antigen Positive Cases by Specimen Date,0
3/10/2020,Deaths by Date of Death,
3/11/2020,Cases by Report Date,0
3/11/2020,Molecular (PCR) Positive Cases by Specimen Date,11
3/11/2020,Antigen Positive Cases by Specimen Date,0
3/11/2020,Deaths by Date of Death,
3/12/2020,Cases by Report Date,4
3/12/2020,Molecular (PCR) Positive Cases by Specimen Date,15
3/12/2020,Antigen Positive Cases by Specimen Date,0
3/12/2020,Deaths by Date of Death,1
3/13/2020,Cases by Report Date,4
3/13/2020,Molecular (PCR) Positive Cases by Specimen Date,57
3/13/2020,Antigen Positive Cases by Specimen Date,0
3/13/2020,Deaths by Date of Death,
3/14/2020,Cases by Report Date,8
3/14/2020,Molecular (PCR) Positive Cases by Specimen Date,9
3/14/2020,Antigen Positive Cases by Specimen Date,0
3/14/2020,Deaths by Date of Death,
3/15/2020,Cases by Report Date,9
3/15/2020,Molecular (PCR) Positive Cases by Specimen Date,14
3/15/2020,Antigen Positive Cases by Specimen Date,0
3/15/2020,Deaths by Date of Death,
3/16/2020,Cases by Report Date,1
3/16/2020,Molecular (PCR) Positive Cases by Specimen Date,103
3/16/2020,Antigen Positive Cases by Specimen Date,0
3/16/2020,Deaths by Date of Death,
3/17/2020,Cases by Report Date,7
3/17/2020,Molecular (PCR) Positive Cases by Specimen Date,109
3/17/2020,Antigen Positive Cases by Specimen Date,0
3/17/2020,Deaths by Date of Death,
3/18/2020,Cases by Report Date,22
3/18/2020,Molecular (PCR) Positive Cases by Specimen Date,152
3/18/2020,Antigen Positive Cases by Specimen Date,0
3/18/2020,Deaths by Date of Death,
3/19/2020,Cases by Report Date,35
3/19/2020,Molecular (PCR) Positive Cases by Specimen Date,161
3/19/2020,Antigen Positive Cases by Specimen Date,0
3/19/2020,Deaths by Date of Death,
3/20/2020,Cases by Report Date,40
3/20/2020,Molecular (PCR) Positive Cases by Specimen Date,164
3/20/2020,Antigen Positive Cases by Specimen Date,0
3/20/2020,Deaths by Date of Death,
3/21/2020,Cases by Report Date,47
3/21/2020,Molecular (PCR) Positive Cases by Specimen Date,76
3/21/2020,Antigen Positive Ca
