Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
27568,72897,31119,8377,5833,Robeson
4046,9777,4603,661,467,Perquimans
56589,165420,65127,24202,19502,Johnston
33111,94458,36368,13961,11018,Randolph
2485,5517,2798,129,105,Hyde
3589,9978,4545,1023,821,Alleghany
12801,36282,14561,5029,3891,Duplin
3163,7450,3653,359,275,Gates
20148,55252,23685,6238,5181,Haywood
15996,41615,17610,4535,3474,Stanly
83708,302430,104007,62908,51807,Missing / Out of State
23281,63186,25926,8165,5814,Wilson
1308,2997,1495,113,81,Tyrrell
29239,80675,31922,11206,8308,Wayne
7426,18691,8073,1850,1342,Montgomery
16071,45383,18049,6296,4967,Lenoir
10292,26433,11064,3011,2066,Scotland
58463,155317,64942,17754,14158,Alamance
2748,6774,3193,498,335,Camden
6156,16388,7393,1624,1215,Greene
31776,91752,34851,14096,11029,Rowan
6460,15188,7123,930,675,Northampton
16898,47338,18984,6452,5004,Wilkes
22512,66659,24457,10996,8694,Lincoln
22478,59142,25493,6557,4614,Caldwell
6652,16429,7175,1420,1182,Polk
21258,58537,22919,7929,6431,Surry
12387,31553,15659,2015,1492,Macon
3046,7936,3297,840,753,Clay
10590,28096,11878,3193,2435,Yadkin
29538,91158,33880,15880,11860,Onslow
12575,31942,14018,3195,2154,Richmond
93223,269683,108526,36013,31921,Buncombe
65157,201531,72561,34464,29349,Union
56857,179479,63928,31790,26904,Cabarrus
3126,8996,3586,1284,1000,Washington
27786,80263,31717,11879,8881,Harnett
25905,66368,28304,6953,5206,Burke
19496,53709,21402,7141,5670,Granville
55387,166289,62712,26778,21412,Gaston
13608,36948,15631,4431,3278,Edgecombe
19107,51098,25672,3441,2878,Watauga
8672,25121,9962,3837,2650,Hoke
6522,16045,7600,1088,835,Bertie
13280,34074,14405,3677,2712,Person
15894,40113,18349,3329,2541,Beaufort
46383,132637,50128,20107,16019,Catawba
12944,32480,15382,2343,1811,Jackson
425387,1289008,482868,202221,178532,Wake
26642,72031,29147,9290,6952,Cleveland
17189,47079,20521,5371,3998,Sampson
13803,35939,15699,3815,2622,Columbus
7613,17724,8272,1098,741,Caswell
6152,14355,6906,751,546,Yancey
18538,51625,20229,7297,5561,Lee
6471,17093,7447,1814,1361,Hertford
26615,71077,29219,8681,6562,Rockingham
344708,1081040,398943,182332,155057,Mecklenburg
23627,64114,25569,8342,6576,Carteret
3521,8946,3869,880,676,Swain
6076,15135,7210,1036,813,Avery
14203,38829,15698,5020,3908,Vance
16840,40929,18776,3115,2198,Halifax
16711,42234,18881,3722,2920,Rutherford
28407,83551,32672,12449,10023,Nash
7976,22233,10100,2287,1870,Ashe
10790,32350,12565,5078,3917,Stokes
2228,5537,2513,495,301,Graham
17396,48433,19914,6290,4833,Pender
32102,83897,34534,9702,7559,Craven
184908,520832,204121,72485,59318,Guilford
7652,18835,9499,921,763,Madison
25854,72452,27946,10237,8415,Chatham
50459,145136,60758,18728,15191,Pitt
35582,93857,38031,11091,9153,Moore
117585,355707,143100,51827,43195,Forsyth
45189,142750,48598,26503,22460,Iredell
10282,28813,13803,2578,2150,Transylvania
6906,17714,8220,1517,1071,Martin
7007,17576,7518,1686,1365,Warren
3020,7476,3239,703,514,Jones
12641,36998,14826,5283,4248,Davie
63349,192208,69387,34175,25297,Cumberland
14874,35222,16862,2018,1468,Mcdowell
8105,19800,8823,1667,1205,Cherokee
4615,12318,5663,1119,921,Chowan
68110,186046,79000,20274,18662,Orange
11122,26265,12286,1638,1219,Alexander
128389,355518,147332,42811,36986,Durham
38223,104143,45771,11032,9117,Henderson
12013,31782,14179,3258,2332,Pasquotank
5197,12084,5669,724,494,Pamlico
4468,10852,5231,708,445,Mitchell
7667,19107,8920,1448,1072,Currituck
53907,146030,60668,17026,14429,Brunswick
41965,119117,47294,16751,13107,Davidson
19367,57156,21203,9153,7433,Franklin
16583,43761,19970,3946,3262,Dare
9166,23901,10421,2599,1715,Bladen
77070,232388,90373,35014,29931,New Hanover
6859,17135,7528,1586,1162,Anson
