Second Dose Administered,First Dose Administered,County
36341,42608,Rockingham
167297,201411,Cumberland
8118,10228,Greene
3697,4362,Gates
12806,15366,Bladen
93217,106687,Cabarrus
7718,8766,Northampton
64837,77079,""
21674,25138,Stanly
84881,101166,Johnston
16350,20035,Richmond
557000,649814,Mecklenburg
23053,30819,Watauga
20006,23076,Vance
33756,39532,Burke
30106,34109,Surry
8952,10250,Caswell
14405,17059,Yadkin
21507,26001,Rutherford
48475,59330,Wayne
24762,29903,Pender
15419,20333,Macon
27669,32062,Lee
37227,44106,Cleveland
8779,10149,Anson
68191,78526,Catawba
39919,50635,Robeson
104378,119038,Union
4630,6099,Alleghany
47763,53470,Moore
29856,36005,Caldwell
80037,106452,Onslow
74366,84778,Iredell
7314,8960,Avery
17785,21854,Mcdowell
13292,17520,Transylvania
79083,90757,Alamance
6095,7585,Chowan
18778,23046,Columbus
2740,3136,Hyde
13718,16380,Scotland
10073,12073,Cherokee
16218,19783,Stokes
17553,20183,Person
650500,740847,Wake
120859,143325,New hanover
19110,23572,Duplin
21316,24560,Halifax
24798,30434,Wilkes
23788,28174,Hoke
8862,10969,Martin
18595,22208,Davie
77040,93368,Pitt
4531,5598,Washington
32213,38126,Wilson
271260,308888,Guilford
181381,209722,Durham
10602,13685,Ashe
33975,39269,Lincoln
8186,9067,Polk
13046,15073,Alexander
85129,101651,Gaston
8733,10474,Hertford
61283,72926,Davidson
41091,50071,Harnett
42432,49911,Nash
36354,40753,Chatham
8059,9689,Bertie
19908,23880,Beaufort
4065,4761,Clay
15732,19455,Pasquotank
29547,33954,Franklin
6033,6829,Pamlico
2871,3548,Graham
24022,30495,Sampson
70187,87165,Out o
1525,1855,Tyrrell
27347,32365,Haywood
4857,5893,Perquimans
18584,22483,Edgecombe
107133,121539,Orange
47170,54844,Craven
4093,4703,Camden
9056,11407,Madison
9275,11157,Currituck
5304,6718,Mitchell
20718,26298,Jackson
48938,57506,Randolph
50928,61574,Henderson
21028,30748,Missing
8959,10050,Warren
73028,84546,Brunswick
175872,216346,Forsyth
61706,70498,Rowan
9571,11137,Montgomery
3884,4434,Jones
145106,168251,Buncombe
32647,37957,Carteret
23253,28081,Lenoir
20968,25533,Dare
4772,5606,Swain
7178,8482,Yancey
31097,35434,Granville
