County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12498,11205,228,137,3102,9168,2717,8351
Currituck,13760,11406,1088,657,2244,10428,1850,8899
Swain,9694,7902,4192,2969,1339,4163,1140,3793
Pender,35066,30003,1527,985,10908,22631,9245,19773
Mitchell,7868,6514,124,75,1297,6447,959,5480
Richmond,23901,20577,537,323,5666,17698,4684,15570
Haywood,38234,32241,1627,1026,8717,27890,7486,23729
Gaston,122388,105653,2026,1197,43430,76932,38927,65529
Craven,68815,60754,10123,7974,16790,41902,14485,38295
Franklin,40871,36311,1463,829,14572,24836,13021,22461
Iredell,102493,91011,2174,1455,42850,57469,38650,50906
Yadkin,19801,17429,193,131,5636,13972,5125,12173
Beaufort,27693,23961,714,460,5773,21206,4942,18559
Harnett,64658,54480,7466,5090,21258,35934,18436,30954
Polk,9118,8213,213,121,1882,7023,1708,6384
Dare,28410,23883,385,166,6066,21959,5512,18205
Forsyth,257968,214587,4315,2431,77618,176035,71250,140906
Onslow,133899,111092,61373,48594,31687,40839,27224,35274
Jones,5776,5077,581,398,1293,3902,1063,3616
Nash,58079,50691,1016,674,20345,36718,18296,31721
Jackson,25791,20983,4319,3098,3839,17633,3308,14577
Duplin,30085,25862,2268,1622,8773,19044,7776,16464
Alleghany,7009,5518,69,38,1418,5522,1152,4328
Missing,291859,232423,40358,43716,95818,155683,90061,98646
Cabarrus,130064,115521,4285,2515,49503,76276,45622,67384
Camden,6844,5344,2071,1231,907,3866,781,3332
Alexander,17974,15959,496,265,3056,14422,2584,13110
Mcdowell,25536,22077,640,380,3484,21412,2804,18893
Sampson,36128,30359,678,461,9195,26255,7981,21917
Lenoir,33446,29223,493,308,10927,22026,9535,19380
Rutherford,30429,26724,757,469,6050,23622,5429,20826
Montgomery,12820,11328,297,200,3139,9384,2582,8546
Stokes,23108,19815,358,212,7961,14789,7043,12560
Wilson,46708,41057,654,417,14403,31651,12183,28457
Columbus,25849,22195,479,349,7433,17937,6402,15444
New hanover,158579,136207,3430,2120,52748,102401,47808,86279
Lincoln,45281,40219,416,249,17622,27243,15224,24746
Davie,26069,22566,526,327,8108,17435,7292,14947
Northampton,9367,8339,194,97,1563,7610,1338,6904
Halifax,29086,25714,592,378,5524,22970,4613,20723
Robeson,62507,54205,1574,1024,16307,44626,13911,39270
Hoke,27006,21871,6446,4424,7183,13377,6006,11441
Yancey,9759,8622,180,134,1110,8469,920,7568
Lee,37431,32962,723,466,12396,24312,11137,21359
Buncombe,184657,158017,7436,4385,45526,131695,42313,111319
Hyde,3504,3183,12,,178,3314,155,3028
Edgecombe,27058,22911,943,555,7642,18473,6493,15863
Transylvania,19913,15446,392,256,3498,16023,2991,12199
Chatham,48757,42844,5096,3138,14067,29594,12637,27069
Durham,248921,216103,8458,5424,61327,179136,57042,153637
Tyrrell,2081,1817,,,183,1898,143,1674
Moore,63921,56502,5097,3252,17311,41513,15303,37947
Randolph,67602,59714,958,654,23489,43155,20773,38287
Rowan,67609,59390,4347,3248,23004,40258,20397,35745
Ashe,16270,12985,236,137,3463,12571,2933,9915
Henderson,73164,61214,1776,1060,15119,56269,12943,47211
Vance,28623,25086,510,344,7863,20250,6805,17937
Union,139224,125192,1425,775,55138,82661,51257,73160
Washington,6580,5695,66,41,1857,4657,1607,4047
Davidson,88900,76783,2237,1376,27050,59613,23855,51552
Granville,40904,36394,5563,4769,10973,24368,9782,21843
Watauga,33469,25949,223,108,4820,28426,4145,21696
Cleveland,52964,46935,728,404,16014,36222,13882,32649
Gates,4988,4414,149,69,586,4253,496,3849
Graham,4310,3689,457,337,907,2946,745,2607
Carteret,48919,42656,7167,5007,13553,28199,11928,25721
Alamance,107759,96139,2142,1334,28753,76864,25974,68831
Mecklenburg,757800,660979,10017,5634,270010,477773,248436,406909
Brunswick,95029,83706,3027,2021,25916,66086,23203,58482
Stanly,30067,26966,774,573,7620,21673,6674,19719
Perquimans,6718,5734,20,12,1208,5490,988,4734
Madison,12898,10394,246,138,1408,11244,1262,8994
Pasquotank,23270,19854,52,21,5831,17387,4976,14857
Catawba,91658,82284,1215,587,33325,57118,29407,52290
Wilkes,34715,30515,398,240,11036,23281,9813,20462
Caldwell,41576,35807,357,189,11974,29245,9684,25934
Greene,15626,12862,3474,2519,3026,9126,2628,7715
Rockingham,49428,44049,633,386,15531,33264,13528,30135
Macon,22250,17792,537,327,3211,18502,2607,14858
Out o,126635,102962,,,849,125786,1019,101943
Wake,870001,771074,12578,7792,286209,571214,266878,496404
Warren,11668,10540,167,122,2657,8844,2391,8027
Guilford,353977,315759,5764,3294,117483,230730,107855,204610
Bladen,24396,20186,6805,4654,4738,12853,3970,11562
Cumberland,235365,192817,91361,66043,61612,82392,53910,72864
Chowan,8845,7433,246,95,1838,6761,1681,5657
Pamlico,7421,6646,238,174,1321,5862,1045,5427
Scotland,18826,16365,302,194,5398,13126,4343,11828
Johnston,123389,106901,3820,2168,40602,78967,36416,68317
Clay,5658,5073,253,130,1056,4349,956,3987
Martin,11865,10022,247,176,2707,8911,2244,7602
Cherokee,14152,12520,717,471,2914,10521,2315,9734
Orange,120409,106209,1528,933,26581,92300,25372,79904
Burke,44850,39310,830,471,11880,32140,10203,28636
Surry,38540,34695,403,245,12166,25971,10900,23550
Wayne,66693,58252,6760,5131,21129,38804,18333,34788
Avery,10194,8551,193,94,1658,8343,1429,7028
Pitt,104882,88631,2348,1426,32920,69614,29319,57886
Bertie,11037,9671,135,69,2146,8756,1842,7760
Hertford,12325,10893,97,41,3600,8628,3095,7757
Person,23790,21253,452,302,6273,17065,5258,15693
Caswell,11601,10388,235,129,1789,9577,1435,8824
