County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12489,11198,228,137,3096,9165,2709,8352
Currituck,13756,11403,1087,657,2244,10425,1850,8896
Swain,9678,7885,4164,2934,1336,4178,1141,3810
Pender,35034,29971,1524,984,10891,22619,9235,19752
Mitchell,7860,6508,124,75,1295,6441,958,5475
Richmond,23850,20536,537,322,5657,17656,4678,15536
Haywood,38146,32175,1611,1015,8719,27816,7486,23674
Gaston,122428,105745,2025,1196,43388,77015,38905,65644
Craven,68724,60688,10117,7968,16770,41837,14470,38250
Franklin,40765,36229,1449,827,14558,24758,13010,22392
Iredell,102490,90993,2170,1450,42805,57515,38615,50928
Yadkin,19777,17413,192,131,5631,13954,5121,12161
Beaufort,27673,23938,714,460,5766,21193,4935,18543
Harnett,64567,54431,7448,5073,21223,35896,18397,30961
Polk,9168,8270,212,120,1879,7077,1706,6444
Dare,28395,23849,385,166,6059,21951,5505,18178
Forsyth,257585,214234,4289,2419,77541,175755,71145,140670
Onslow,133680,110883,61300,48534,31633,40747,27173,35176
Jones,5768,5074,580,398,1289,3899,1061,3615
Nash,58084,50679,1016,673,20322,36746,18265,31741
Jackson,25762,20962,4285,3073,3835,17642,3304,14585
Duplin,30053,25827,2264,1618,8766,19023,7771,16438
Alleghany,7005,5509,69,38,1420,5516,1152,4319
Missing,290171,230810,39886,43520,95769,154516,90044,97246
Cabarrus,130140,115615,4268,2510,49433,76439,45556,67549
Camden,6835,5339,2067,1228,902,3866,781,3330
Alexander,17912,15895,495,263,3056,14361,2585,13047
Mcdowell,25533,22089,625,380,3481,21427,2802,18907
Sampson,36091,30313,677,460,9183,26231,7976,21877
Lenoir,33404,29184,492,308,10898,22014,9514,19362
Rutherford,30438,26728,757,469,6049,23632,5429,20830
Montgomery,12804,11310,297,200,3138,9369,2580,8530
Stokes,23079,19771,358,212,7950,14771,7031,12528
Columbus,25820,22169,479,349,7420,17921,6396,15424
Wilson,46618,40991,654,416,14373,31591,12163,28412
New hanover,158419,136023,3429,2118,52703,102287,47759,86146
Lincoln,45397,40342,416,249,17600,27381,15193,24900
Davie,26026,22528,526,327,8098,17402,7280,14921
Northampton,9371,8348,194,97,1562,7615,1336,6915
Halifax,29051,25691,591,377,5516,22944,4606,20708
Hoke,26956,21815,6440,4409,7174,13342,5997,11409
Robeson,62458,54171,1573,1024,16284,44601,13898,39249
Yancey,9746,8613,180,134,1108,8458,919,7560
Lee,37307,32868,723,466,12376,24208,11118,21284
Buncombe,184175,157554,7385,4332,45510,131280,42288,110934
Hyde,3495,3179,12,,178,3305,155,3024
Edgecombe,27000,22889,943,554,7615,18442,6480,15855
Transylvania,19901,15430,392,256,3496,16013,2989,12185
Chatham,48134,42278,5076,3129,14045,29013,12611,26538
Durham,247921,215372,8217,5391,61277,178427,56947,153034
Tyrrell,2079,1812,,,183,1896,142,1670
Moore,63741,56354,5093,3248,17295,41353,15289,37817
Randolph,67511,59639,958,654,23475,43078,20746,38239
Rowan,67510,59401,4307,3247,22965,40238,20358,35796
Ashe,16199,12914,236,136,3465,12498,2934,9844
Henderson,73057,61106,1762,1050,15101,56194,12929,47127
Vance,28543,25056,496,344,7851,20196,6801,17911
Union,139320,125331,1423,775,55083,82814,51214,73342
Washington,6568,5690,66,41,1856,4646,1607,4042
Davidson,88717,76589,2235,1371,27020,59462,23811,51407
Granville,40856,36361,5535,4762,10969,24352,9773,21826
Watauga,33563,26014,223,108,4822,28518,4145,21761
Cleveland,53029,46989,727,404,16001,36301,13868,32717
Graham,4307,3681,457,337,907,2943,745,2599
Gates,4993,4413,148,69,588,4257,497,3847
Carteret,48869,42610,7154,4999,13537,28178,11918,25693
Alamance,107504,95984,2090,1322,28719,76695,25944,68718
Mecklenburg,757919,661297,9965,5616,269708,478246,248123,407558
Brunswick,94960,83637,3026,2019,25857,66077,23145,58473
Stanly,30101,27001,774,572,7608,21719,6670,19759
Perquimans,6710,5713,20,12,1206,5484,986,4715
Madison,12902,10403,236,138,1406,11260,1259,9006
Pasquotank,23258,19831,52,21,5819,17387,4966,14844
Wilkes,34670,30491,398,240,11016,23256,9795,20456
Catawba,91559,82209,1204,582,33307,57048,29382,52245
Caldwell,41550,35764,347,189,11966,29237,9668,25907
Greene,15591,12828,3458,2513,3026,9107,2624,7691
Rockingham,49393,44034,633,386,15516,33244,13513,30135
Macon,22241,17786,537,327,3208,18496,2604,14855
Out o,124746,101557,,,818,123928,989,100568
Wake,868560,770302,12282,7752,285973,570305,266600,495950
Warren,11663,10551,167,122,2658,8838,2394,8035
