second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1701,10380,8651,2105,12299,10148,Currituck
99,129,2431,10514,7984,2804,11763,8830,Anson
354,518,8504,27857,18999,10180,32743,22045,Pender
2408,3617,1039,7265,3818,1246,9043,4180,Swain
75,114,872,6190,5243,1189,7524,6221,Mitchell
211,320,4159,19177,14807,5134,22336,16882,Richmond
917,1345,7106,30836,22813,8326,36694,27023,Haywood
850,1326,35514,99395,63031,40347,116252,74579,Gaston
7203,8372,13246,56661,36212,15561,63855,39922,Craven
397,525,11949,33658,21312,13530,37637,23582,Franklin
1173,1538,35162,85933,49598,39642,97618,56438,Iredell
119,169,4624,16523,11780,5172,18894,13553,Yadkin
298,400,4422,22580,17860,5250,26240,20590,Beaufort
925,1352,16334,48015,30756,19323,56420,35745,Harnett
108,145,1631,8437,6698,1795,9294,7354,Polk
17,23,5001,22788,17770,5640,27268,21605,Dare
1937,3196,64922,199914,133055,71717,241809,166896,Forsyth
47742,57467,24025,104453,32686,28686,125015,38862,Onslow
51,71,962,4449,3436,1184,4974,3719,Jones
563,773,16394,47831,30874,18482,55158,35903,Nash
2628,3828,3003,19881,14250,3526,24700,17346,Jackson
228,285,7003,22766,15535,8157,26709,18267,Duplin
26,34,1077,5206,4103,1339,6707,5334,Alleghany
35438,29819,85068,182225,61719,94442,211371,87110,Missing
1439,2125,41374,107331,64518,45671,121322,73526,Cabarrus
963,886,703,4863,3197,827,5437,3724,Camden
92,133,2316,14734,12326,2789,16580,13658,Alexander
351,508,2584,21083,18148,3262,24570,20800,Mcdowell
317,428,7204,28223,20702,8414,33905,25063,Sampson
285,420,8502,27277,18490,9977,31558,21161,Lenoir
426,646,4995,25442,20021,5632,29214,22936,Rutherford
144,184,2363,10859,8352,2885,12193,9124,Montgomery
162,249,6517,18734,12055,7509,22055,14297,Stokes
278,357,5659,21353,15416,6787,25103,17959,Columbus
355,501,10560,37827,26912,12947,43567,30119,Wilson
1255,1842,44229,128804,83320,49507,151159,99810,New hanover
241,383,13982,38516,24293,16505,43758,26870,Lincoln
251,355,6710,21184,14223,7634,24760,16771,Davie
83,123,1213,8241,6945,1448,9265,7694,Northampton
262,371,4138,24353,19953,4989,27556,22196,Halifax
664,899,12258,49955,37033,14703,58046,42444,Robeson
781,1155,5248,16598,10569,6420,20062,12487,Hoke
130,173,842,8217,7245,1023,9386,8190,Yancey
431,644,9937,30688,20320,11289,35031,23098,Lee
3823,5713,40325,150916,106768,43759,176170,126698,Buncombe
,,143,2987,2844,169,3357,3188,Hyde
295,404,5678,21316,15343,6798,25072,17870,Edgecombe
224,292,2810,14705,11671,3313,19223,15618,Transylvania
272,383,11874,38117,25971,13468,42207,28356,Chatham
4504,6160,52111,200725,144110,56809,231817,168848,Durham
,,131,1735,1604,171,2009,1838,Tyrrell
692,924,14033,51784,37059,16119,57967,40924,Moore
565,747,18641,56195,36989,21530,63861,41584,Randolph
2891,3522,18299,56709,35519,21043,64305,39740,Rowan
99,125,2816,12130,9215,3272,15068,11671,Ashe
980,1436,12113,58086,44993,14350,70122,54336,Henderson
302,404,6215,23118,16601,7246,26431,18781,Vance
574,915,46345,119603,72684,50833,134315,82567,Union
38,56,1505,5320,3777,1765,6204,4383,Washington
949,1276,21685,71797,49163,25045,83333,57012,Davidson
4368,4786,9004,34514,21142,10284,38630,23560,Granville
66,123,3923,25309,21320,4617,33076,28336,Watauga
316,519,12766,44444,31362,14984,50538,35035,Cleveland
,13,451,4128,3677,530,4673,4130,Gates
305,400,707,3576,2564,873,4187,2914,Graham
391,603,10990,36419,25038,12701,41132,27828,Carteret
1044,1432,23212,90113,65857,26209,101585,73944,Alamance
4661,7736,225866,622033,391506,249585,721827,464506,Mecklenburg
1505,1844,21362,80128,57261,24183,91191,65164,Brunswick
390,477,6064,25336,18882,6999,28342,20866,Stanly
11,16,901,5507,4595,1110,6473,5347,Perquimans
136,223,1190,10038,8712,1333,12567,11011,Madison
14,31,4458,18511,14039,5352,22119,16736,Pasquotank
195,259,9020,29264,20049,10273,33345,22813,Wilkes
401,734,26802,77717,50514,30921,87006,55351,Catawba
184,324,8765,34077,25128,10952,39686,28410,Caldwell
80,101,2316,9515,7119,2731,11397,8565,Greene
338,491,12066,41676,29272,14150,47049,32408,Rockingham
,,,87016,87016,,110878,110878,Out o
319,479,2420,17229,14490,3037,21788,18272,Macon
5870,8699,245760,723482,471852,267080,822894,547115,Wake
117,146,2170,9991,7704,2468,11081,8467,Warren
2240,3520,95348,295378,197790,106258,333958,224180,Guilford
166,218,3573,14761,11022,4353,16900,12329,Bladen
75642,93897,46946,191423,68835,55075,227251,78279,Cumberland
,,1542,6934,5392,1703,8257,6554,Chowan
78,93,952,6661,5631,1219,7413,6101,Pamlico
169,239,3907,15465,11389,4882,17645,12524,Scotland
933,1394,32510,98667,65224,36953,114231,75884,Johnston
56,93,923,4824,3845,1016,5344,4235,Clay
133,183,1950,9776,7693,2404,11650,9063,Martin
424,611,2173,12059,9462,2770,13667,10286,Cherokee
844,1203,23423,100686,76419,24781,115106,89122,Orange
339,499,9311,37738,28088,10984,42931,31448,Burke
227,301,10126,33835,23482,11528,37675,25846,Surry
8123,10778,16127,57565,33315,19062,67173,37333,Wayne
65,99,1329,8070,6676,1553,9668,8016,Avery
1018,1514,25879,82393,55496,29887,98413,67012,Pitt
28,42,1631,9192,7533,1906,10591,8643,Bertie
23,50,2737,10183,7423,3224,11647,8373,Hertford
292,389,4680,20114,15142,5692,22619,16538,Person
71,109,1300,9899,8528,1679,11095,9307,Caswell
