Second Dose Administered,First Dose Administered,County
36929,43020,Rockingham
169384,203498,Cumberland
8264,10345,Greene
3744,4408,Gates
13087,15529,Bladen
94530,108013,Cabarrus
7807,8862,Northampton
66643,78499,""
21981,25420,Stanly
86147,102160,Johnston
16672,20224,Richmond
564148,656105,Mecklenburg
23243,31041,Watauga
20301,23268,Vance
34241,40023,Burke
30447,34383,Surry
9044,10373,Caswell
14672,17319,Yadkin
21907,26327,Rutherford
49263,60313,Wayne
25155,30164,Pender
15636,20530,Macon
28129,32449,Lee
37986,44734,Cleveland
8929,10303,Anson
69146,79556,Catawba
41273,51671,Robeson
105881,120294,Union
4701,6135,Alleghany
48225,53792,Moore
30310,36394,Caldwell
81605,109679,Onslow
75432,86091,Iredell
7414,9078,Avery
18168,22160,Mcdowell
13408,17596,Transylvania
80088,91554,Alamance
6169,7716,Chowan
19188,23339,Columbus
2758,3162,Hyde
13946,16594,Scotland
10209,12250,Cherokee
16424,20030,Stokes
17795,20372,Person
656251,745333,Wake
122343,144484,New hanover
19485,23784,Duplin
21627,24856,Halifax
25303,30942,Wilkes
24191,28486,Hoke
9016,11090,Martin
18827,22411,Davie
78090,94233,Pitt
4587,5675,Washington
32650,38629,Wilson
274287,311629,Guilford
183008,211051,Durham
10714,13798,Ashe
34418,39713,Lincoln
8241,9108,Polk
13182,15192,Alexander
86453,102731,Gaston
8851,10636,Hertford
62354,73873,Davidson
41718,50687,Harnett
42926,50490,Nash
36676,40895,Chatham
8185,9816,Bertie
20147,24114,Beaufort
4143,4851,Clay
15928,19697,Pasquotank
29952,34265,Franklin
6082,6861,Pamlico
2947,3620,Graham
24464,30917,Sampson
70782,87916,Out o
1562,1877,Tyrrell
27620,32585,Haywood
4923,5949,Perquimans
18823,22712,Edgecombe
107761,121996,Orange
47766,55492,Craven
4159,4861,Camden
9144,11513,Madison
9412,11252,Currituck
5401,6806,Mitchell
21019,26544,Jackson
49746,58160,Randolph
51467,61916,Henderson
22006,32014,Missing
9045,10144,Warren
73815,85062,Brunswick
178305,218586,Forsyth
62592,71206,Rowan
9694,11234,Montgomery
3938,4506,Jones
146176,169235,Buncombe
33020,38280,Carteret
23673,28475,Lenoir
21154,25736,Dare
4858,5669,Swain
7287,8547,Yancey
31587,35729,Granville
