Second Dose Administered,First Dose Administered,County
40025,45167,Rockingham
182804,217037,Cumberland
9071,10870,Greene
3994,4554,Gates
14230,16160,Bladen
101917,114501,Cabarrus
8221,9193,Northampton
76112,85162,""
24071,27085,Stanly
93314,108134,Johnston
18251,21319,Richmond
587912,678219,Mecklenburg
24294,31865,Watauga
21917,24744,Vance
36858,41746,Burke
33103,36740,Surry
9617,10780,Caswell
15926,18204,Yadkin
24429,28066,Rutherford
54494,63755,Wayne
27210,31883,Pender
16697,20924,Macon
29455,33415,Lee
41990,47852,Cleveland
9797,11104,Anson
74214,82919,Catawba
47259,55245,Robeson
112884,126378,Union
5029,6399,Alleghany
50645,56359,Moore
32672,37983,Caldwell
96520,118903,Onslow
81992,92478,Iredell
7884,9446,Avery
20309,23641,Mcdowell
14089,18194,Transylvania
85809,96387,Alamance
6632,7987,Chowan
21016,24438,Columbus
2861,3206,Hyde
14999,17056,Scotland
11707,13226,Cherokee
17852,21076,Stokes
19279,21602,Person
682734,770473,Wake
123663,144614,New hanover
21539,25064,Duplin
23332,26370,Halifax
28521,32547,Wilkes
15574,18775,Hoke
9867,11687,Martin
20227,23531,Davie
78455,93576,Pitt
5075,6003,Washington
35568,41092,Wilson
281730,316896,Guilford
190118,218087,Durham
11559,14348,Ashe
36852,41813,Lincoln
8611,9425,Polk
14144,15841,Alexander
93947,109819,Gaston
9691,11190,Hertford
68370,78842,Davidson
45987,53989,Harnett
46222,53348,Nash
37274,41097,Chatham
8859,10293,Bertie
21718,25333,Beaufort
4641,5121,Clay
17357,21009,Pasquotank
32302,35967,Franklin
6420,7169,Pamlico
3489,4058,Graham
27129,32587,Sampson
77627,98318,Out o
1677,1948,Tyrrell
29887,35074,Haywood
5294,6250,Perquimans
20636,24360,Edgecombe
94572,107904,Orange
53033,60272,Craven
4599,5202,Camden
9764,12042,Madison
9957,11889,Currituck
5975,7164,Mitchell
19053,23240,Jackson
54292,61393,Randolph
55307,65646,Henderson
66642,68802,Missing
9703,10707,Warren
77976,88643,Brunswick
189395,228440,Forsyth
54929,62043,Rowan
10498,11787,Montgomery
4271,4773,Jones
143221,164922,Buncombe
34965,39623,Carteret
25980,30084,Lenoir
21947,26231,Dare
6831,8196,Swain
7905,8990,Yancey
33548,37310,Granville
