second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1693,10338,8617,2088,12266,10132,Currituck
99,129,2407,10450,7944,2782,11718,8807,Anson
354,518,8421,27769,18994,10107,32659,22034,Pender
2387,3588,1029,7226,3810,1238,9002,4176,Swain
75,114,863,6164,5226,1177,7501,6210,Mitchell
211,320,4136,19091,14744,5108,22247,16819,Richmond
917,1343,7083,30742,22742,8299,36600,26958,Haywood
850,1326,35276,99011,62885,40097,115811,74388,Gaston
7161,8313,13129,56419,36129,15445,63577,39819,Craven
397,524,11872,33534,21265,13449,37507,23534,Franklin
1173,1535,34913,85590,49504,39309,97130,56286,Iredell
119,169,4579,16464,11766,5130,18820,13521,Yadkin
298,400,4390,22477,17789,5213,26168,20555,Beaufort
925,1346,16195,47844,30724,19169,56250,35735,Harnett
108,145,1625,8444,6711,1790,9300,7365,Polk
17,23,4956,22693,17720,5604,27170,21543,Dare
1937,3168,64508,198944,132499,71240,240739,166331,Forsyth
47610,57305,23791,103977,32576,28405,124472,38762,Onslow
51,71,956,4435,3428,1178,4964,3715,Jones
563,773,16225,47674,30886,18336,54981,35872,Nash
2600,3811,2985,19821,14236,3505,24639,17323,Jackson
228,284,6944,22694,15522,8079,26612,18249,Duplin
26,34,1075,5191,4090,1333,6688,5321,Alleghany
35359,29319,84292,178424,58773,93398,205855,83138,Missing
1439,2121,41098,106798,64261,45313,120709,73275,Cabarrus
961,885,691,4835,3183,823,5418,3710,Camden
92,133,2300,14706,12314,2764,16517,13620,Alexander
351,507,2558,21037,18128,3234,24501,20760,Mcdowell
317,427,7138,28115,20660,8350,33803,25026,Sampson
285,420,8437,27176,18454,9884,31428,21124,Lenoir
426,645,4962,25356,19968,5588,29121,22888,Rutherford
144,184,2351,10830,8335,2871,12175,9120,Montgomery
162,249,6476,18642,12004,7467,21970,14254,Stokes
278,356,5601,21336,15457,6734,25080,17990,Columbus
355,501,10438,37623,26830,12841,43341,29999,Wilson
1255,1840,43981,128374,83138,49208,150700,99652,New hanover
241,382,13882,38368,24245,16405,43601,26814,Lincoln
251,352,6663,21092,14178,7596,24658,16710,Davie
83,123,1206,8235,6946,1430,9248,7695,Northampton
262,371,4100,24230,19868,4960,27434,22103,Halifax
664,898,12142,49758,36952,14577,57799,42324,Robeson
780,1153,5203,16513,10530,6359,19945,12433,Hoke
130,173,836,8165,7199,1016,9326,8137,Yancey
431,644,9853,30571,20287,11176,34855,23035,Lee
3823,5711,40155,150154,106176,43585,175280,125984,Buncombe
,,142,2974,2832,168,3349,3181,Hyde
295,403,5633,21273,15345,6739,25025,17883,Edgecombe
224,292,2790,14631,11617,3290,19167,15585,Transylvania
272,383,11826,38142,26044,13386,42192,28423,Chatham
4503,6130,51843,200095,143749,56499,231110,168481,Durham
,,130,1730,1600,171,2004,1833,Tyrrell
692,924,13938,51711,37081,15997,57871,40950,Moore
565,746,18534,56017,36918,21345,63634,41543,Randolph
2891,3512,18148,56547,35508,20855,64069,39702,Rowan
99,124,2799,12067,9169,3257,15035,11654,Ashe
979,1436,12058,57769,44732,14240,69761,54085,Henderson
302,404,6181,23016,16533,7206,26313,18703,Vance
574,915,45965,118747,72208,50441,133560,82204,Union
38,56,1500,5292,3754,1761,6186,4369,Washington
949,1273,21543,71511,49019,24869,82905,56763,Davidson
4368,4785,8960,34451,21123,10236,38520,23499,Granville
66,123,3913,25249,21270,4603,33013,28287,Watauga
316,519,12668,44236,31252,14914,50374,34941,Cleveland
,13,448,4115,3667,528,4658,4117,Gates
305,389,706,3574,2563,870,4174,2915,Graham
391,603,10910,36275,24974,12613,40992,27776,Carteret
1043,1428,23053,89795,65699,26020,101174,73726,Alamance
4660,7723,224374,618281,389247,247941,717532,461868,Mecklenburg
1505,1844,21235,79926,57186,24049,90969,65076,Brunswick
390,477,6019,25212,18803,6946,28159,20736,Stanly
11,16,893,5485,4581,1107,6462,5339,Perquimans
136,222,1178,10000,8686,1326,12546,10998,Madison
14,30,4416,18424,13994,5306,22014,16678,Pasquotank
401,733,26570,77340,50369,30751,86697,55213,Catawba
195,259,8967,29194,20032,10225,33292,22808,Wilkes
184,324,8679,33961,25098,10880,39589,28385,Caldwell
80,101,2299,9478,7099,2712,11353,8540,Greene
338,491,11977,41534,29219,14016,46840,32333,Rockingham
,,,85630,85630,,109335,109335,Out o
319,479,2407,17192,14466,3014,21722,18229,Macon
5869,8670,244391,719983,469723,265475,819344,545199,Wake
