Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
24958,63163,28308,5853,4044,Robeson
3841,9134,4428,510,355,Perquimans
52924,146744,61386,18389,14045,Johnston
31719,84759,34524,10677,7839,Randolph
2343,5197,2650,115,89,Hyde
3469,9325,4243,897,716,Alleghany
12108,32316,13568,3783,2857,Duplin
2947,6901,3442,294,218,Gates
19193,51350,22495,5339,4323,Haywood
15048,37842,16636,3561,2597,Stanly
79699,259159,96627,47716,35117,Missing / Out of State
21573,56485,24440,6207,4265,Wilson
1180,2710,1373,86,71,Tyrrell
27825,72644,30458,8402,5959,Wayne
7083,17402,7800,1511,1008,Montgomery
15192,41326,17177,5065,3892,Lenoir
9887,24414,10684,2302,1541,Scotland
54937,141080,61684,13884,10575,Alamance
2599,6286,3060,373,254,Camden
5838,14997,6987,1243,929,Greene
29999,81563,32634,10798,8132,Rowan
6194,14182,6818,695,475,Northampton
16167,42669,17992,4991,3519,Wilkes
21739,60935,23654,8877,6665,Lincoln
21541,54622,24446,5142,3493,Caldwell
6434,15669,7001,1229,1005,Polk
20296,53857,21908,6528,5125,Surry
11912,29783,15049,1644,1178,Macon
2939,7597,3168,796,694,Clay
10216,25538,11325,2263,1734,Yadkin
28224,79684,31799,11574,8087,Onslow
12038,29172,13242,2337,1555,Richmond
88540,249885,103062,31355,26928,Buncombe
61622,177800,69238,26392,20548,Union
53525,159010,60208,25202,20075,Cabarrus
2918,8148,3394,1051,785,Washington
26103,70825,30091,8696,5935,Harnett
24902,61308,26971,5533,3902,Burke
18608,48879,20475,5539,4257,Granville
53552,149460,60103,20525,15280,Gaston
12137,32346,14586,3321,2302,Edgecombe
17642,47771,24643,3026,2460,Watauga
7846,21195,9112,2657,1580,Hoke
6165,14796,7194,836,601,Bertie
12473,31017,13731,2807,2006,Person
15192,37187,17476,2616,1903,Beaufort
44470,120319,48375,15746,11728,Catawba
12592,30755,14931,1851,1381,Jackson
399148,1165983,462412,164890,139533,Wake
25585,65608,27850,7090,5083,Cleveland
15882,41288,18687,3864,2855,Sampson
13256,32814,14837,2789,1932,Columbus
7112,16338,7803,888,535,Caswell
5873,13336,6573,544,346,Yancey
17674,46208,19322,5275,3937,Lee
6197,15653,7186,1305,965,Hertford
25278,64672,28071,6675,4648,Rockingham
320284,952380,374032,144801,113263,Mecklenburg
23025,60048,24926,6820,5277,Carteret
3440,8385,3726,699,520,Swain
5753,14068,6823,844,648,Avery
13096,34598,14629,3961,2912,Vance
15880,37345,17583,2311,1571,Halifax
15917,38708,17678,2896,2217,Rutherford
26133,73595,30949,9344,7169,Nash
7622,20529,9531,1906,1470,Ashe
10371,29431,11973,4043,3044,Stokes
2133,5002,2340,313,216,Graham
16711,44371,19059,4945,3656,Pender
30616,77328,32847,7878,5987,Craven
176398,471954,196626,55732,43198,Guilford
7374,17842,9060,776,632,Madison
24807,67984,27125,8867,7185,Chatham
48292,132382,58527,14154,11409,Pitt
34794,89196,37605,9181,7616,Moore
111486,322095,136202,41084,33323,Forsyth
43464,127580,47027,20909,16180,Iredell
9799,27174,13263,2245,1867,Transylvania
6517,16147,7610,1183,837,Martin
6678,16291,7212,1342,1059,Warren
2818,6797,3061,538,380,Jones
12059,33964,14238,4259,3408,Davie
60192,166260,65860,24082,16126,Cumberland
14252,33076,15959,1711,1154,Mcdowell
7776,18719,8439,1453,1051,Cherokee
4363,11385,5379,880,763,Chowan
64824,175111,76326,17800,16161,Orange
10637,24464,11633,1285,909,Alexander
121243,326315,140693,35142,29237,Durham
36176,96542,43233,9474,7659,Henderson
11283,28925,13413,2498,1731,Pasquotank
4994,11324,5365,591,374,Pamlico
4254,10096,4980,561,301,Mitchell
7280,17828,8513,1210,825,Currituck
52433,137696,58837,14377,12049,Brunswick
39768,107282,44684,12992,9838,Davidson
18292,51245,20191,7161,5601,Franklin
15959,40816,19142,3167,2548,Dare
8640,21324,9635,1864,1185,Bladen
74585,215051,87461,29073,23932,New Hanover
6552,15500,7104,1073,771,Anson
