Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
26188,66494,29069,6535,4702,Robeson
3911,9370,4485,553,421,Perquimans
54782,153887,62561,19994,16550,Johnston
32418,88461,35339,11555,9149,Randolph
2416,5346,2715,119,96,Hyde
3497,9571,4351,942,781,Alleghany
12376,33730,13923,4160,3271,Duplin
3061,7123,3507,316,239,Gates
19716,52854,22867,5559,4712,Haywood
15458,39207,16953,3816,2980,Stanly
81632,273059,99108,51389,40930,Missing / Out of State
22501,59105,25039,6688,4877,Wilson
1260,2833,1407,90,76,Tyrrell
28505,75705,30951,9273,6976,Wayne
7250,17956,7908,1623,1175,Montgomery
15619,42980,17537,5426,4398,Lenoir
10087,25154,10788,2530,1749,Scotland
56857,146724,62875,14936,12056,Alamance
2661,6459,3103,403,292,Camden
5973,15559,7190,1352,1044,Greene
30770,85183,33417,11693,9303,Rowan
6302,14530,6921,760,547,Northampton
16455,44344,18295,5386,4208,Wilkes
22218,63253,23959,9498,7578,Lincoln
21957,56276,24799,5536,3984,Caldwell
6581,15984,7063,1270,1070,Polk
20804,55655,22222,6895,5734,Surry
12169,30419,15205,1738,1307,Macon
2988,7722,3203,803,728,Clay
10397,26397,11514,2491,1995,Yadkin
28744,83487,32186,12793,9764,Onslow
12277,30110,13465,2574,1794,Richmond
91052,257248,105027,32503,28666,Buncombe
63453,186002,70516,28225,23808,Union
55262,166676,61565,26889,22960,Cabarrus
3025,8514,3483,1128,878,Washington
26798,74357,30634,9692,7233,Harnett
25404,63387,27533,5962,4488,Burke
19044,50669,20824,5978,4823,Granville
54037,155068,60791,22326,17914,Gaston
13120,34464,14991,3638,2715,Edgecombe
18686,49740,25238,3165,2651,Watauga
8178,22629,9483,2980,1988,Hoke
6314,15307,7350,932,711,Bertie
12924,32221,13944,3082,2271,Person
15482,38207,17718,2818,2189,Beaufort
45277,124598,48964,16911,13446,Catawba
12784,31368,15082,1965,1537,Jackson
411752,1211850,469649,174275,156174,Wake
26079,67949,28238,7710,5922,Cleveland
16422,43377,19353,4276,3326,Sampson
13524,33751,15038,2995,2194,Columbus
7315,16826,7934,961,616,Caswell
5997,13649,6643,590,419,Yancey
18074,48160,19647,5843,4596,Lee
6291,16059,7225,1427,1116,Hertford
26027,67364,28478,7309,5550,Rockingham
332626,998929,382827,154397,129079,Mecklenburg
23290,61512,25119,7222,5881,Carteret
3482,8560,3742,756,580,Swain
5917,14497,6969,902,709,Avery
13542,36183,14990,4302,3349,Vance
16272,38518,17854,2549,1843,Halifax
16283,40171,18262,3118,2508,Rutherford
27628,77691,31593,10201,8269,Nash
7830,21361,9871,2040,1620,Ashe
10597,30674,12296,4324,3457,Stokes
2175,5178,2398,366,239,Graham
17064,45806,19284,5284,4174,Pender
31226,79672,33313,8429,6704,Craven
181195,490192,199402,60052,49543,Guilford
7532,18209,9191,813,673,Madison
25385,69672,27387,9186,7714,Chatham
49248,136772,59237,15358,12929,Pitt
35378,91212,37816,9656,8362,Moore
114578,333959,138537,43800,37044,Forsyth
44457,133343,47606,22448,18832,Iredell
10054,27787,13410,2345,1978,Transylvania
6705,16679,7770,1272,932,Martin
6794,16758,7320,1447,1197,Warren
2924,7092,3134,600,434,Jones
12366,35063,14406,4519,3772,Davie
61639,175077,66899,26921,19618,Cumberland
14554,33866,16200,1808,1304,Mcdowell
7952,19159,8558,1518,1131,Cherokee
4464,11756,5518,941,833,Chowan
66462,179053,77197,18349,17045,Orange
10801,25064,11835,1373,1055,Alexander
124696,336374,142767,36957,31954,Durham
37155,99330,44051,9879,8245,Henderson
11580,30005,13654,2721,2050,Pasquotank
5073,11567,5429,635,430,Pamlico
4361,10376,5060,607,348,Mitchell
7536,18510,8720,1286,968,Currituck
53135,140511,59286,15072,13018,Brunswick
40714,111537,45560,13991,11272,Davidson
18896,53603,20617,7717,6373,Franklin
16420,42193,19590,3344,2839,Dare
8860,22067,9779,2063,1365,Bladen
75891,220948,88438,30432,26187,New Hanover
6686,16060,7263,1198,913,Anson
