second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1667,10262,8567,2071,12238,10121,Currituck
99,129,2368,10361,7894,2753,11634,8752,Anson
2252,3500,1024,7061,3785,1235,8899,4164,Swain
354,518,8305,27685,19026,9996,32564,22050,Pender
75,114,863,6149,5211,1158,7442,6170,Mitchell
211,320,4067,18913,14635,5018,22093,16755,Richmond
917,1338,7024,30763,22822,8241,36435,26856,Haywood
850,1325,34735,98164,62579,39674,115097,74098,Gaston
7113,8243,12935,55802,35754,15251,63063,39569,Craven
397,524,11700,33255,21158,13296,37202,23382,Franklin
1173,1530,34300,84689,49216,38757,96047,55760,Iredell
119,169,4514,16411,11778,5073,18719,13477,Yadkin
298,400,4326,22469,17845,5163,26050,20487,Beaufort
923,1338,15848,47532,30761,18838,55868,35692,Harnett
108,145,1601,8450,6741,1779,9312,7388,Polk
17,23,4863,22735,17855,5511,27001,21467,Dare
1935,3146,63655,197543,131953,70447,239064,165471,Forsyth
47353,57003,23318,103093,32422,27930,123516,38583,Onslow
51,71,941,4404,3412,1161,4930,3698,Jones
563,773,15981,47580,31036,18092,54700,35835,Nash
2458,3734,2948,19615,14209,3471,24464,17259,Jackson
228,284,6827,22390,15335,7946,26234,18004,Duplin
26,34,1059,5155,4070,1317,6637,5286,Alleghany
35126,28045,82674,170856,53056,92058,195246,75143,Missing
1439,2107,40241,105539,63859,44672,119586,72807,Cabarrus
92,133,2269,14637,12276,2735,16402,13534,Alexander
955,880,680,4792,3157,807,5381,3694,Camden
349,507,2520,20958,18089,3214,24403,20682,Mcdowell
317,426,7039,27960,20604,8216,33506,24864,Sampson
285,420,8283,26957,18389,9745,31184,21019,Lenoir
426,645,4890,25215,19899,5546,28935,22744,Rutherford
144,184,2313,10758,8301,2837,12101,9080,Montgomery
162,249,6388,18551,12001,7399,21845,14197,Stokes
354,500,10235,37393,26804,12637,42985,29848,Wilson
278,356,5494,21254,15482,6641,24952,17955,Columbus
1255,1840,43379,127476,82842,48616,149736,99280,New hanover
241,382,13663,38087,24183,16235,43321,26704,Lincoln
251,349,6567,21015,14197,7487,24445,16609,Davie
83,123,1186,8270,7001,1409,9279,7747,Northampton
262,371,4033,24137,19842,4880,27271,22020,Halifax
664,896,11979,49384,36741,14389,57327,42042,Robeson
780,1140,5107,16367,10480,6242,19740,12358,Hoke
130,173,828,8128,7170,1011,9276,8092,Yancey
431,644,9728,30425,20266,11011,34591,22936,Lee
3821,5706,39733,148880,105326,43319,173355,124330,Buncombe
,,139,2905,2766,167,3306,3139,Hyde
295,403,5557,21265,15413,6660,24955,17892,Edgecombe
224,292,2764,14663,11675,3238,19002,15472,Transylvania
272,383,11716,37924,25936,13237,42070,28450,Chatham
