Second Dose Administered,First Dose Administered,County
39720,44966,Rockingham
181181,216126,Cumberland
8976,10819,Greene
3977,4536,Gates
14140,16100,Bladen
101455,114146,Cabarrus
8219,9196,Northampton
75105,84443,""
23890,26973,Stanly
92633,107708,Johnston
18106,21222,Richmond
585207,676476,Mecklenburg
24176,31822,Watauga
21776,24636,Vance
36629,41627,Burke
32558,36229,Surry
9564,10732,Caswell
15828,18138,Yadkin
24229,27974,Rutherford
54062,63526,Wayne
27137,31853,Pender
16613,20862,Macon
29278,33297,Lee
41620,47596,Cleveland
9701,10991,Anson
73804,82668,Catawba
46627,54880,Robeson
112285,125964,Union
4999,6379,Alleghany
50491,56244,Moore
32470,37827,Caldwell
95307,118190,Onslow
81557,92248,Iredell
7843,9422,Avery
20155,23568,Mcdowell
14045,18147,Transylvania
85049,95790,Alamance
6596,7965,Chowan
20925,24396,Columbus
2859,3202,Hyde
14892,16995,Scotland
11622,13180,Cherokee
17715,20992,Stokes
19042,21494,Person
680134,768061,Wake
123229,144294,New hanover
21409,24967,Duplin
23195,26244,Halifax
28394,32529,Wilkes
15460,18677,Hoke
9797,11643,Martin
20096,23442,Davie
78050,93198,Pitt
5023,5979,Washington
35300,40886,Wilson
280319,315824,Guilford
189314,217385,Durham
11510,14292,Ashe
36631,41655,Lincoln
8629,9454,Polk
14013,15778,Alexander
93177,109253,Gaston
9606,11151,Hertford
67819,78502,Davidson
45593,53775,Harnett
45995,53126,Nash
37310,41189,Chatham
8811,10248,Bertie
21581,25250,Beaufort
4599,5110,Clay
17140,20821,Pasquotank
32121,35834,Franklin
6400,7150,Pamlico
3474,4051,Graham
26980,32498,Sampson
76781,97301,Out o
1662,1943,Tyrrell
29784,34986,Haywood
5257,6220,Perquimans
20525,24246,Edgecombe
93969,107374,Orange
52463,59927,Craven
4558,5182,Camden
9731,12012,Madison
9888,11782,Currituck
5949,7155,Mitchell
18950,23171,Jackson
53904,61164,Randolph
55085,65426,Henderson
64247,65636,Missing
9635,10669,Warren
77729,88472,Brunswick
188310,227697,Forsyth
54563,61824,Rowan
10433,11761,Montgomery
4241,4761,Jones
142707,164432,Buncombe
34805,39479,Carteret
25804,29947,Lenoir
21847,26196,Dare
6788,8144,Swain
7859,8959,Yancey
33431,37184,Granville
