Second Dose Administered,First Dose Administered,County
37761,43599,Rockingham
173799,208544,Cumberland
8467,10490,Greene
3825,4440,Gates
13458,15690,Bladen
96298,109373,Cabarrus
7955,8948,Northampton
69406,80417,""
22454,25784,Stanly
88022,103726,Johnston
17152,20475,Richmond
572683,663995,Mecklenburg
23558,31272,Watauga
20709,23622,Vance
34996,40566,Burke
31032,34800,Surry
9206,10474,Caswell
15074,17614,Yadkin
22570,26756,Rutherford
50649,61513,Wayne
25699,30518,Pender
15972,20720,Macon
28670,32910,Lee
39130,45738,Cleveland
9154,10529,Anson
70621,80640,Catawba
43372,52781,Robeson
107843,121730,Union
4808,6184,Alleghany
48791,54291,Moore
31022,36822,Caldwell
84928,112463,Onslow
77195,88175,Iredell
7535,9163,Avery
18733,22557,Mcdowell
13569,17691,Transylvania
81564,92465,Alamance
6309,7800,Chowan
19702,23617,Columbus
2785,3178,Hyde
14275,16790,Scotland
10495,12437,Cherokee
16779,20259,Stokes
18130,20636,Person
663281,750287,Wake
124051,145596,New hanover
20198,24140,Duplin
22035,25236,Halifax
26324,31505,Wilkes
24753,28815,Hoke
9261,11260,Martin
19215,22654,Davie
79457,95178,Pitt
4720,5770,Washington
33352,39244,Wilson
278111,314782,Guilford
185199,212591,Durham
10973,13921,Ashe
35031,40201,Lincoln
8344,9178,Polk
13439,15372,Alexander
88462,104529,Gaston
9113,10797,Hertford
63812,75050,Davidson
42748,51330,Harnett
43719,51037,Nash
36935,40997,Chatham
8369,9968,Bertie
20478,24361,Beaufort
4250,4935,Clay
16289,20042,Pasquotank
30636,34673,Franklin
6169,6908,Pamlico
2997,3649,Graham
25218,31351,Sampson
72258,90070,Out o
1596,1911,Tyrrell
28012,32860,Haywood
5065,6045,Perquimans
19141,22967,Edgecombe
108427,122567,Orange
48755,56636,Craven
4271,4976,Camden
9276,11642,Madison
9561,11336,Currituck
5590,6925,Mitchell
21268,26699,Jackson
50997,59011,Randolph
52376,62523,Henderson
24003,34317,Missing
9184,10273,Warren
74722,85626,Brunswick
181355,220844,Forsyth
63764,72177,Rowan
9939,11371,Montgomery
4003,4551,Jones
148208,170742,Buncombe
33545,38695,Carteret
24355,28877,Lenoir
21367,25903,Dare
4923,5705,Swain
7452,8639,Yancey
32140,36030,Granville
