Second Dose Administered,First Dose Administered,County
39842,45066,Rockingham
182228,216633,Cumberland
9004,10837,Greene
3988,4544,Gates
14171,16120,Bladen
101661,114335,Cabarrus
8228,9202,Northampton
75503,84795,""
23954,27016,Stanly
92879,107845,Johnston
18161,21257,Richmond
586355,677270,Mecklenburg
24247,31848,Watauga
21827,24668,Vance
36698,41672,Burke
32904,36592,Surry
9581,10743,Caswell
15866,18155,Yadkin
24318,28019,Rutherford
54225,63630,Wayne
27167,31851,Pender
16646,20888,Macon
29391,33355,Lee
41779,47670,Cleveland
9745,11056,Anson
73981,82786,Catawba
46802,54985,Robeson
112545,126138,Union
5010,6383,Alleghany
50558,56296,Moore
32549,37886,Caldwell
95974,118513,Onslow
81744,92337,Iredell
7871,9438,Avery
20203,23592,Mcdowell
14059,18167,Transylvania
85269,95942,Alamance
6609,7972,Chowan
20970,24430,Columbus
2859,3202,Hyde
14941,17028,Scotland
11667,13199,Cherokee
17754,21013,Stokes
19164,21508,Person
681158,768880,Wake
123418,144442,New hanover
21449,25006,Duplin
23271,26317,Halifax
28443,32539,Wilkes
15494,18729,Hoke
9819,11645,Martin
20132,23478,Davie
78242,93332,Pitt
5049,5983,Washington
35410,40971,Wilson
280883,316284,Guilford
189579,217629,Durham
11537,14317,Ashe
36704,41712,Lincoln
8634,9456,Polk
14084,15797,Alexander
93416,109411,Gaston
9639,11167,Hertford
68053,78613,Davidson
45737,53856,Harnett
46088,53225,Nash
37317,41163,Chatham
8828,10259,Bertie
21616,25277,Beaufort
4617,5114,Clay
17212,20862,Pasquotank
32189,35885,Franklin
6404,7156,Pamlico
3484,4054,Graham
27060,32540,Sampson
77222,97815,Out o
1675,1945,Tyrrell
29845,35023,Haywood
5271,6223,Perquimans
20565,24281,Edgecombe
94103,107452,Orange
52792,60116,Craven
4574,5192,Camden
9754,12024,Madison
9917,11801,Currituck
5963,7156,Mitchell
18999,23216,Jackson
54035,61241,Randolph
55182,65515,Henderson
65194,66974,Missing
9659,10683,Warren
77810,88548,Brunswick
188704,227967,Forsyth
54763,61936,Rowan
10450,11772,Montgomery
4250,4767,Jones
142905,164615,Buncombe
34874,39545,Carteret
25887,30020,Lenoir
21883,26204,Dare
6822,8189,Swain
7878,8977,Yancey
33476,37260,Granville
