Second Dose Administered,First Dose Administered,County
39587,44890,Rockingham
180037,215073,Cumberland
8948,10807,Greene
3973,4529,Gates
14108,16076,Bladen
101224,114052,Cabarrus
8210,9189,Northampton
74710,84152,""
23822,26930,Stanly
92427,107546,Johnston
18060,21195,Richmond
583908,675806,Mecklenburg
24152,31809,Watauga
21721,24572,Vance
36587,41615,Burke
32476,36179,Surry
9538,10722,Caswell
15790,18117,Yadkin
24178,27929,Rutherford
53872,63421,Wayne
27075,31814,Pender
16552,20839,Macon
29182,33211,Lee
41450,47515,Cleveland
9665,10960,Anson
73637,82578,Catawba
46441,54781,Robeson
112029,125809,Union
4989,6340,Alleghany
50418,56161,Moore
32371,37756,Caldwell
94390,117576,Onslow
81377,92175,Iredell
7834,9417,Avery
20094,23535,Mcdowell
14028,18136,Transylvania
84899,95668,Alamance
6575,7951,Chowan
20872,24373,Columbus
2857,3201,Hyde
14852,16971,Scotland
11587,13166,Cherokee
17659,20925,Stokes
18986,21470,Person
679131,767214,Wake
123031,144176,New hanover
21360,24930,Duplin
23130,26196,Halifax
28299,32485,Wilkes
15390,18630,Hoke
9773,11635,Martin
20032,23412,Davie
77897,93073,Pitt
4996,5968,Washington
35182,40792,Wilson
279789,315451,Guilford
189059,217161,Durham
11478,14237,Ashe
36559,41603,Lincoln
8613,9446,Polk
13935,15742,Alexander
92837,108917,Gaston
9576,11127,Hertford
67648,78375,Davidson
45445,53656,Harnett
45857,53023,Nash
37304,41197,Chatham
8756,10222,Bertie
21493,25221,Beaufort
4587,5104,Clay
17077,20741,Pasquotank
32039,35776,Franklin
6391,7141,Pamlico
3456,4049,Graham
26903,32460,Sampson
76470,97010,Out o
1655,1938,Tyrrell
29742,34949,Haywood
5246,6207,Perquimans
20438,24191,Edgecombe
93866,107301,Orange
52239,59725,Craven
4543,5158,Camden
9704,12003,Madison
9860,11747,Currituck
5932,7147,Mitchell
18928,23131,Jackson
53775,61057,Randolph
54989,65352,Henderson
63640,64874,Missing
9617,10651,Warren
77580,88376,Brunswick
187869,227417,Forsyth
54385,61737,Rowan
10406,11751,Montgomery
4237,4750,Jones
142585,164319,Buncombe
34731,39426,Carteret
25707,29884,Lenoir
21808,26176,Dare
6772,8135,Swain
7840,8951,Yancey
33381,37146,Granville
