Second Doses Administered,First Doses Administered,Total Doses Administered,County
12280,20994,33274,Robeson
2719,3747,6466,Perquimans
21541,40205,61746,Johnston
13625,24603,38228,Randolph
1099,1806,2905,Hyde
2002,3274,5276,Alleghany
5182,9733,14915,Duplin
1554,2809,4363,Gates
9028,14946,23974,Haywood
6819,11104,17923,Stanly
34954,61030,95984,Missing
9516,17089,26605,Wilson
620,1119,1739,Tyrrell
11399,22247,33646,Wayne
3189,5834,9023,Montgomery
7898,12763,20661,Lenoir
4691,8250,12941,Scotland
23122,40049,63171,Alamance
1304,2552,3856,Camden
2745,4974,7719,Greene
14355,21041,35396,Rowan
2787,5608,8395,Northampton
7500,14097,21597,Wilkes
10453,16158,26611,Lincoln
11891,17562,29453,Caldwell
2546,5491,8037,Polk
10819,17197,28016,Surry
5845,11916,17761,Macon
1244,2442,3686,Clay
4515,8137,12652,Yadkin
12780,22945,35725,Onslow
6459,10369,16828,Richmond
34321,65730,100051,Buncombe
28220,41028,69248,Union
21071,35569,56640,Cabarrus
1783,2743,4526,Washington
13085,21091,34176,Harnett
12628,20482,33110,Burke
8314,13952,22266,Granville
24752,41713,66465,Gaston
5238,10302,15540,Edgecombe
7903,15928,23831,Watauga
4082,6545,10627,Hoke
3055,5498,8553,Bertie
5298,9493,14791,Person
8344,14302,22646,Beaufort
21568,33284,54852,Catawba
4865,10748,15613,Jackson
144046,269300,413346,Wake
11534,20870,32404,Cleveland
7827,13567,21394,Sampson
5666,11477,17143,Columbus
3296,5512,8808,Caswell
2348,4875,7223,Yancey
8849,14054,22903,Lee
2711,5847,8558,Hertford
10061,19437,29498,Rockingham
110717,197566,308283,Mecklenburg
11133,19732,30865,Carteret
1844,2992,4836,Swain
2761,5009,7770,Avery
5900,10522,16422,Vance
6700,13853,20553,Halifax
6178,13275,19453,Rutherford
11179,22314,33493,Nash
3369,7309,10678,Ashe
4972,8588,13560,Stokes
1303,1997,3300,Graham
7517,13127,20644,Pender
13516,25563,39079,Craven
64816,131070,195886,Guilford
3270,5935,9205,Madison
14112,21052,35164,Chatham
25765,44662,70427,Pitt
19873,29849,49722,Moore
49588,90522,140110,Forsyth
21769,34079,55848,Iredell
3949,9868,13817,Transylvania
3305,5894,9199,Martin
2660,5167,7827,Warren
1315,2381,3696,Jones
6624,10307,16931,Davie
35086,50220,85306,Cumberland
6294,10757,17051,McDowell
3422,6295,9717,Cherokee
2656,4715,7371,Chowan
28311,49075,77386,Orange
4568,8782,13350,Alexander
52006,89572,141578,Durham
15502,28611,44113,Henderson
7432,11048,18480,Pasquotank
2749,4388,7137,Pamlico
1544,3378,4922,Mitchell
3620,6240,9860,Currituck
28845,45147,73992,Brunswick
18232,29855,48087,Davidson
8454,12910,21364,Franklin
8029,13922,21951,Dare
4740,7559,12299,Bladen
38425,60350,98775,New Hanover
3195,5093,8288,Anson
