Second Dose Administered,First Dose Administered,County
37006,43074,Rockingham
169723,203769,Cumberland
8288,10356,Greene
3756,4414,Gates
13130,15555,Bladen
94716,108169,Cabarrus
7835,8880,Northampton
67014,78731,""
22036,25477,Stanly
86364,102367,Johnston
16736,20259,Richmond
565145,656952,Mecklenburg
23278,31062,Watauga
20352,23288,Vance
34325,40131,Burke
30519,34420,Surry
9051,10375,Caswell
14701,17345,Yadkin
22018,26387,Rutherford
49493,60558,Wayne
25215,30191,Pender
15678,20557,Macon
28201,32506,Lee
38223,44845,Cleveland
8946,10328,Anson
69329,79694,Catawba
41546,51773,Robeson
106142,120470,Union
4722,6144,Alleghany
48274,53832,Moore
30367,36439,Caldwell
82062,110095,Onslow
75624,86347,Iredell
7436,9085,Avery
18237,22214,Mcdowell
13422,17606,Transylvania
80285,91674,Alamance
6190,7728,Chowan
19244,23359,Columbus
2760,3163,Hyde
13973,16607,Scotland
10268,12284,Cherokee
16457,20044,Stokes
17834,20394,Person
657152,745928,Wake
122522,144624,New hanover
19554,23863,Duplin
21685,24930,Halifax
25422,31018,Wilkes
24266,28522,Hoke
9043,11123,Martin
18872,22447,Davie
78262,94326,Pitt
4617,5696,Washington
32714,38677,Wilson
274742,311947,Guilford
183399,211231,Durham
10781,13826,Ashe
34498,39757,Lincoln
8258,9110,Polk
13200,15205,Alexander
86696,102908,Gaston
8882,10675,Hertford
62546,74016,Davidson
41793,50732,Harnett
43002,50547,Nash
36707,40921,Chatham
8194,9839,Bertie
20185,24134,Beaufort
4158,4864,Clay
16004,19774,Pasquotank
30044,34304,Franklin
6089,6863,Pamlico
2952,3621,Graham
24561,30964,Sampson
70846,87955,Out o
1567,1880,Tyrrell
27685,32624,Haywood
4933,5955,Perquimans
18873,22747,Edgecombe
107857,122029,Orange
47868,55784,Craven
4175,4882,Camden
9164,11522,Madison
9423,11256,Currituck
5445,6833,Mitchell
21037,26563,Jackson
49851,58240,Randolph
51603,62019,Henderson
22153,32186,Missing
9052,10148,Warren
73921,85148,Brunswick
178820,218880,Forsyth
62716,71291,Rowan
9719,11261,Montgomery
3943,4512,Jones
146520,169514,Buncombe
33074,38335,Carteret
23739,28518,Lenoir
21180,25749,Dare
4860,5672,Swain
7322,8556,Yancey
31660,35765,Granville
