Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
22275,55537,26211,4352,2699,Robeson
3556,8367,4165,367,279,Perquimans
44867,124495,57061,13607,8960,Johnston
28366,74485,32600,8079,5440,Randolph
2102,4691,2403,106,80,Hyde
3278,8503,3907,762,556,Alleghany
10674,28475,12849,2928,2024,Duplin
2618,6200,3185,232,165,Gates
16209,45081,20899,4642,3331,Haywood
12847,33083,15769,2682,1785,Stanly
66290,216456,89861,36559,23746,Missing / Out of State
18282,48363,22322,4831,2928,Wilson
1104,2497,1259,77,57,Tyrrell
24363,63045,28696,6028,3958,Wayne
6333,15695,7467,1163,732,Montgomery
13609,36494,15942,4005,2938,Lenoir
8798,21858,10169,1801,1090,Scotland
48195,124781,57436,10902,8248,Alamance
2380,5680,2896,261,143,Camden
5257,13310,6317,998,738,Greene
25107,69317,30251,8289,5670,Rowan
5715,13196,6578,542,361,Northampton
14974,38076,17048,3719,2335,Wilkes
18287,52072,22643,6753,4389,Lincoln
19254,48471,23036,3867,2314,Caldwell
6016,14619,6585,1095,923,Polk
19189,49605,21121,5417,3878,Surry
11203,27872,14279,1390,1000,Macon
2665,7003,2977,739,622,Clay
9409,23293,10800,1756,1328,Yadkin
26272,68757,30030,7830,4625,Onslow
10920,26250,12495,1802,1033,Richmond
76386,220594,94502,27453,22253,Buncombe
49751,148154,64238,20226,13939,Union
41534,129790,55597,19373,13286,Cabarrus
2706,7441,3227,877,631,Washington
23249,60828,27959,6069,3551,Harnett
22383,54813,25527,4161,2742,Burke
15788,42415,19255,4364,3008,Granville
46025,127582,57418,14540,9599,Gaston
10612,28179,13489,2460,1618,Edgecombe
14823,41102,21650,2593,2036,Watauga
6864,18100,8498,1776,962,Hoke
5578,13490,6808,635,469,Bertie
10615,27021,12882,2095,1429,Person
14199,34359,16752,1995,1413,Beaufort
38616,104077,45551,12034,7876,Catawba
11474,28170,14153,1487,1056,Jackson
329594,987215,427624,132812,97185,Wake
23226,58187,26291,5294,3376,Cleveland
13832,35819,17181,2927,1879,Sampson
12221,29988,14067,2236,1464,Columbus
6364,14840,7357,715,404,Caswell
5039,11550,5906,377,228,Yancey
16067,40612,18277,3798,2470,Lee
5542,14062,6786,987,747,Hertford
22475,56856,26396,4919,3066,Rockingham
242535,772515,340929,112797,76254,Mecklenburg
21778,55211,24264,5349,3820,Carteret
3278,7858,3615,564,401,Swain
5152,12621,6315,668,486,Avery
11215,29570,13574,2935,1846,Vance
14370,33914,16730,1725,1089,Halifax
14035,34389,16427,2239,1688,Rutherford
22828,63768,29206,6946,4788,Nash
7007,18649,8912,1557,1173,Ashe
9117,25657,11229,3098,2213,Stokes
1993,4661,2244,257,167,Graham
14823,39553,18079,3929,2722,Pender
27907,69784,31380,6017,4480,Craven
154126,413073,183747,43557,31643,Guilford
6240,15681,8257,647,537,Madison
22465,62511,26535,7740,5771,Chatham
44678,119784,55796,10882,8428,Pitt
32135,81468,36046,7445,5842,Moore
96425,282425,127592,32945,25463,Forsyth
37785,109907,45606,15826,10690,Iredell
9136,24876,12286,1945,1509,Transylvania
5873,14647,7177,947,650,Martin
5616,14397,6923,1071,787,Warren
2523,6105,2871,416,295,Jones
10491,29860,13436,3395,2538,Davie
54211,142679,62259,16707,9502,Cumberland
12512,29582,14765,1389,916,Mcdowell
7046,17165,8008,1283,828,Cherokee
4103,10592,5205,706,578,Chowan
56261,155198,70221,15685,13031,Orange
9263,21709,10843,966,637,Alexander
103505,285989,130613,29613,22258,Durham
31620,85203,39273,8090,6220,Henderson
10468,26061,12679,1783,1131,Pasquotank
4715,10638,5242,409,272,Pamlico
3445,8510,4436,419,210,Mitchell
6444,15860,7970,888,558,Currituck
49033,128242,57270,12137,9802,Brunswick
34716,93100,41373,10046,6965,Davidson
15757,43514,18833,5389,3535,Franklin
14723,37750,18336,2631,2060,Dare
7864,19127,9089,1394,780,Bladen
67483,192762,82861,24251,18167,New Hanover
5628,13699,6736,787,548,Anson
