County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13770,11420,1090,665,2253,10427,1859,8896
Anson,12507,11214,228,146,3116,9163,2735,8333
Swain,9696,7893,4206,2984,1345,4145,1142,3767
Pender,35146,30070,1530,997,10939,22677,9270,19803
Mitchell,7875,6542,124,75,1302,6449,964,5503
Richmond,23968,20707,525,345,5687,17756,4705,15657
Haywood,38323,32369,1613,1021,8738,27972,7507,23841
Gaston,122222,105515,2006,1212,43536,76680,39022,65281
Craven,68855,61035,10010,8079,16839,42006,14535,38421
Franklin,41144,36567,1416,859,14636,25092,13075,22633
Iredell,102433,90989,2150,1481,42963,57320,38746,50762
Yadkin,19814,17459,193,132,5655,13966,5147,12180
Beaufort,27774,24050,715,464,5801,21258,4967,18619
Harnett,64686,54573,7432,5193,21341,35913,18513,30867
Polk,9063,8145,213,121,1881,6969,1704,6320
Dare,28443,23947,384,173,6072,21987,5516,18258
Forsyth,258347,215083,4235,2473,77864,176248,71488,141122
Onslow,133552,111819,60809,49136,31839,40904,27364,35319
Jones,5809,5111,583,406,1302,3924,1070,3635
Nash,58039,50636,1018,681,20414,36607,18357,31598
Jackson,25790,20994,4310,3103,3844,17636,3315,14576
Duplin,30129,25923,2247,1635,8807,19075,7800,16488
Alleghany,7006,5528,69,38,1421,5516,1153,4337
Missing,294470,237048,39851,43835,95758,158861,89975,103238
Cabarrus,129259,114732,4185,2584,49616,75458,45752,66396
Camden,6835,5370,2056,1246,912,3867,788,3336
Alexander,18121,16130,475,283,3065,14581,2590,13257
Mcdowell,25408,21966,625,383,3489,21294,2810,18773
Sampson,35932,30195,675,472,9209,26048,7996,21727
Lenoir,33557,29335,494,309,10972,22091,9583,19443
Rutherford,30427,26725,759,471,6062,23606,5442,20812
Montgomery,12779,11273,297,201,3137,9345,2581,8491
Stokes,23195,19914,357,213,7984,14854,7065,12636
Columbus,25878,22250,479,358,7457,17942,6424,15468
Wilson,46852,41204,654,418,14441,31757,12215,28571
Lincoln,44888,39810,416,249,17673,26799,15272,24289
New hanover,158888,136615,3388,2150,52899,102601,47953,86512
Davie,26116,22644,526,329,8135,17455,7316,14999
Northampton,9353,8313,194,98,1564,7595,1337,6878
Halifax,29050,25705,592,387,5536,22922,4625,20693
Robeson,62598,54389,1543,1046,16382,44673,13987,39356
Hoke,27059,22044,6386,4499,7203,13470,6022,11523
Yancey,9779,8642,180,134,1114,8485,924,7584
Lee,37746,33182,725,466,12437,24584,11169,21547
Buncombe,185285,158574,7327,4391,45578,132380,42354,111829
Hyde,3491,3177,12,,178,3301,154,3023
Edgecombe,26955,22860,929,571,7688,18338,6531,15758
Transylvania,19966,15541,393,258,3505,16068,2998,12285
Chatham,49229,43466,4963,3234,14115,30151,12675,27557
Durham,249973,217309,8117,5485,61527,180329,57254,154570
Tyrrell,2082,1820,,,183,1899,143,1677
Moore,64177,56778,5019,3311,17379,41779,15340,38127
Randolph,67741,59777,959,659,23573,43209,20842,38276
Rowan,67577,59339,4240,3290,23091,40246,20484,35565
