County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12511,11219,228,145,3110,9173,2726,8348
Currituck,13762,11412,1091,665,2247,10424,1852,8895
Pender,35106,30046,1530,996,10915,22661,9254,19796
Swain,9753,7927,4261,3015,1345,4147,1141,3771
Mitchell,7871,6525,124,75,1299,6448,960,5490
Richmond,23919,20641,525,345,5670,17724,4699,15597
Gaston,122290,105575,2036,1211,43463,76791,38969,65395
Haywood,38321,32318,1666,1043,8721,27934,7493,23782
Craven,68765,60892,10033,8059,16810,41922,14511,38322
Franklin,40962,36417,1460,858,14589,24913,13041,22518
Iredell,102493,91008,2197,1475,42905,57391,38700,50833
Yadkin,19819,17449,193,132,5649,13977,5138,12179
Harnett,64602,54526,7440,5183,21286,35876,18458,30885
Beaufort,27783,24022,747,474,5792,21244,4954,18594
Polk,9081,8158,224,121,1882,6975,1705,6332
Dare,28418,23910,384,173,6067,21967,5512,18225
Forsyth,258380,215014,4395,2500,77734,176251,71363,141151
Onslow,133480,111678,60849,49088,31751,40880,27282,35308
Jones,5798,5096,582,406,1299,3917,1065,3625
Nash,58154,50699,1059,681,20379,36716,18331,31687
Jackson,25875,21040,4393,3141,3841,17641,3313,14586
Duplin,30091,25896,2242,1632,8787,19062,7784,16480
Alleghany,7005,5516,69,38,1418,5518,1152,4326
Missing,293265,234629,40453,44048,95855,156957,90088,100493
Cabarrus,129705,115254,4251,2591,49560,75894,45689,66974
Alexander,18074,16077,485,283,3063,14526,2589,13205
Camden,6831,5362,2054,1246,909,3868,784,3332
Mcdowell,25484,22024,665,409,3485,21334,2809,18806
Sampson,36150,30402,674,471,9202,26274,7991,21940
Lenoir,33520,29279,513,308,10950,22057,9561,19410
Rutherford,30460,26743,785,471,6054,23621,5439,20833
Montgomery,12811,11308,297,200,3142,9372,2585,8523
Stokes,23140,19854,357,213,7966,14817,7052,12589
Wilson,46791,41132,669,417,14418,31704,12201,28514
Columbus,25848,22218,479,358,7445,17924,6418,15442
Lincoln,45107,40023,427,249,17638,27042,15234,24540
New hanover,158685,136404,3384,2145,52806,102495,47869,86390
Davie,26086,22586,536,329,8114,17436,7292,14965
Northampton,9371,8333,194,98,1564,7613,1340,6895
Halifax,29086,25703,606,386,5529,22951,4617,20700
Robeson,62531,54282,1556,1054,16341,44634,13950,39278
Hoke,27007,21984,6409,4503,7194,13404,6011,11470
Yancey,9775,8627,194,134,1114,8467,924,7569
Lee,37595,33069,735,476,12417,24443,11150,21443
Buncombe,185115,158318,7664,4503,45555,131896,42336,111479
Hyde,3498,3178,12,,179,3307,156,3022
Edgecombe,27027,22898,950,571,7654,18423,6514,15813
Transylvania,19960,15496,405,258,3504,16051,2994,12244
Chatham,48863,43116,4999,3235,14083,29781,12652,27229
Durham,249598,216636,8647,5543,61420,179531,57115,153978
Tyrrell,2080,1817,,,183,1897,143,1674
Moore,63924,56611,5000,3303,17337,41587,15320,37988
Randolph,67698,59768,969,658,23531,43198,20810,38300
Rowan,67722,59406,4392,3302,23044,40286,20429,35675
Ashe,16343,13059,236,141,3469,12638,2934,9984
Henderson,73297,61328,1836,1089,15123,56338,12950,47289
Vance,28712,25144,549,354,7868,20295,6818,17972
Union,139065,124979,1456,783,55229,82380,51343,72853
Washington,6574,5695,66,41,1857,4651,1609,4045
Davidson,88998,76879,2272,1392,27083,59643,23884,51603
Granville,40958,36374,5656,4797,10977,24325,9786,21791
Watauga,33308,25861,223,116,4816,28269,4141,21604
Cleveland,52848,46803,767,415,16026,36055,13893,32495
Gates,4989,4412,149,70,587,4253,497,3845
Graham,4305,3682,457,338,909,2939,745,2599
Carteret,48902,42729,7126,5055,13560,28216,11940,25734
Alamance,107934,96290,2210,1382,28781,76943,26012,68896
Mecklenburg,756131,659451,10027,5788,270333,475771,248705,404958
Brunswick,95125,83820,3030,2021,25943,66152,23235,58564
Stanly,29953,26894,771,592,7630,21552,6696,19606
Perquimans,6720,5739,20,12,1209,5491,990,4737
Madison,12910,10407,257,138,1404,11249,1263,9006
Pasquotank,23276,19857,52,21,5834,17390,4990,14846
Catawba,91787,82357,1247,598,33376,57164,29450,52309
Caldwell,41621,35836,373,189,11988,29260,9704,25943
Wilkes,34756,30559,387,256,11062,23307,9830,20473
Greene,15572,12902,3404,2551,3030,9138,2632,7719
Rockingham,49481,44080,657,387,15568,33256,13557,30136
